between,and,width,kept,reason,because_of
wall of tile 017339 (room 0x40),wall of tile 020811 (room 0x2f),23.679,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 017339 (room 0x40),wall of tile 018910 (room 0x2f),41.438,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 017339 (room 0x40),wall of tile 017538 (room 0x40),59.197,no,the line between them touches another wall,wall of tile 017339 (room 0x40)
wall of tile 017339 (room 0x40),wall of tile 00A418 (room 0x37),41.438,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 017339 (room 0x40),wall of tile 015E19 (room 0x37),23.679,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 017339 (room 0x40),glass 0x1d43c8 (preset 0x271b),31.571,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 017339 (room 0x40),glass 0x1d43c8 (preset 0x271b),31.571,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 017339 (room 0x40),glass 0x1d43c8 (preset 0x271b),31.571,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 017339 (room 0x40),glass 0x1d4448 (preset 0x2716),31.571,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 017339 (room 0x40),glass 0x1d4448 (preset 0x2716),31.571,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 017339 (room 0x40),glass 0x1d4448 (preset 0x2716),31.571,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 017339 (room 0x40),wall of tile 01723A (room 0x40),41.294,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 017339 (room 0x40),wall of tile 020811 (room 0x2f),46.023,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 017339 (room 0x40),wall of tile 018910 (room 0x2f),41.438,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 017339 (room 0x40),wall of tile 00A418 (room 0x37),41.438,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 017339 (room 0x40),wall of tile 015E19 (room 0x37),46.023,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 017339 (room 0x40),glass 0x1d43c8 (preset 0x271b),50.539,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 017339 (room 0x40),glass 0x1d43c8 (preset 0x271b),50.539,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 017339 (room 0x40),glass 0x1d43c8 (preset 0x271b),50.539,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 017339 (room 0x40),glass 0x1d4448 (preset 0x2716),50.539,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
