key,filter,reason,status,width_cm,x,z,between,and
050511.0 | 0x1d38c8.2,anvil and hammer,"door 0x1d38c8 (preset 0x0084) is 0.0 cm from a straight wall, closer than Bond's radius, with 2.5 m of it, so little that a step round its end would be at least 14.9 m long to one side and 12.4 m of it to the other",no warp found,0.000031,-393,-1866,wall of tile 050511 (room 0x32),door 0x1d38c8 (preset 0x0084)
06FA1A.1 | 0x1d3ac8.0,anvil and hammer,"door 0x1d3ac8 (preset 0x00ca) is 0.0 cm from a straight wall, closer than Bond's radius, with 1.4 m of it ending at a protrusion to one side and 5.6 m of it to the other",no warp found,0.00011,-1508,-3862,wall of tile 06FA1A (room 0x3a),door 0x1d3ac8 (preset 0x00ca)
0x1d1bb0.4 | 1B1408.2,anvil and hammer,"generic 0x1d1bb0 (preset 0x2815) is 1.3 cm from a straight wall, closer than Bond's radius, with 0.7 m of it ending at a protrusion to one side and 2.9 m of it ending at a protrusion to the other",no warp found,1.274,-1918,1279,wall of tile 1B1408 (room 0x10),generic 0x1d1bb0 (preset 0x2815)
0x1cc0ec.2 | 100608.0,anvil and hammer,"generic 0x1cc0ec (preset 0x27e2) is 1.8 cm from a straight wall, closer than Bond's radius, with 8.8 m of it to one side and 1.7 m of it ending at a protrusion to the other",no warp found,1.802,-411,335,wall of tile 100608 (room 0x29),generic 0x1cc0ec (preset 0x27e2)
05EC08.2 | 0x1cbfec.2,anvil and hammer,"generic 0x1cbfec (preset 0x27e0) is 2.0 cm from a straight wall, closer than Bond's radius, with 2.9 m of it, so little that a step round its end would be at least 10.5 m long to one side and 7.6 m of it to the other",no warp found,1.972,-411,925,wall of tile 05EC08 (room 0x16),generic 0x1cbfec (preset 0x27e0)
05E208.0 | 0x1cd0ec.0,anvil and hammer,"generic 0x1cd0ec (preset 0x280d) is 3.9 cm from a straight wall, closer than Bond's radius, with 7.1 m of it to one side and 6.7 m of it to the other",no warp found,3.946,-1553,-738,wall of tile 05E208 (room 0x15),generic 0x1cd0ec (preset 0x280d)
001910.1 | 0x1cd5ec.2,anvil and hammer,"generic 0x1cd5ec (preset 0x272f) is 5.6 cm from a straight wall, closer than Bond's radius, with 4.5 m of it to one side and 2.7 m of it ending at a protrusion to the other",no warp found,5.598,-565,-3589,wall of tile 001910 (room 0x32),generic 0x1cd5ec (preset 0x272f)
05EB08.0 | 0x1cbf6c.2,anvil and hammer,"generic 0x1cbf6c (preset 0x27df) is 5.7 cm from a straight wall, closer than Bond's radius, with 3.6 m of it to one side and 6.9 m of it to the other",no warp found,5.728,-413,854,wall of tile 05EB08 (room 0x16),generic 0x1cbf6c (preset 0x27df)
05EE08.0 | 0x1cbeec.0,anvil and hammer,"generic 0x1cbeec (preset 0x27de) is 5.9 cm from a straight wall, closer than Bond's radius, with 6.0 m of it to one side and 1.7 m of it, so little that a step round its end would be at least 7.7 m long to the other",no warp found,5.910,-623,1046,wall of tile 05EE08 (room 0x16),generic 0x1cbeec (preset 0x27de)
0B9308.0 | 0x1cc76c.3,anvil and hammer,"generic 0x1cc76c (preset 0x27f0) is 6.6 cm from a straight wall, closer than Bond's radius, with 2.3 m of it ending at a protrusion to one side and 12.6 m of it to the other",no warp found,6.561,-1972,1445,wall of tile 0B9308 (room 0x1d),generic 0x1cc76c (preset 0x27f0)
0x1ccbec.1 | 104308.0,anvil and hammer,"generic 0x1ccbec (preset 0x2801) is 7.0 cm from a straight wall, closer than Bond's radius, with 0.6 m of it ending at a protrusion to one side and 3.4 m of it to the other",no warp found,6.974,-1646,844,wall of tile 104308 (room 0x10),generic 0x1ccbec (preset 0x2801)
0x1d04ec.0 | 103D08.2,anvil and hammer,"generic 0x1d04ec (preset 0x2835) is 7.1 cm from a straight wall, closer than Bond's radius, with 2.8 m of it ending at a protrusion to one side and 1.6 m of it ending at a protrusion to the other",no warp found,7.062,-1980,1125,wall of tile 103D08 (room 0x10),generic 0x1d04ec (preset 0x2835)
0x1cc06c.2 | 100608.0,anvil and hammer,"generic 0x1cc06c (preset 0x27e1) is 7.6 cm from a straight wall, closer than Bond's radius, with 10.0 m of it to one side and 0.6 m of it ending at a protrusion to the other",no warp found,7.646,-414,217,wall of tile 100608 (room 0x29),generic 0x1cc06c (preset 0x27e1)
05E208.0 | 0x1cd06c.0,anvil and hammer,"generic 0x1cd06c (preset 0x280c) is 7.7 cm from a straight wall, closer than Bond's radius, with 8.0 m of it to one side and 5.8 m of it to the other",no warp found,7.651,-1551,-649,wall of tile 05E208 (room 0x15),generic 0x1cd06c (preset 0x280c)
00DD19.1 | 0x1d1470.0,anvil and hammer,"generic 0x1d1470 (preset 0x27ba) is 7.8 cm from a straight wall, closer than Bond's radius, with 0.6 m of it ending at a protrusion to one side and 6.4 m of it to the other",no warp found,7.799,-3526,-3773,wall of tile 00DD19 (room 0x34),generic 0x1d1470 (preset 0x27ba)
01D110.1 | 0x1cf4ec.2,anvil and hammer,"generic 0x1cf4ec (preset 0x2779) is 7.9 cm from a straight wall, closer than Bond's radius, with 1.4 m of it ending at a protrusion to one side and 2.1 m of it ending at a protrusion to the other",no warp found,7.893,-2096,-4781,wall of tile 01D110 (room 0x2d),generic 0x1cf4ec (preset 0x2779)
013018.0 | 0x1cfc6c.4,anvil and hammer,"generic 0x1cfbec (preset 0x27a7) is 21.4 cm from a straight wall, closer than Bond's radius, with 0.4 m of it ending at a protrusion to one side and 0.2 m of it ending at a protrusion to the other",no warp found,7.978,-3568,-1507,wall of tile 013018 (room 0x36),generic 0x1cfc6c (preset 0x27a8)
0x1d1170.2 | 101808.0,anvil and hammer,"generic 0x1d1170 (preset 0x2832) is 8.5 cm from a straight wall, closer than Bond's radius, with 2.5 m of it ending at a protrusion to one side and 1.9 m of it ending at a protrusion to the other",no warp found,8.520,282,138,wall of tile 101808 (room 0x24),generic 0x1d1170 (preset 0x2832)
0BC508.2 | 0x1cc16c.1,anvil and hammer,"generic 0x1cc16c (preset 0x27e3) is 9.6 cm from a straight wall, closer than Bond's radius, with 0.9 m of it ending at a protrusion to one side and 14.1 m of it to the other",no warp found,9.608,-785,595,wall of tile 0BC508 (room 0x1a),generic 0x1cc16c (preset 0x27e3)
0x1d1e30.3 | 105108.0,anvil and hammer,"generic 0x1d1e30 (preset 0x281a) is 9.7 cm from a straight wall, closer than Bond's radius, with 3.7 m of it to one side and 0.2 m of it ending at a protrusion to the other",no warp found,9.726,-1612,806,wall of tile 105108 (room 0x0f),generic 0x1d1e30 (preset 0x281a)
008301.1 | 0x1cda6c.0,anvil and hammer,"generic 0x1cda6c (preset 0x273b) is 9.8 cm from a straight wall, closer than Bond's radius, with 4.3 m of it to one side and 3.5 m of it to the other",no warp found,9.799,-900,-1408,wall of tile 008301 (room 0x05),generic 0x1cda6c (preset 0x273b)
0x1d1d30.4 | 105108.0,anvil and hammer,"generic 0x1d1d30 (preset 0x2818) is 11.7 cm from a straight wall, closer than Bond's radius, with 0.8 m of it ending at a protrusion to one side and 3.2 m of it to the other",no warp found,11.686,-1906,805,wall of tile 105108 (room 0x0f),generic 0x1d1d30 (preset 0x2818)
008301.1 | 0x1cdb6c.0,anvil and hammer,"generic 0x1cdaec (preset 0x273c) is 13.7 cm from a straight wall, closer than Bond's radius, with 3.6 m of it to one side and 4.2 m of it to the other",no warp found,11.917,-821,-1407,wall of tile 008301 (room 0x05),generic 0x1cdb6c (preset 0x273d)
01C311.1 | 0x1d07ec.2,anvil and hammer,"generic 0x1d07ec (preset 0x277e) is 13.0 cm from a straight wall, closer than Bond's radius, with 5.0 m of it to one side and 2.0 m of it ending at a protrusion to the other",no warp found,12.969,-2098,-4388,wall of tile 01C311 (room 0x2d),generic 0x1d07ec (preset 0x277e)
0x1d056c.1 | 105208.0,anvil and hammer,"generic 0x1d056c (preset 0x2836) is 13.0 cm from a straight wall, closer than Bond's radius, with 3.1 m of it to one side and 0.9 m of it ending at a protrusion to the other",no warp found,12.969,-1896,427,wall of tile 105208 (room 0x0f),generic 0x1d056c (preset 0x2836)
099308.2 | 0x1ccaec.0,anvil and hammer,"generic 0x1ccaec (preset 0x27f7) is 13.6 cm from a straight wall, closer than Bond's radius, with 1.1 m of it ending at a protrusion to one side and 12.1 m of it to the other",no warp found,13.570,-2460,79,wall of tile 099308 (room 0x14),generic 0x1ccaec (preset 0x27f7)
0x1d1db0.1 | 105208.0,anvil and hammer,"generic 0x1d1db0 (preset 0x2819) is 13.7 cm from a straight wall, closer than Bond's radius, with 3.7 m of it to one side and 0.2 m of it ending at a protrusion to the other",no warp found,13.660,-1959,427,wall of tile 105208 (room 0x0f),generic 0x1d1db0 (preset 0x2819)
01F610.1 | 0x1cecec.2,anvil and hammer,"generic 0x1ce36c (preset 0x274e) is 17.8 cm from a straight wall, closer than Bond's radius, with 6.8 m of it to one side and 6.3 m of it to the other",no warp found,13.779,-2608,-2174,wall of tile 01F610 (room 0x2e),generic 0x1cecec (preset 0x2767)
01D610.0 | 0x1cad6c.0,anvil and hammer,"generic 0x1cad6c (preset 0x2721) is 15.2 cm from a straight wall, closer than Bond's radius, with 3.9 m of it to one side and 8.9 m of it to the other",no warp found,15.188,-2565,-2390,wall of tile 01D610 (room 0x31),generic 0x1cad6c (preset 0x2721)
00CE18.0 | 0x1cbcec.0,anvil and hammer,"generic 0x1cbcec (preset 0x27d1) is 15.2 cm from a straight wall, closer than Bond's radius, with 5.8 m of it to one side and 1.1 m of it ending at a protrusion to the other",no warp found,15.188,-3453,-3102,wall of tile 00CE18 (room 0x36),generic 0x1cbcec (preset 0x27d1)
01D310.0 | 0x1cf26c.0,anvil and hammer,"generic 0x1cf26c (preset 0x2774) is 15.3 cm from a straight wall, closer than Bond's radius, with 9.7 m of it to one side and 1.6 m of it ending at a protrusion to the other",no warp found,15.293,-3061,-4979,wall of tile 01D310 (room 0x2d),generic 0x1cf26c (preset 0x2774)
008101.1 | 0x1cd96c.2,anvil and hammer,"generic 0x1cd96c (preset 0x2739) is 15.5 cm from a straight wall, closer than Bond's radius, with 0.5 m of it ending at a protrusion to one side and 7.9 m of it to the other",no warp found,15.487,-473,-620,wall of tile 008101 (room 0x05),generic 0x1cd96c (preset 0x2739)
008001.1 | 0x1ce2ec.3,anvil and hammer,"generic 0x1ce2ec (preset 0x274c) is 15.5 cm from a straight wall, closer than Bond's radius, with 1.9 m of it ending at a protrusion to one side and 3.7 m of it to the other",no warp found,15.499,-1062,-580,wall of tile 008001 (room 0x05),generic 0x1ce2ec (preset 0x274c)
008500.0 | 0x1cd9ec.0,anvil and hammer,"generic 0x1cd9ec (preset 0x273a) is 15.5 cm from a straight wall, closer than Bond's radius, with 5.5 m of it to one side and 2.4 m of it ending at a protrusion to the other",no warp found,15.499,-1014,-1405,wall of tile 008500 (room 0x05),generic 0x1cd9ec (preset 0x273a)
0x1cd16c.1 | 1A300A.1,anvil and hammer,"generic 0x1cd16c (preset 0x280e) is 15.5 cm from a straight wall, closer than Bond's radius, with 3.6 m of it to one side and 1.5 m of it ending at a protrusion to the other",no warp found,15.528,-1150,-28,wall of tile 1A300A (room 0x17),generic 0x1cd16c (preset 0x280e)
0BE808.0 | 0x1d1a30.0,anvil and hammer,"generic 0x1d1a30 (preset 0x27fa) is 15.6 cm from a straight wall, closer than Bond's radius, with 7.9 m of it to one side and 5.3 m of it to the other",no warp found,15.633,-2459,754,wall of tile 0BE808 (room 0x13),generic 0x1d1a30 (preset 0x27fa)
01B310.0 | 0x1ce9ec.1,anvil and hammer,"generic 0x1ce96c (preset 0x275f) is 15.7 cm from a straight wall, closer than Bond's radius, with 1.8 m of it ending at a protrusion to one side and 5.2 m of it to the other",no warp found,15.715,-3059,-3102,wall of tile 01B310 (room 0x2e),generic 0x1ce9ec (preset 0x2760)
03F708.2 | 0x1ccfec.2,anvil and hammer,"generic 0x1ccfec (preset 0x280b) is 17.5 cm from a straight wall, closer than Bond's radius, with 3.8 m of it to one side and 7.5 m of it to the other",no warp found,17.512,-1349,-452,wall of tile 03F708 (room 0x15),generic 0x1ccfec (preset 0x280b)
04AB21.2 | 04C122.3,narrow pocket,"the floor to one side of it is a pocket only 17.8 cm across, measured along the pinch line, so Bond fits nowhere in it",no warp found,17.759,-2842,-1752,wall of tile 04AB21 (room 0x3d),wall of tile 04C122 (room 0x3d)
04A621.0 | 04BE21.1,narrow pocket,"the floor to one side of it is a pocket only 17.8 cm across, measured along the pinch line, so Bond fits nowhere in it",no warp found,17.759,-2091,-3611,wall of tile 04A621 (room 0x3d),wall of tile 04BE21 (room 0x3d)
04A121.0 | 04B822.2,narrow pocket,"the floor to one side of it is a pocket only 17.8 cm across, measured along the pinch line, so Bond fits nowhere in it",no warp found,17.759,-2091,-1760,wall of tile 04A121 (room 0x3d),wall of tile 04B822 (room 0x3d)
048A21.1 | 049822.1,narrow pocket,"the floor to one side of it is a pocket only 17.8 cm across, measured along the pinch line, so Bond fits nowhere in it",no warp found,17.759,-2895,-4441,wall of tile 048A21 (room 0x3b),wall of tile 049822 (room 0x3b)
049821.1 | 049822.1,narrow pocket,"the floor to one side of it is a pocket only 17.8 cm across, measured along the pinch line, so Bond fits nowhere in it",no warp found,17.759,-2783,-4441,wall of tile 049821 (room 0x3b),wall of tile 049822 (room 0x3b)
077D18.1 | 0x1cbb6c.0,anvil and hammer,"generic 0x1cbb6c (preset 0x27ce) is 19.1 cm from a straight wall, closer than Bond's radius, with 3.7 m of it to one side and 3.4 m of it to the other",no warp found,19.150,-2564,-2222,wall of tile 077D18 (room 0x39),generic 0x1cbb6c (preset 0x27ce)
