gap,name,status,width_cm,step_cm,walk_round_cm,x,z,room,between,and,objects_forming_gap,objects_in_the_way,pinches,key
1,,warp,59.308,23.66,807,-2220,-4742,0x33,generic 0x1cb6ec (preset 0x27c3),generic 0x1cf8ec (preset 0x279d),0x1cb6ec 0x1cf8ec,,2,0x1cb6ec.4 | 0x1cf8ec.2
2,,warp,36.495,61.88,none found,28,-608,0x26,generic 0x1cce6c (preset 0x2808),generic 0x1d076c (preset 0x283a),0x1cce6c 0x1d076c,,4,0x1cce6c.2 | 0x1d076c.0
3,,warp,41.339,64.18,none found,123,1409,0x0a,wall of tile 1A0509 (room 0x0a),generic 0x1d1070 (preset 0x2830),0x1d1070,,2,0x1d1070.2 | 1A0509.1
4,,warp,27.373,67.69,none found,6,1420,0x0a,generic 0x1cd2ec (preset 0x2811),generic 0x1d1070 (preset 0x2830),0x1cd2ec 0x1d1070,,8,0x1cd2ec.2 | 0x1d1070.0
5,TAS double door warp,warp,0.000057,69.87,none found,-1505,-3629,0x3a,wall of tile 06FA19 (room 0x3a),door 0x1d3bc8 (preset 0x00cb),0x1d3bc8,,3,06FA19.0 | 0x1d3bc8.0
6,,warp,0.000026,77.76,none found,197,-2895,0x37,wall of tile 01791A (room 0x37),glass 0x1d42c8 (preset 0x2719),0x1d42c8,,3,01791A.1 | 0x1d42c8.0
7,,warp,0.000026,77.76,none found,197,-2895,0x2f,wall of tile 022312 (room 0x2f),glass 0x1d4548 (preset 0x2718),0x1d4548,,3,022312.1 | 0x1d4548.0
8,,warp,0.000068,77.76,none found,-2822,-3378,0x34,wall of tile 00D71A (room 0x34),door 0x1d36c8 (preset 0x00c9),0x1d36c8,,3,00D71A.1 | 0x1d36c8.0
9,,warp,0.000088,77.76,none found,197,-2467,0x2f,wall of tile 021A11 (room 0x2f),glass 0x1d44c8 (preset 0x2717),0x1d44c8,,3,021A11.0 | 0x1d44c8.1
10,,warp,0.00010,77.76,none found,197,-2573,0x2f,wall of tile 021A12 (room 0x2f),glass 0x1d44c8 (preset 0x2717),0x1d44c8,,3,021A12.1 | 0x1d44c8.0
11,,warp,0.00012,77.76,none found,-2822,-3272,0x34,wall of tile 00D719 (room 0x34),door 0x1d36c8 (preset 0x00c9),0x1d36c8,,3,00D719.0 | 0x1d36c8.0
12,,warp,0.00017,78.33,none found,197,-2788,0x37,wall of tile 017919 (room 0x37),glass 0x1d42c8 (preset 0x2719),0x1d42c8,,3,017919.0 | 0x1d42c8.1
13,,warp,0.00017,78.33,none found,197,-2788,0x2f,wall of tile 022311 (room 0x2f),glass 0x1d4548 (preset 0x2718),0x1d4548,,3,022311.0 | 0x1d4548.1
14,,warp,0.000088,78.84,none found,197,-2467,0x37,wall of tile 017019 (room 0x37),glass 0x1d4348 (preset 0x271a),0x1d4348,,3,017019.0 | 0x1d4348.1
15,,warp,0.000018,81.71,none found,-1515,-2780,0x31,wall of tile 01DB12 (room 0x31),door 0x1d37c8 (preset 0x0083),0x1d37c8,,4,01DB12.1 | 0x1d37c8.0
16,,warp,0.00018,81.71,none found,-1515,-2648,0x31,wall of tile 050410 (room 0x31),door 0x1d37c8 (preset 0x0083),0x1d37c8,,4,050410.1 | 0x1d37c8.0
17,,warp,0.00010,82.63,none found,197,-2573,0x37,wall of tile 01701A (room 0x37),glass 0x1d4348 (preset 0x271a),0x1d4348,,3,01701A.1 | 0x1d4348.0
18,,warp,0.42,83.88,none found,-2684,-2927,0x3a,wall of tile 089718 (room 0x3a),door 0x1d34c8 (preset 0x00c7),0x1d34c8,,2,089718.0 | 0x1d34c8.2
19,,warp,0.000037,88.61,none found,-2360,-3882,0x2b,wall of tile 01BB10 (room 0x2b),door 0x1d2bc8 (preset 0x007c),0x1d2bc8,,3,01BB10.2 | 0x1d2bc8.2
20,,warp,39.312,92.92,none found,-1691,507,0x0f,generic 0x1d056c (preset 0x2836),generic 0x1d1f30 (preset 0x281c),0x1d056c 0x1d1f30,,2,0x1d056c.4 | 0x1d1f30.0
21,,warp,0.0000083,95.52,none found,-197,845,0x0b,wall of tile 1A1E0A (room 0x0b),door 0x1d28c8 (preset 0x012e),0x1d28c8,,4,0x1d28c8.2 | 1A1E0A.1
22,,warp,0.0000013,95.52,none found,-304,-1484,0x2f,wall of tile 017610 (room 0x2f),door 0x1d23c8 (preset 0x007a),0x1d23c8,,4,017610.2 | 0x1d23c8.0
23,,warp,0.0000013,95.52,none found,-304,858,0x0b,wall of tile 1A1E09 (room 0x0b),door 0x1d28c8 (preset 0x012e),0x1d28c8,,4,0x1d28c8.0 | 1A1E09.0
24,,warp,0.0000020,95.52,none found,-689,-554,0x05,wall of tile 007D01 (room 0x05),door 0x1d22c8 (preset 0x0079),0x1d22c8,,4,007D01.1 | 0x1d22c8.0
25,TAS final door warp,warp,0.0000083,95.52,none found,-197,-1497,0x2f,wall of tile 017510 (room 0x2f),door 0x1d23c8 (preset 0x007a),0x1d23c8,,4,017510.1 | 0x1d23c8.2
26,,warp,0.000025,95.52,none found,-1502,-1484,0x30,wall of tile 01EF10 (room 0x30),door 0x1d24c8 (preset 0x007b),0x1d24c8,,4,01EF10.0 | 0x1d24c8.0
27,,warp,39.389,96.68,510,-2018,-3241,0x2b,generic 0x1cae6c (preset 0x2723),generic 0x1cf5ec (preset 0x277c),0x1cae6c 0x1cf5ec,,2,0x1cae6c.1 | 0x1cf5ec.4
28,,warp,0.000023,107.46,none found,-1626,-349,0x08,wall of tile 023E01 (room 0x08),door 0x1d20c8 (preset 0x0077),0x1d20c8,,5,023E01.1 | 0x1d20c8.3
29,,warp,51.056,107.65,351,-1837,860,0x1b,wall of tile 106909 (room 0x1b),generic 0x1cc5ec (preset 0x27ed),0x1cc5ec,,2,0x1cc5ec.2 | 106909.2
30,,warp,46.369,108.07,none found,228,1372,0x0e,wall of tile 1A2209 (room 0x0e),generic 0x1d0e70 (preset 0x27fe),0x1d0e70,,2,0x1d0e70.3 | 1A2209.1
31,,warp,10.022,109.79,none found,-2242,-4907,0x2d,generic 0x1cf36c (preset 0x2776),generic 0x1cf46c (preset 0x2778),0x1cf36c 0x1cf46c,,4,0x1cf36c.2 | 0x1cf46c.5
32,,warp,43.274,110.83,331,-1774,1178,0x1c,wall of tile 106809 (room 0x1c),generic 0x1cc6ec (preset 0x27ef),0x1cc6ec,,4,0x1cc6ec.5 | 106809.0
33,,warp,32.085,112.87,484,-373,-525,0x03,wall of tile 017E02 (room 0x03),generic 0x1cd8ec (preset 0x2738),0x1cd8ec,,2,017E02.2 | 0x1cd8ec.1
34,,warp,0.0000013,113.28,none found,-304,-1471,0x0d,wall of tile 110D09 (room 0x0d),door 0x1d25c8 (preset 0x012b),0x1d25c8,,5,0x1d25c8.0 | 110D09.0
35,,warp,0.0000083,113.28,none found,-197,-1477,0x0d,wall of tile 110D0A (room 0x0d),door 0x1d25c8 (preset 0x012b),0x1d25c8,,5,0x1d25c8.4 | 110D0A.1
36,TAS agent glass warp,warp,0.000080,117.54,none found,197,-2038,0x37,wall of tile 015E19 (room 0x37),glass 0x1d43c8 (preset 0x271b),0x1d43c8,,3,015E19.0 | 0x1d43c8.1
37,,warp,41.663,122.13,316,-1003,838,0x1a,wall of tile 0F7208 (room 0x1a),generic 0x1cc4ec (preset 0x27ea),0x1cc4ec,,11,0F7208.1 | 0x1cc36c.0
38,,warp,3.777,128.85,298,-1462,1052,0x1f,wall of tile 105D0A (room 0x1f),generic 0x1cc56c (preset 0x27eb),0x1cc56c,,2,0x1cc56c.2 | 105D0A.1
39,,warp,45.464,130.62,501,-1954,-1713,0x31,generic 0x1cafec (preset 0x2726),generic 0x1cd4ec (preset 0x272d),0x1cafec 0x1cd4ec,,4,0x1cafec.1 | 0x1cd4ec.3
40,,warp,23.386,131.76,306,128,1030,0x0e,generic 0x1d0df0 (preset 0x27fd),generic 0x1d1570 (preset 0x27ff),0x1d0df0 0x1d1570,,2,0x1d0df0.0 | 0x1d1570.3
41,,warp,1.607,138.32,693,-178,-2417,0x37,generic 0x1cb3ec (preset 0x27bd),generic 0x1cb4ec (preset 0x27bf),0x1cb3ec 0x1cb4ec,,2,0x1cb3ec.3 | 0x1cb4ec.1
42,,warp,21.548,139.45,none found,-1599,507,0x0f,wall of tile 104B08 (room 0x0f),generic 0x1d1f30 (preset 0x281c),0x1d1f30,,2,0x1d1f30.2 | 104B08.3
43,,warp,5.461,139.65,697,-183,-1938,0x37,generic 0x1cb2ec (preset 0x27bb),generic 0x1cb36c (preset 0x27bc),0x1cb2ec 0x1cb36c,,2,0x1cb2ec.0 | 0x1cb36c.4
44,,warp,39.152,150.93,none found,-716,-3830,0x32,wall of tile 001810 (room 0x32),generic 0x1cd6ec (preset 0x2731),0x1cd6ec,,2,001810.0 | 0x1cd6ec.0
45,,warp,23.715,163.75,1055,-3581,-2303,0x2e,wall of tile 01FE10 (room 0x2e),generic 0x1ce56c (preset 0x2752),0x1ce56c,,2,01FE10.0 | 0x1ce56c.0
46,,warp,4.811,172.64,607,-1781,1052,0x1c,wall of tile 106709 (room 0x1c),generic 0x1cc7ec (preset 0x27f1),0x1cc7ec,,2,0x1cc7ec.0 | 106709.1
47,some sterling warp no doubt,warp,33.506,195.07,695,-2601,-2823,0x2b,wall of tile 040210 (room 0x2b),generic 0x1cabec (preset 0x271e),0x1cabec,,16,01A711.0 | 0x1d31c8.1
48,,warp,12.980,235.91,347,-2213,-4278,0x2d,generic 0x1d07ec (preset 0x277e),generic 0x1d12f0 (preset 0x2781),0x1d07ec 0x1d12f0,,2,0x1d07ec.0 | 0x1d12f0.2
49,,warp,15.225,236.38,339,-1864,1002,0x10,generic 0x1d04ec (preset 0x2835),generic 0x1d0ef0 (preset 0x282d),0x1d04ec 0x1d0ef0,,2,0x1d04ec.3 | 0x1d0ef0.0
50,,warp,0.000022,241.47,none found,-580,-554,0x04,wall of tile 00A000 (room 0x04),door 0x1d22c8 (preset 0x0079),0x1d22c8,,8,00A000.2 | 0x1d22c8.4
51,attic warp,warp,35.518,266.77,749,-3082,-3593,0x3d,wall of tile 04B221 (room 0x3d),wall of tile 04B421 (room 0x3d),,,1,04B221.1 | 04B421.1
52,,warp,20.086,268.20,560,-937,-904,0x05,generic 0x1cdbec (preset 0x273e),generic 0x1cddec (preset 0x2742),0x1cdbec 0x1cddec,,4,0x1cdbec.2 | 0x1cddec.0
53,,warp,17.759,323.33,none found,-1349,1269,0x3e,wall of tile 01462A (room 0x3e),door 0x1d41c8 (preset 0x0134),0x1d41c8,,7,0x1ccd6c.5 | 0x1d41c8.1
54,,warp,12.607,356.70,446,-1019,-2374,0x32,generic 0x1d086c (preset 0x277f),generic 0x1d1370 (preset 0x2782),0x1d086c 0x1d1370,,2,0x1d086c.2 | 0x1d1370.0
55,,warp if objects removed,53.976,26.20,565,-794,-1019,0x05,generic 0x1cde6c (preset 0x2743),generic 0x1ce0ec (preset 0x2748),0x1cde6c 0x1ce0ec,0x1cdd6c 0x1cdf6c 0x1cdfec 0x1ce06c,28,0x1cdf6c.2 | 0x1ce06c.4
56,,warp if objects removed,36.375,58.44,395,-2710,-3906,0x2d,generic 0x1cefec (preset 0x276f),door 0x1d2dc8 (preset 0x007e),0x1cefec 0x1d2dc8,0x1cef6c 0x1d2ec8,26,0x1d2dc8.0 | 0x1d2ec8.1
57,,warp if objects removed,57.099,70.79,371,-494,-1275,0x05,wall of tile 008601 (room 0x05),door 0x1d0bec (preset 0x0087),0x1d0bec,0x1d0b6c,6,008601.1 | 0x1d0b6c.1
58,,warp if objects removed,37.491,77.38,none found,267,-673,0x26,wall of tile 102E08 (room 0x26),generic 0x1d076c (preset 0x283a),0x1d076c,0x1d1270,2,0x1d076c.2 | 102E08.0
59,,warp if objects removed,36.892,90.43,none found,-841,-1316,0x05,generic 0x1cda6c (preset 0x273b),generic 0x1cdb6c (preset 0x273d),0x1cda6c 0x1cdb6c,0x1cdaec,4,0x1cda6c.2 | 0x1cdaec.1
60,,warp if objects removed,10.789,117.36,315,-1842,984,0x1c,wall of tile 0F7808 (room 0x1c),generic 0x1cc86c (preset 0x27f2),0x1cc86c,0x1cc5ec 0x1cc66c,6,0x1cc5ec.1 | 0x1cc86c.2
61,,warp if objects removed,23.530,120.77,310,-1600,687,0x0f,wall of tile 19F40A (room 0x0f),generic 0x1d1eb0 (preset 0x281b),0x1d1eb0,0x1d1e30,2,0x1d1eb0.3 | 19F40A.4
62,,warp if objects removed,49.044,122.29,642,-350,1251,0x0a,wall of tile 1AAB09 (room 0x0a),generic 0x1d05ec (preset 0x2837),0x1d05ec,0x1d0ff0,2,0x1d05ec.1 | 1AAB09.1
63,,warp if objects removed,43.488,149.84,426,-3151,-4965,0x2d,wall of tile 01D310 (room 0x2d),generic 0x1cf1ec (preset 0x2773),0x1cf1ec,0x1cf26c 0x1cf2ec,3,01D310.0 | 0x1cf1ec.0
64,,warp if objects removed,25.720,153.07,428,-3458,-2394,0x2e,generic 0x1ce56c (preset 0x2752),generic 0x1ce5ec (preset 0x2753),0x1ce56c 0x1ce5ec,0x1ce66c,2,0x1ce56c.3 | 0x1ce5ec.0
65,,warp if objects removed,21.462,153.26,423,-1959,1329,0x1d,generic 0x1cc8ec (preset 0x27f3),generic 0x1cca6c (preset 0x27f6),0x1cc8ec 0x1cca6c,0x1cc76c 0x1cc9ec,4,0x1cc9ec.4 | 0x1cca6c.2
66,,warp if objects removed,3.704,155.04,none found,-1454,1152,0x11,generic 0x1ccc6c (preset 0x2804),generic 0x1ccd6c (preset 0x2806),0x1ccc6c 0x1ccd6c,0x1d41c8,8,0x1ccc6c.3 | 0x1ccd6c.1
67,,warp if objects removed,1.369,156.85,430,-2238,-1611,0x39,generic 0x1cf76c (preset 0x279a),generic 0x1cf7ec (preset 0x279b),0x1cf76c 0x1cf7ec,0x1cf86c,2,0x1cf76c.1 | 0x1cf7ec.3
68,,warp if objects removed,7.656,159.97,404,-2956,-2991,0x2e,generic 0x1ce96c (preset 0x275f),generic 0x1cea6c (preset 0x2761),0x1ce96c 0x1cea6c,0x1ce9ec,2,0x1ce96c.4 | 0x1cea6c.2
69,,warp if objects removed,7.688,165.95,398,-3348,-2303,0x2e,generic 0x1ce5ec (preset 0x2753),generic 0x1ce6ec (preset 0x2755),0x1ce5ec 0x1ce6ec,0x1ce66c 0x1ce76c 0x1ce7ec,4,0x1ce5ec.3 | 0x1ce76c.0
70,,warp if objects removed,7.648,178.77,436,-787,1137,0x23,generic 0x1cc1ec (preset 0x27e4),generic 0x1cc46c (preset 0x27e9),0x1cc1ec 0x1cc46c,0x1cc26c 0x1cc3ec,7,0x1cc3ec.0 | 0x1cc46c.2
71,,warp if objects removed,11.779,185.97,407,-2123,-4639,0x33,wall of tile 00F518 (room 0x33),generic 0x1cf8ec (preset 0x279d),0x1cf8ec,0x1cf9ec,2,00F518.2 | 0x1cf8ec.4
72,,warp if objects removed,7.284,244.49,346,-1764,539,0x0f,generic 0x1d056c (preset 0x2836),generic 0x1d0f70 (preset 0x282e),0x1d056c 0x1d0f70,0x1d1f30,2,0x1d056c.5 | 0x1d0f70.2
73,,warp if objects removed,17.759,353.86,none found,-1546,1255,0x11,wall of tile 07D708 (room 0x11),door 0x1d41c8 (preset 0x0134),0x1d41c8,0x1ccc6c 0x1cccec,10,07D708.3 | 0x1ccc6c.0
74,,no warp found,0.000025,,,-1502,-1484,0x38,wall of tile 011E18 (room 0x38),door 0x1d26c8 (preset 0x012c),0x1d26c8,,5,011E18.0 | 0x1d26c8.1
75,,no warp found,0.000051,,,-393,1448,0x0a,wall of tile 1AA40A (room 0x0a),door 0x1d40c8 (preset 0x0133),0x1d40c8,,7,0x1d40c8.3 | 1AA40A.1
76,,no warp found,0.000068,,,-357,-1198,0x0d,wall of tile 111008 (room 0x0d),door 0x1d3ec8 (preset 0x0131),0x1d3ec8,,4,0x1d3ec8.4 | 111008.2
77,,no warp found,0.000068,,,-1340,-1198,0x3f,wall of tile 009131 (room 0x3f),door 0x1d3fc8 (preset 0x0132),0x1d3fc8,,4,009131.1 | 0x1d3fc8.0
