object,type,reason
0x1d0d24,generic,Bond walks through it
0x1d1914,weapon,Bond walks through it
0x1d19ac,ammo,Bond walks through it
0x1cfcec,glass,no collision outline in the data
0x1cfd6c,glass,no collision outline in the data
0x1cfdec,glass,no collision outline in the data
0x1cfe6c,glass,no collision outline in the data
0x1cfeec,glass,no collision outline in the data
0x1cff6c,glass,no collision outline in the data
0x1cffec,glass,no collision outline in the data
0x1d006c,glass,no collision outline in the data
0x1d00ec,glass,no collision outline in the data
0x1d016c,glass,no collision outline in the data
0x1d01ec,glass,no collision outline in the data
0x1d026c,glass,no collision outline in the data
0x1d02ec,glass,no collision outline in the data
0x1d036c,glass,no collision outline in the data
0x1d03ec,glass,no collision outline in the data
0x1d046c,glass,no collision outline in the data
0x1d0a6c,generic,no collision outline in the data
0x1d0aec,generic,no collision outline in the data
0x1d4648,glass,"outside the walkable area: seen from above, no part of it is over the floor"
