x,z,between,and
197,-2145,wall of tile 020812 (room 0x2f),glass 0x1d43c8 (preset 0x271b)
197,-2145,wall of tile 020812 (room 0x2f),glass 0x1d43c8 (preset 0x271b)
197,-2145,wall of tile 020812 (room 0x2f),glass 0x1d43c8 (preset 0x271b)
197,-2145,wall of tile 020812 (room 0x2f),glass 0x1d4448 (preset 0x2716)
197,-2145,wall of tile 020812 (room 0x2f),glass 0x1d4448 (preset 0x2716)
197,-2145,wall of tile 020812 (room 0x2f),glass 0x1d4448 (preset 0x2716)
-393,-1618,wall of tile 050312 (room 0x2f),door 0x1d39c8 (preset 0x0085)
-393,-1618,wall of tile 050312 (room 0x2f),door 0x1d39c8 (preset 0x0085)
-379,-1618,wall of tile 050312 (room 0x2f),door 0x1d39c8 (preset 0x0085)
-379,-1618,wall of tile 050312 (room 0x2f),door 0x1d39c8 (preset 0x0085)
-304,-1484,wall of tile 018502 (room 0x01),door 0x1d23c8 (preset 0x007a)
-304,-1484,wall of tile 018502 (room 0x01),door 0x1d23c8 (preset 0x007a)
-304,-1484,wall of tile 017610 (room 0x2f),door 0x1d23c8 (preset 0x007a)
-304,-1497,wall of tile 017610 (room 0x2f),door 0x1d23c8 (preset 0x007a)
-304,-1497,wall of tile 017610 (room 0x2f),door 0x1d23c8 (preset 0x007a)
-304,-1484,wall of tile 017610 (room 0x2f),door 0x1d23c8 (preset 0x007a)
-580,-554,wall of tile 00A000 (room 0x04),door 0x1d22c8 (preset 0x0079)
-580,-554,wall of tile 00A000 (room 0x04),door 0x1d22c8 (preset 0x0079)
-689,-554,wall of tile 007D01 (room 0x05),door 0x1d22c8 (preset 0x0079)
-689,-568,wall of tile 007D01 (room 0x05),door 0x1d22c8 (preset 0x0079)
-689,-568,wall of tile 007D01 (room 0x05),door 0x1d22c8 (preset 0x0079)
-689,-554,wall of tile 007D01 (room 0x05),door 0x1d22c8 (preset 0x0079)
-580,-568,wall of tile 007C01 (room 0x05),door 0x1d22c8 (preset 0x0079)
-580,-568,wall of tile 007C01 (room 0x05),door 0x1d22c8 (preset 0x0079)
-580,-554,wall of tile 007C01 (room 0x05),door 0x1d22c8 (preset 0x0079)
-580,-554,wall of tile 007C01 (room 0x05),door 0x1d22c8 (preset 0x0079)
-1251,-1162,wall of tile 008702 (room 0x05),door 0x1d21c8 (preset 0x0078)
-1251,-1162,wall of tile 008702 (room 0x05),door 0x1d21c8 (preset 0x0078)
-1251,-1269,wall of tile 008500 (room 0x05),door 0x1d21c8 (preset 0x0078)
-1251,-1269,wall of tile 008500 (room 0x05),door 0x1d21c8 (preset 0x0078)
-1264,-1162,wall of tile 008201 (room 0x06),door 0x1d21c8 (preset 0x0078)
-1251,-1162,wall of tile 008201 (room 0x06),door 0x1d21c8 (preset 0x0078)
-1251,-1162,wall of tile 008201 (room 0x06),door 0x1d21c8 (preset 0x0078)
-1264,-1162,wall of tile 008201 (room 0x06),door 0x1d21c8 (preset 0x0078)
-1264,-1269,wall of tile 008202 (room 0x06),door 0x1d21c8 (preset 0x0078)
-1264,-1269,wall of tile 008202 (room 0x06),door 0x1d21c8 (preset 0x0078)
-1251,-1269,wall of tile 008202 (room 0x06),door 0x1d21c8 (preset 0x0078)
-1251,-1269,wall of tile 008202 (room 0x06),door 0x1d21c8 (preset 0x0078)
-1626,-456,wall of tile 023E02 (room 0x08),door 0x1d20c8 (preset 0x0077)
-1626,-456,wall of tile 023E02 (room 0x08),door 0x1d20c8 (preset 0x0077)
-1639,-456,wall of tile 023D01 (room 0x09),door 0x1d20c8 (preset 0x0077)
-1639,-456,wall of tile 023D01 (room 0x09),door 0x1d20c8 (preset 0x0077)
-1626,-456,wall of tile 023D01 (room 0x09),door 0x1d20c8 (preset 0x0077)
-1626,-456,wall of tile 023D01 (room 0x09),door 0x1d20c8 (preset 0x0077)
-1395,-1484,wall of tile 018802 (room 0x06),door 0x1d24c8 (preset 0x007b)
-1502,-1484,wall of tile 018801 (room 0x06),door 0x1d24c8 (preset 0x007b)
-1502,-1484,wall of tile 018801 (room 0x06),door 0x1d24c8 (preset 0x007b)
-1395,-1497,wall of tile 050012 (room 0x30),door 0x1d24c8 (preset 0x007b)
-1395,-1484,wall of tile 050012 (room 0x30),door 0x1d24c8 (preset 0x007b)
-1502,-1484,wall of tile 01EF10 (room 0x30),door 0x1d24c8 (preset 0x007b)
-1502,-1497,wall of tile 01EF10 (room 0x30),door 0x1d24c8 (preset 0x007b)
-1502,-1497,wall of tile 01EF10 (room 0x30),door 0x1d24c8 (preset 0x007b)
