between,and,width,kept,reason,because_of
wall of tile 00FB52 (room 0x5c),wall of tile 00274A (room 0x5b),48.158,no,the line between them touches another wall,wall of tile 000E4A (room 0x5b)
wall of tile 00FB52 (room 0x5c),wall of tile 00CE52 (room 0x5c),36.826,no,the line between them touches another wall,wall of tile 009C52 (room 0x5c)
wall of tile 00FB51 (room 0x5c),wall of tile 00CE51 (room 0x5c),36.826,no,the line between them touches another wall,wall of tile 009C51 (room 0x5c)
wall of tile 00FB51 (room 0x5c),wall of tile 00A052 (room 0x5c),36.826,no,the line between them touches another wall,wall of tile 009E52 (room 0x5c)
wall of tile 00FC50 (room 0x5c),wall of tile 002749 (room 0x5b),48.158,no,the line between them touches another wall,wall of tile 000E49 (room 0x5b)
wall of tile 00FC50 (room 0x5c),wall of tile 00A051 (room 0x5c),36.826,no,the line between them touches another wall,wall of tile 009E51 (room 0x5c)
wall of tile 002A4A (room 0x5b),wall of tile 009649 (room 0x5b),36.827,no,the line between them touches another wall,wall of tile 00AC4A (room 0x5b)
wall of tile 002A4A (room 0x5b),wall of tile 009549 (room 0x59),36.827,no,the line between them touches another wall,wall of tile 00AC4A (room 0x5b)
wall of tile 002A4A (room 0x5b),wall of tile 00AA4A (room 0x5b),36.827,no,the line between them touches another wall,wall of tile 00AC4A (room 0x5b)
wall of tile 006E4A (room 0x58),wall of tile 00E849 (room 0x58),36.826,no,the line between them touches another wall,wall of tile 00EE49 (room 0x58)
wall of tile 006E49 (room 0x58),wall of tile 00E84A (room 0x58),36.826,no,the line between them touches another wall,wall of tile 00EE4A (room 0x58)
wall of tile 006E49 (room 0x58),wall of tile 00C64A (room 0x58),36.826,no,the line between them touches another wall,wall of tile 00EE4A (room 0x58)
wall of tile 00EE49 (room 0x58),wall of tile 00EA49 (room 0x58),36.827,no,the line between them touches another wall,wall of tile 00E849 (room 0x58)
wall of tile 00EE4A (room 0x58),wall of tile 00EA4A (room 0x58),36.827,no,the line between them touches another wall,wall of tile 00E84A (room 0x58)
wall of tile 00EE4A (room 0x58),wall of tile 00CA4A (room 0x58),36.827,no,the line between them touches another wall,wall of tile 00E84A (room 0x58)
wall of tile 00E849 (room 0x58),wall of tile 00F049 (room 0x58),36.827,no,the line between them touches another wall,wall of tile 00EA49 (room 0x58)
