object,type,reason
0x1e8d0c,generic,Bond walks through it
0x1ea480,body_armour,Bond walks through it
0x1eaa18,weapon,Bond walks through it
0x1eaab0,weapon,Bond walks through it
0x1eab48,weapon,Bond walks through it
0x1eabe0,weapon,Bond walks through it
0x1eac78,weapon,Bond walks through it
0x1ead10,weapon,Bond walks through it
0x1eada8,weapon,Bond walks through it
0x1eae40,weapon,Bond walks through it
0x1e2af4,monitor,no collision outline in the data
0x1e2bf4,monitor,no collision outline in the data
0x1e2cf4,monitor,no collision outline in the data
0x1e2df4,monitor,no collision outline in the data
0x1e2ef4,monitor,no collision outline in the data
0x1e2ff4,monitor,no collision outline in the data
0x1e30f4,monitor,no collision outline in the data
0x1e31f4,monitor,no collision outline in the data
0x1e32f4,monitor,no collision outline in the data
0x1e33f4,monitor,no collision outline in the data
0x1e34f4,monitor,no collision outline in the data
0x1e35f4,monitor,no collision outline in the data
0x1e36f4,monitor,no collision outline in the data
0x1e37f4,monitor,no collision outline in the data
0x1e38f4,monitor,no collision outline in the data
0x1e39f4,monitor,no collision outline in the data
0x1e3af4,monitor,no collision outline in the data
0x1e3bf4,monitor,no collision outline in the data
0x1e3cf4,monitor,no collision outline in the data
0x1e3df4,monitor,no collision outline in the data
0x1e3ef4,monitor,no collision outline in the data
0x1e3ff4,monitor,no collision outline in the data
0x1e40f4,monitor,no collision outline in the data
0x1e41f4,monitor,no collision outline in the data
0x1e42f4,monitor,no collision outline in the data
0x1e43f4,monitor,no collision outline in the data
0x1e44f4,monitor,no collision outline in the data
0x1e45f4,monitor,no collision outline in the data
0x1e46f4,monitor,no collision outline in the data
0x1e47f4,monitor,no collision outline in the data
0x1e48f4,monitor,no collision outline in the data
0x1e49f4,monitor,no collision outline in the data
0x1e4af4,monitor,no collision outline in the data
0x1e4bf4,monitor,no collision outline in the data
0x1e4cf4,monitor,no collision outline in the data
0x1e4df4,monitor,no collision outline in the data
0x1e4ef4,monitor,no collision outline in the data
0x1e4ff4,monitor,no collision outline in the data
0x1e50f4,monitor,no collision outline in the data
0x1e51f4,monitor,no collision outline in the data
0x1e52f4,monitor,no collision outline in the data
0x1e53f4,monitor,no collision outline in the data
0x1e54f4,monitor,no collision outline in the data
0x1e55f4,monitor,no collision outline in the data
0x1e56f4,monitor,no collision outline in the data
0x1e57f4,monitor,no collision outline in the data
0x1e58f4,monitor,no collision outline in the data
0x1e59f4,monitor,no collision outline in the data
0x1e5af4,monitor,no collision outline in the data
0x1e5bf4,monitor,no collision outline in the data
0x1e5cf4,monitor,no collision outline in the data
0x1e5df4,monitor,no collision outline in the data
0x1e5ef4,monitor,no collision outline in the data
0x1e5ff4,monitor,no collision outline in the data
0x1e60f4,monitor,no collision outline in the data
0x1e61f4,monitor,no collision outline in the data
0x1e62f4,monitor,no collision outline in the data
0x1e63f4,monitor,no collision outline in the data
0x1e64f4,monitor,no collision outline in the data
0x1e65f4,monitor,no collision outline in the data
0x1e66f4,monitor,no collision outline in the data
0x1e67f4,monitor,no collision outline in the data
0x1e68f4,monitor,no collision outline in the data
0x1e69f4,monitor,no collision outline in the data
0x1e6af4,monitor,no collision outline in the data
0x1e6bf4,monitor,no collision outline in the data
0x1e6cf4,monitor,no collision outline in the data
0x1e6df4,monitor,no collision outline in the data
0x1e7d34,door,no collision outline in the data
0x1e7e34,generic,no collision outline in the data
0x1e8444,monitor,no collision outline in the data
0x1e8554,generic,no collision outline in the data
0x1e89ec,monitor,no collision outline in the data
0x1e8aec,generic,no collision outline in the data
0x1e8f70,monitor,no collision outline in the data
0x1e9070,monitor,no collision outline in the data
0x1e9170,monitor,no collision outline in the data
0x1e9270,monitor,no collision outline in the data
0x1e9370,monitor,no collision outline in the data
0x1e9470,monitor,no collision outline in the data
0x1e9570,monitor,no collision outline in the data
0x1e9670,monitor,no collision outline in the data
0x1e9880,monitor,no collision outline in the data
0x1e9980,generic,no collision outline in the data
0x1e9a80,monitor,no collision outline in the data
0x1e9b80,generic,no collision outline in the data
0x1ea508,drone,no collision outline in the data
0x1ea5e0,drone,no collision outline in the data
0x1ea6b8,drone,no collision outline in the data
0x1ea790,drone,no collision outline in the data
0x1ea868,drone,no collision outline in the data
0x1ea940,drone,no collision outline in the data
0x1e7104,door,"removed by filters/levels/aztec.py, ""doors under the rocket"": The pair of doors between the rocket above and the table room below, which Bond gets 'trapped' in. Each is a slab 4 m by 9.6 m lying flat, 3 m over his head there."
0x1e7204,door,"removed by filters/levels/aztec.py, ""doors under the rocket"": The pair of doors between the rocket above and the table room below, which Bond gets 'trapped' in. Each is a slab 4 m by 9.6 m lying flat, 3 m over his head there."
