x,z,between,and
3651,210,wall of tile 024909 (room 0x0a),wall of tile 01A20A (room 0x0a)
3651,221,wall of tile 024909 (room 0x0a),wall of tile 01A40A (room 0x0a)
3283,210,wall of tile 02490A (room 0x0a),wall of tile 01A30A (room 0x0a)
3283,195,wall of tile 02490A (room 0x0a),wall of tile 01A10A (room 0x0a)
3283,-221,wall of tile 05480A (room 0x0a),wall of tile 018B0A (room 0x0a)
3283,-210,wall of tile 05480A (room 0x0a),wall of tile 01890A (room 0x0a)
3651,-195,wall of tile 01880A (room 0x0a),wall of tile 054809 (room 0x0a)
3651,-210,wall of tile 018A0A (room 0x0a),wall of tile 054809 (room 0x0a)
3651,-221,wall of tile 018C0A (room 0x0a),wall of tile 054809 (room 0x0a)
5422,-74,wall of tile 005901 (room 0x01),door 0x1e6ef4 (preset 0x0022)
5421,74,wall of tile 005602 (room 0x01),door 0x1e6ef4 (preset 0x0022)
5459,-147,wall of tile 032202 (room 0x06),door 0x1e6ef4 (preset 0x0022)
5459,147,wall of tile 005200 (room 0x06),door 0x1e6ef4 (preset 0x0022)
5459,147,wall of tile 005200 (room 0x06),door 0x1e6ef4 (preset 0x0022)
1020,74,wall of tile 055709 (room 0x0b),door 0x1e6ff4 (preset 0x0023)
1020,-74,wall of tile 05600A (room 0x0b),door 0x1e6ff4 (preset 0x0023)
960,-74,wall of tile 05470A (room 0x0d),door 0x1e6ff4 (preset 0x0023)
960,74,wall of tile 054709 (room 0x0d),door 0x1e6ff4 (preset 0x0023)
-516,615,wall of tile 00CF12 (room 0x17),monitor 0x1e8324 (preset 0x2716)
-516,694,wall of tile 00CE12 (room 0x14),monitor 0x1e8324 (preset 0x2716)
-1034,773,wall of tile 00D111 (room 0x13),door 0x1e8224 (preset 0x0078)
-1147,773,wall of tile 036D19 (room 0x18),door 0x1e8224 (preset 0x0078)
-2521,983,wall of tile 008B1A (room 0x22),monitor 0x1e7fc4 (preset 0x272f)
-2926,983,wall of tile 008B1A (room 0x22),monitor 0x1e7ec4 (preset 0x272e)
-2632,983,wall of tile 008B1A (room 0x22),monitor 0x1e7fc4 (preset 0x272f)
-2926,983,wall of tile 000822 (room 0x30),monitor 0x1e7ec4 (preset 0x272e)
-2632,983,wall of tile 000521 (room 0x23),monitor 0x1e7fc4 (preset 0x272f)
-2521,983,wall of tile 000522 (room 0x23),monitor 0x1e7fc4 (preset 0x272f)
-6419,2017,wall of tile 001529 (room 0x3d),glass 0x1e8e48 (preset 0x27a0)
-6419,2017,wall of tile 001529 (room 0x3d),glass 0x1e8e48 (preset 0x27a0)
-6419,983,wall of tile 00152A (room 0x3d),glass 0x1e8db4 (preset 0x279f)
-6417,983,wall of tile 00152A (room 0x3d),glass 0x1e8edc (preset 0x279e)
-6417,983,wall of tile 00152A (room 0x3d),glass 0x1e8edc (preset 0x279e)
-6419,2017,wall of tile 000128 (room 0x40),glass 0x1e8e48 (preset 0x27a0)
-6419,2017,wall of tile 000128 (room 0x40),glass 0x1e8e48 (preset 0x27a0)
-6419,983,wall of tile 000028 (room 0x3f),glass 0x1e8db4 (preset 0x279f)
-6419,983,wall of tile 000028 (room 0x3f),glass 0x1e8db4 (preset 0x279f)
-3433,246,wall of tile 018129 (room 0x42),monitor 0x1dfb24 (preset 0x2791)
-3354,246,wall of tile 018129 (room 0x42),monitor 0x1dfb24 (preset 0x2791)
-1453,-295,wall of tile 012410 (room 0x12),door 0x1e87f4 (preset 0x007a)
-1428,-295,wall of tile 012410 (room 0x12),door 0x1e87f4 (preset 0x007a)
-1428,-295,wall of tile 012410 (room 0x12),door 0x1e87f4 (preset 0x007a)
-1453,295,wall of tile 003310 (room 0x12),door 0x1e86f4 (preset 0x007e)
-1428,295,wall of tile 003310 (room 0x12),door 0x1e86f4 (preset 0x007e)
-1453,295,wall of tile 003310 (room 0x12),door 0x1e86f4 (preset 0x007e)
-5184,1031,generic 0x1e9f00 (preset 0x009c),generic 0x1e9f80 (preset 0x00a0)
-5139,1026,generic 0x1e9f00 (preset 0x009c),generic 0x1e9f80 (preset 0x00a0)
-5097,1033,generic 0x1e9f00 (preset 0x009c),generic 0x1e9f80 (preset 0x00a0)
-5089,1102,generic 0x1e9f00 (preset 0x009c),generic 0x1e9f80 (preset 0x00a0)
-5093,1127,generic 0x1e9f00 (preset 0x009c),generic 0x1e9f80 (preset 0x00a0)
-5142,1132,generic 0x1e9f00 (preset 0x009c),generic 0x1e9f80 (preset 0x00a0)
-5195,1099,generic 0x1e9f00 (preset 0x009c),generic 0x1e9f80 (preset 0x00a0)
-5192,1124,generic 0x1e9f00 (preset 0x009c),generic 0x1e9f80 (preset 0x00a0)
