edge,room,from_x,from_z,to_x,to_z,still_a_wall_along
039B01.0,0x06,5422.0,-73.7,5422.0,-147.3,none of it
039A02.2,0x06,5422.0,-147.3,5422.0,-73.7,none of it
00DA02.1,0x05,6676.9,99.1,6676.9,110.5,none of it
008A01.0,0x05,6676.9,-110.5,6676.9,-99.1,none of it
008B02.2,0x05,6676.9,-99.1,6676.9,-85.0,none of it
008C02.2,0x05,6676.9,-85.0,6676.9,-73.7,none of it
008D02.2,0x05,6676.9,-73.7,6676.9,-62.3,none of it
007701.0,0x05,6676.9,-62.3,6676.9,-48.2,none of it
007802.2,0x05,6676.9,-48.2,6676.9,-36.8,none of it
007902.2,0x05,6676.9,-36.8,6676.9,0.0,none of it
00C901.0,0x05,6676.9,0.0,6676.9,36.8,none of it
00CA02.1,0x05,6676.9,147.3,6676.9,0.0,"(6676.9, 147.3) to (6676.9, 110.5)"
007A01.0,0x05,6676.9,0.0,6676.9,-147.3,"(6676.9, -110.5) to (6676.9, -147.3)"
00C802.2,0x05,6676.9,36.8,6676.9,48.2,none of it
00C702.1,0x05,6676.9,48.2,6676.9,62.3,none of it
00DD02.2,0x05,6676.9,62.3,6676.9,73.7,none of it
00DC02.2,0x05,6676.9,73.7,6676.9,85.0,none of it
00DB02.2,0x05,6676.9,85.0,6676.9,99.1,none of it
055F08.1,0x0b,1019.8,-73.7,1019.8,-147.3,none of it
055F08.2,0x0b,1019.8,-147.3,1019.8,-73.7,none of it
055E08.0,0x0d,960.3,-147.3,960.3,-73.7,none of it
055E08.2,0x0d,960.3,-73.7,960.3,-147.3,none of it
055C08.1,0x0d,960.3,73.7,960.3,147.3,none of it
055C08.2,0x0d,960.3,147.3,960.3,73.7,none of it
055B08.0,0x0b,1019.8,147.3,1019.8,73.7,none of it
055B08.2,0x0b,1019.8,73.7,1019.8,147.3,none of it
