between,and,width,kept,reason,because_of
wall of tile 1DE322 (room 0x1e),wall of tile 1DDF21 (room 0x1e),0.765,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DE322 (room 0x1e),wall of tile 1DC722 (room 0x1e),46.614,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DE322 (room 0x1e),wall of tile 1DBF21 (room 0x1e),45.173,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DE322 (room 0x1e),wall of tile 1DC221 (room 0x1e),45.173,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DE322 (room 0x1e),wall of tile 1DC321 (room 0x1e),46.134,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DE322 (room 0x1e),wall of tile 1DD221 (room 0x1e),46.727,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 1DE322 (room 0x1e),wall of tile 26CB21 (room 0x1e),50.064,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 1DE322 (room 0x1e),wall of tile 1DC722 (room 0x1e),50.064,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DE322 (room 0x1e),wall of tile 1DBF21 (room 0x1e),50.064,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DDC21 (room 0x1e),wall of tile 1DDF21 (room 0x1e),0.765,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DDC21 (room 0x1e),wall of tile 1DBF22 (room 0x1e),45.173,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DDC21 (room 0x1e),wall of tile 1DC222 (room 0x1e),45.173,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DDC21 (room 0x1e),wall of tile 1DC322 (room 0x1e),46.134,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DDC21 (room 0x1e),wall of tile 1DD222 (room 0x1e),46.727,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 1DDC21 (room 0x1e),wall of tile 26CB22 (room 0x1e),50.064,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 1DDC21 (room 0x1e),wall of tile 1DC821 (room 0x1e),46.614,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DDF22 (room 0x1e),wall of tile 1DC322 (room 0x1e),51.151,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DDF22 (room 0x1e),wall of tile 1DD222 (room 0x1e),46.194,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DDF22 (room 0x1e),wall of tile 26CB22 (room 0x1e),50.064,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 1DDF22 (room 0x1e),wall of tile 1DC821 (room 0x1e),45.849,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DDF21 (room 0x1e),wall of tile 1DC322 (room 0x1e),37.084,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DDF21 (room 0x1e),wall of tile 1DC321 (room 0x1e),37.084,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DDF21 (room 0x1e),wall of tile 26CB22 (room 0x1e),35.230,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 1DDF21 (room 0x1e),wall of tile 26CB21 (room 0x1e),35.230,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 1DDF21 (room 0x1e),wall of tile 1DC721 (room 0x1e),0.765,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DDF21 (room 0x1e),wall of tile 1DC721 (room 0x1e),35.230,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 1DDF21 (room 0x1e),wall of tile 1DC822 (room 0x1e),0.765,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DDF21 (room 0x1e),wall of tile 1DC821 (room 0x1e),35.230,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 1DDF21 (room 0x1e),wall of tile 1DC722 (room 0x1e),45.849,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DDF21 (room 0x1e),wall of tile 1DC321 (room 0x1e),51.151,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DDF21 (room 0x1e),wall of tile 1DD221 (room 0x1e),46.194,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DDF21 (room 0x1e),wall of tile 26CB21 (room 0x1e),50.064,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 1DDC22 (room 0x1e),wall of tile 1DBF22 (room 0x1e),50.064,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DDC22 (room 0x1e),wall of tile 1DC821 (room 0x1e),50.064,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 03C920 (room 0x1e),wall of tile 1DC722 (room 0x1e),50.064,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 1DC721 (room 0x1e)
wall of tile 03C920 (room 0x1e),wall of tile 1DBF21 (room 0x1e),50.064,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 1DC721 (room 0x1e)
wall of tile 1DC722 (room 0x1e),wall of tile 1DC221 (room 0x1e),0.481,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 1DC722 (room 0x1e),wall of tile 016601 (room 0x04),46.058,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DC722 (room 0x1e),wall of tile 015101 (room 0x04),58.194,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DC722 (room 0x1e),wall of tile 1DC721 (room 0x1e),46.614,yes,,
wall of tile 1DC722 (room 0x1e),door 0x1d24f0 (preset 0x0006),46.058,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DC722 (room 0x1e),door 0x1d24f0 (preset 0x0006),46.058,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DC722 (room 0x1e),door 0x1d24f0 (preset 0x0006),58.194,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DBF22 (room 0x1e),wall of tile 1DC322 (room 0x1e),38.225,no,the line between them touches another wall,wall of tile 1DC222 (room 0x1e)
wall of tile 1DBF22 (room 0x1e),wall of tile 1DC822 (room 0x1e),45.173,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DBF22 (room 0x1e),wall of tile 03D120 (room 0x1e),50.064,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 1DC822 (room 0x1e)
wall of tile 1DBF21 (room 0x1e),wall of tile 1DC321 (room 0x1e),38.225,no,the line between them touches another wall,wall of tile 1DC221 (room 0x1e)
wall of tile 1DBF21 (room 0x1e),wall of tile 1DC721 (room 0x1e),45.173,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DC222 (room 0x1e),wall of tile 1DD222 (room 0x1e),38.225,no,the line between them touches another wall,wall of tile 1DC322 (room 0x1e)
wall of tile 1DC222 (room 0x1e),wall of tile 1DC822 (room 0x1e),45.173,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1DC222 (room 0x1e),wall of tile 1DC821 (room 0x1e),0.481,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 1DC221 (room 0x1e),wall of tile 1DD221 (room 0x1e),38.225,no,the line between them touches another wall,wall of tile 1DC321 (room 0x1e)
wall of tile 1DC221 (room 0x1e),wall of tile 1DC721 (room 0x1e),45.173,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
