object,type,reason
0x1ce274,weapon,Bond walks through it
0x1d3670,ammo,Bond walks through it
0x1ce0e4,monitor,no collision outline in the data
0x1ce1e4,generic,no collision outline in the data
0x1ceb0c,camera,no collision outline in the data
0x1cec08,camera,no collision outline in the data
0x1ced04,camera,no collision outline in the data
0x1cee00,camera,no collision outline in the data
0x1ceeec,alarm,no collision outline in the data
0x1cef6c,alarm,no collision outline in the data
0x1cefec,monitor,no collision outline in the data
0x1cf46c,monitor,no collision outline in the data
0x1cfcfc,monitor,no collision outline in the data
0x1cff50,monitor,no collision outline in the data
0x1d0050,monitor,no collision outline in the data
0x1d0150,monitor,no collision outline in the data
0x1d0250,monitor,no collision outline in the data
0x1d0350,monitor,no collision outline in the data
0x1d0450,monitor,no collision outline in the data
0x1d0550,monitor,no collision outline in the data
0x1d0650,monitor,no collision outline in the data
0x1d0750,monitor,no collision outline in the data
0x1d0850,monitor,no collision outline in the data
0x1d0950,monitor,no collision outline in the data
0x1d0a50,monitor,no collision outline in the data
0x1d0b50,monitor,no collision outline in the data
0x1d0c50,monitor,no collision outline in the data
0x1d0d50,monitor,no collision outline in the data
0x1d0e50,monitor,no collision outline in the data
0x1d0f50,monitor,no collision outline in the data
0x1d1050,monitor,no collision outline in the data
0x1d1150,monitor,no collision outline in the data
0x1d1250,monitor,no collision outline in the data
