key,filter,reason,status,width_cm,x,z,between,and
087B12.2 | 0x1da7ac.0,anvil and hammer,"door 0x1da7ac (preset 0x0067) is 0.0 cm from a straight wall, closer than Bond's radius, with 5.7 m of it to one side and 8.6 m of it to the other",no warp found,0.00012,-2518,2478,wall of tile 087B12 (room 0x25),door 0x1da7ac (preset 0x0067)
083411.1 | 0x1da4ac.2,anvil and hammer,"door 0x1da4ac (preset 0x0062) is 0.0 cm from a straight wall, closer than Bond's radius, with 25.1 m of it to one side and 21.7 m of it to the other",no warp found,0.00041,-1087,5029,wall of tile 083411 (room 0x18),door 0x1da4ac (preset 0x0062)
0A4A11.1 | 0x1da2ac.2,anvil and hammer,"door 0x1da2ac (preset 0x0060) is 0.0 cm from a straight wall, closer than Bond's radius, with 14.0 m of it to one side and 32.9 m of it to the other",no warp found,0.00041,-2201,5029,wall of tile 0A4A11 (room 0x1e),door 0x1da2ac (preset 0x0060)
036C19.0 | 0x1de354.4,anvil and hammer,"generic 0x1de354 (preset 0x2739) is 3.6 cm from a straight wall, closer than Bond's radius, with 3.4 m of it to one side and 0.2 m of it ending at a protrusion to the other",no warp found,3.579,-1246,3174,wall of tile 036C19 (room 0x2b),generic 0x1de354 (preset 0x2739)
036C19.0 | 0x1de4d4.4,anvil and hammer,"generic 0x1de4d4 (preset 0x273b) is 3.6 cm from a straight wall, closer than Bond's radius, with 2.1 m of it ending at a protrusion to one side and 1.5 m of it ending at a protrusion to the other",no warp found,3.579,-1374,3174,wall of tile 036C19 (room 0x2b),generic 0x1de4d4 (preset 0x273b)
036C19.0 | 0x1de554.4,anvil and hammer,"monitor 0x1de554 (preset 0x273c) is 3.6 cm from a straight wall, closer than Bond's radius, with 1.4 m of it ending at a protrusion to one side and 2.2 m of it ending at a protrusion to the other",no warp found,3.579,-1439,3174,wall of tile 036C19 (room 0x2b),monitor 0x1de554 (preset 0x273c)
036C19.0 | 0x1de654.4,anvil and hammer,"generic 0x1de654 (preset 0x273d) is 3.6 cm from a straight wall, closer than Bond's radius, with 0.8 m of it ending at a protrusion to one side and 2.8 m of it ending at a protrusion to the other",no warp found,3.579,-1504,3174,wall of tile 036C19 (room 0x2b),generic 0x1de654 (preset 0x273d)
036C19.0 | 0x1de3d4.4,anvil and hammer,"monitor 0x1de3d4 (preset 0x273a) is 3.6 cm from a straight wall, closer than Bond's radius, with 2.7 m of it ending at a protrusion to one side and 0.9 m of it ending at a protrusion to the other",no warp found,3.583,-1311,3174,wall of tile 036C19 (room 0x2b),monitor 0x1de3d4 (preset 0x273a)
0B1311.1 | 0x1d90f4.1,anvil and hammer,"generic 0x1d90f4 (preset 0x272e) is 13.0 cm from a straight wall, closer than Bond's radius, with 5.1 m of it to one side and 2.7 m of it ending at a protrusion to the other",no warp found,12.959,-1681,2755,wall of tile 0B1311 (room 0x0a),generic 0x1d90f4 (preset 0x272e)
0B1511.0 | 0x1df314.3,anvil and hammer,"generic 0x1df314 (preset 0x271c) is 24.7 cm from a straight wall, closer than Bond's radius, with 1.8 m of it ending at a protrusion to one side and 2.4 m of it ending at a protrusion to the other",no warp found,24.675,-1957,3292,wall of tile 0B1511 (room 0x0a),generic 0x1df314 (preset 0x271c)
02EB08.2 | 02EC08.1,narrow pocket,"the floor to one side of it is a pocket only 42.6 cm across, measured along the pinch line, so Bond fits nowhere in it",no warp found,42.647,-428,1288,wall of tile 02EB08 (room 0x06),wall of tile 02EC08 (room 0x06)
004008.3 | 004C09.1,narrow pocket,"the floor to one side of it is a pocket only 42.6 cm across, measured along the pinch line, so Bond fits nowhere in it",no warp found,42.647,-428,-394,wall of tile 004008 (room 0x06),wall of tile 004C09 (room 0x06)
1DC731.0 | 1DC732.1,narrow pocket,"the floor to one side of it is a pocket only 46.6 cm across, measured along the pinch line, so Bond fits nowhere in it",no warp found,46.614,-125,-2601,wall of tile 1DC732 (room 0x44),wall of tile 1DC731 (room 0x44)
1DC831.0 | 1DC832.1,narrow pocket,"the floor to one side of it is a pocket only 46.6 cm across, measured along the pinch line, so Bond fits nowhere in it",no warp found,46.614,125,-2601,wall of tile 1DC832 (room 0x44),wall of tile 1DC831 (room 0x44)
