x,z,between,and
35,-2475,wall of tile 016602 (room 0x04),door 0x1dacac (preset 0x006c)
35,-2461,wall of tile 016602 (room 0x04),door 0x1dacac (preset 0x006c)
122,-580,wall of tile 014E02 (room 0x01),door 0x1db1dc (preset 0x0000)
122,-572,wall of tile 014E02 (room 0x01),door 0x1db1dc (preset 0x0000)
944,-773,wall of tile 048309 (room 0x08),generic 0x1df794 (preset 0x272f)
986,-423,wall of tile 048508 (room 0x08),glass 0x1d922c (preset 0x277d)
986,-423,wall of tile 048508 (room 0x08),glass 0x1d922c (preset 0x277d)
944,-708,wall of tile 048508 (room 0x08),generic 0x1df794 (preset 0x272f)
-1752,1914,wall of tile 06D711 (room 0x0e),door 0x1d97ac (preset 0x0055)
-1752,1925,wall of tile 06D711 (room 0x0e),door 0x1d97ac (preset 0x0055)
-1975,1914,wall of tile 06D712 (room 0x0e),door 0x1d96ac (preset 0x0054)
-1975,1925,wall of tile 06D712 (room 0x0e),door 0x1d96ac (preset 0x0054)
-1448,2090,wall of tile 005B1A (room 0x2c),door 0x1db0dc (preset 0x0009)
-1328,2090,wall of tile 00701A (room 0x2e),door 0x1db0dc (preset 0x0009)
-1329,2099,wall of tile 00701A (room 0x2e),door 0x1db0dc (preset 0x0009)
-1446,2099,wall of tile 007019 (room 0x2e),door 0x1db0dc (preset 0x0009)
-1448,2546,wall of tile 01D41A (room 0x2e),door 0x1dafdc (preset 0x0008)
-1446,2537,wall of tile 01D41A (room 0x2e),door 0x1dafdc (preset 0x0008)
-1329,2537,wall of tile 01D419 (room 0x2e),door 0x1dafdc (preset 0x0008)
-1328,2546,wall of tile 01D419 (room 0x2e),door 0x1dafdc (preset 0x0008)
-1624,2976,wall of tile 036E19 (room 0x2b),generic 0x1d8fbc (preset 0x2732)
-1166,2741,wall of tile 06D512 (room 0x12),door 0x1d99ac (preset 0x0057)
-1155,2741,wall of tile 06D512 (room 0x12),door 0x1d99ac (preset 0x0057)
-1166,2961,wall of tile 06D511 (room 0x12),door 0x1d98ac (preset 0x0056)
-1155,2961,wall of tile 06D511 (room 0x12),door 0x1d98ac (preset 0x0056)
