between,and,width,kept,reason,because_of
wall of tile 003330 (room 0x3f),wall of tile 042520 (room 0x3b),52.192,no,the line between them touches another wall,wall of tile 004A30 (room 0x3f)
wall of tile 003330 (room 0x3f),wall of tile 042720 (room 0x3b),50.155,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 003330 (room 0x3f),wall of tile 03FA20 (room 0x3b),33.552,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 003330 (room 0x3f),door 0x1cd580 (preset 0x006d),52.192,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 004A30 (room 0x3f)
wall of tile 003330 (room 0x3f),door 0x1cd580 (preset 0x006d),52.192,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 004A30 (room 0x3f)
wall of tile 003330 (room 0x3f),door 0x1cd580 (preset 0x006d),52.192,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 004A30 (room 0x3f)
wall of tile 003330 (room 0x3f),door 0x1cd580 (preset 0x006d),52.192,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 004A30 (room 0x3f),wall of tile 042720 (room 0x3b),18.640,no,the line between them touches another wall,wall of tile 042520 (room 0x3b)
wall of tile 004A30 (room 0x3f),wall of tile 03FA20 (room 0x3b),33.552,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 004A30 (room 0x3f),door 0x1cd580 (preset 0x006d),7.456,no,the line between them touches another wall,door 0x1cd580 (preset 0x006d)
wall of tile 004A30 (room 0x3f),door 0x1cd580 (preset 0x006d),0.000,no,the line between them touches another wall,door 0x1cd580 (preset 0x006d)
wall of tile 004A30 (room 0x3f),door 0x1cd580 (preset 0x006d),0.000,no,the line between them touches another wall,wall of tile 042520 (room 0x3b)
wall of tile 047F20 (room 0x3b),wall of tile 000830 (room 0x3f),55.919,no,the line between them touches another wall,wall of tile 003530 (room 0x3f)
wall of tile 047F20 (room 0x3b),wall of tile 040420 (room 0x3b),23.870,no,the line between them touches another wall,wall of tile 042620 (room 0x3b)
wall of tile 047F20 (room 0x3b),door 0x1cd680 (preset 0x006e),0.000,yes,,
wall of tile 047F20 (room 0x3b),door 0x1cd680 (preset 0x006e),7.456,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1cd680 (preset 0x006e)
wall of tile 047F20 (room 0x3b),door 0x1cd680 (preset 0x006e),7.456,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1cd680 (preset 0x006e)
wall of tile 047F20 (room 0x3b),door 0x1cd680 (preset 0x006e),0.000,yes,,
wall of tile 003530 (room 0x3f),wall of tile 042620 (room 0x3b),18.640,no,the line between them touches another wall,wall of tile 047F20 (room 0x3b)
wall of tile 003530 (room 0x3f),wall of tile 040420 (room 0x3b),33.552,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 003530 (room 0x3f),door 0x1cd680 (preset 0x006e),0.000,yes,,
wall of tile 003530 (room 0x3f),door 0x1cd680 (preset 0x006e),7.456,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1cd680 (preset 0x006e)
wall of tile 003530 (room 0x3f),door 0x1cd680 (preset 0x006e),7.456,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1cd680 (preset 0x006e)
wall of tile 003530 (room 0x3f),door 0x1cd680 (preset 0x006e),0.000,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 047F20 (room 0x3b)
wall of tile 000830 (room 0x3f),wall of tile 042620 (room 0x3b),50.155,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000830 (room 0x3f),wall of tile 040420 (room 0x3b),33.552,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000830 (room 0x3f),door 0x1cd680 (preset 0x006e),55.920,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 003530 (room 0x3f)
wall of tile 000830 (room 0x3f),door 0x1cd680 (preset 0x006e),55.920,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 003530 (room 0x3f)
wall of tile 000830 (room 0x3f),door 0x1cd680 (preset 0x006e),55.920,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 003530 (room 0x3f)
