key,filter,reason,status,width_cm,x,z,between,and
088B19.0 | 0x1cd7b0.2,anvil and hammer,"door 0x1cd7b0 (preset 0x006f) is 0.0 cm from a straight wall, closer than Bond's radius, with 15.1 m of it to one side and 0.9 m of it, so little that a step round its end would be at least 16.4 m long to the other",no warp found,0.00024,-3758,-5426,wall of tile 088B19 (room 0x2c),door 0x1cd7b0 (preset 0x006f)
05EC18.2 | 0x1c8158.0,anvil and hammer,"generic 0x1c8158 (preset 0x272c) is 0.8 cm from a straight wall, closer than Bond's radius, with 1.1 m of it ending at a protrusion to one side and 0.3 m of it ending at a protrusion to the other",no warp found,0.80,-4187,-197,wall of tile 05EC18 (room 0x33),generic 0x1c8158 (preset 0x272c)
00CA08.1 | 0x1c4d04.0,anvil and hammer,"generic 0x1c4d04 (preset 0x0061) is 1.3 cm from a straight wall, closer than Bond's radius, with 0.6 m of it ending at a protrusion to one side and 4.5 m of it to the other",no warp found,1.252,-896,782,wall of tile 00CA08 (room 0x13),generic 0x1c4d04 (preset 0x0061)
077F18.0 | 0x1cb220.0,anvil and hammer,"generic 0x1cb220 (preset 0x00a7) is 7.7 cm from a straight wall, closer than Bond's radius, with 0.3 m of it ending at a protrusion to one side and 1.6 m of it ending at a protrusion to the other",no warp found,7.738,-4017,-7501,wall of tile 077F18 (room 0x2a),generic 0x1cb220 (preset 0x00a7)
071F18.0 | 0x1c83d8.4,anvil and hammer,"generic 0x1c83d8 (preset 0x2731) is 7.8 cm from a straight wall, closer than Bond's radius, with 3.4 m of it to one side and 1.0 m of it ending at a protrusion to the other",no warp found,7.835,-3825,-194,wall of tile 071F18 (room 0x33),generic 0x1c83d8 (preset 0x2731)
071F18.0 | 0x1c8358.4,anvil and hammer,"generic 0x1c8358 (preset 0x2730) is 10.3 cm from a straight wall, closer than Bond's radius, with 2.8 m of it ending at a protrusion to one side and 1.6 m of it ending at a protrusion to the other",no warp found,10.339,-3884,-192,wall of tile 071F18 (room 0x33),generic 0x1c8358 (preset 0x2730)
00CA08.1 | 0x1c4bfc.0,anvil and hammer,"generic 0x1c4bfc (preset 0x0060) is 12.8 cm from a straight wall, closer than Bond's radius, with 2.9 m of it ending at a protrusion to one side and 2.2 m of it ending at a protrusion to the other",no warp found,12.793,-1110,870,wall of tile 00CA08 (room 0x13),generic 0x1c4bfc (preset 0x0060)
071F18.0 | 0x1c82d8.4,anvil and hammer,"generic 0x1c82d8 (preset 0x272f) is 12.8 cm from a straight wall, closer than Bond's radius, with 2.2 m of it ending at a protrusion to one side and 2.2 m of it ending at a protrusion to the other",no warp found,12.843,-3944,-191,wall of tile 071F18 (room 0x33),generic 0x1c82d8 (preset 0x272f)
078018.0 | 0x1ca104.0,anvil and hammer,"monitor 0x1ca104 (preset 0x274c) is 14.4 cm from a straight wall, closer than Bond's radius, with 0.9 m of it ending at a protrusion to one side and 2.9 m of it ending at a protrusion to the other",no warp found,14.383,-4168,-7403,wall of tile 078018 (room 0x2a),monitor 0x1ca104 (preset 0x274c)
071F18.0 | 0x1c8258.4,anvil and hammer,"generic 0x1c8258 (preset 0x272e) is 15.3 cm from a straight wall, closer than Bond's radius, with 1.6 m of it ending at a protrusion to one side and 2.8 m of it ending at a protrusion to the other",no warp found,15.347,-4004,-190,wall of tile 071F18 (room 0x33),generic 0x1c8258 (preset 0x272e)
071F18.0 | 0x1c81d8.4,anvil and hammer,"generic 0x1c81d8 (preset 0x272d) is 17.8 cm from a straight wall, closer than Bond's radius, with 1.1 m of it ending at a protrusion to one side and 3.4 m of it to the other",no warp found,17.846,-4063,-189,wall of tile 071F18 (room 0x33),generic 0x1c81d8 (preset 0x272d)
071F18.0 | 0x1c8158.4,anvil and hammer,"generic 0x1c8158 (preset 0x272c) is 20.5 cm from a straight wall, closer than Bond's radius, with 0.4 m of it ending at a protrusion to one side and 4.0 m of it to the other",no warp found,20.512,-4126,-187,wall of tile 071F18 (room 0x33),generic 0x1c8158 (preset 0x272c)
023308.0 | 0E0C08.0,narrow pocket,"the floor to one side of it is a pocket only 41.0 cm across, measured along the pinch line, so Bond fits nowhere in it",no warp found,41.008,3214,1314,wall of tile 0E0C08 (room 0x10),wall of tile 023308 (room 0x10)
