gap,name,status,width_cm,step_cm,walk_round_cm,x,z,room,between,and,objects_forming_gap,objects_in_the_way,pinches,key
1,,warp,37.964,55.81,588,3534,1248,0x0d,wall of tile 078200 (room 0x0d),monitor 0x1c8b00 (preset 0x2710),0x1c8b00,,4,078200.0 | 0x1c8b00.0
2,,warp,57.309,56.33,494,-540,752,0x12,wall of tile 00C708 (room 0x12),generic 0x1c47e0 (preset 0x005c),0x1c47e0,,2,00C708.1 | 0x1c47e0.0
3,TAS donut box warp #2,warp,51.556,59.25,492,-1068,1391,0x13,wall of tile 00CD08 (room 0x13),generic 0x1c5018 (preset 0x0064),0x1c5018,,2,00CD08.2 | 0x1c5018.2
4,,warp,56.178,60.51,none found,-2952,-5136,0x2b,wall of tile 02F318 (room 0x2b),generic 0x1c7ed8 (preset 0x009b),0x1c7ed8,,2,02F318.2 | 0x1c7ed8.2
5,,warp,45.810,62.03,482,-1478,2741,0x15,wall of tile 008B08 (room 0x15),generic 0x1c5120 (preset 0x0065),0x1c5120,,2,008B08.2 | 0x1c5120.2
6,closed elevator door warp,warp,0.00024,67.46,none found,1700,-3504,0x3f,door 0x1cd580 (preset 0x006d),door 0x1cd680 (preset 0x006e),0x1cd580 0x1cd680,,5,0x1cd580.0 | 0x1cd680.3
7,,warp,55.271,72.75,485,-2037,-1222,0x35,generic 0x1c5d74 (preset 0x0095),generic 0x1c5e7c (preset 0x0096),0x1c5d74 0x1c5e7c,,2,0x1c5d74.2 | 0x1c5e7c.0
8,,warp,56.424,75.39,none found,-4477,-5604,0x28,wall of tile 075518 (room 0x28),generic 0x1c5434 (preset 0x008c),0x1c5434,,2,075518.0 | 0x1c5434.2
9,,warp,18.217,77.16,none found,-3544,-7353,0x2a,generic 0x1cb9a0 (preset 0x2757),generic 0x1cba20 (preset 0x2758),0x1cb9a0 0x1cba20,,14,0x1cb9a0.0 | 0x1cba20.3
10,,warp,0.00024,79.92,none found,1696,-3579,0x3b,wall of tile 047F20 (room 0x3b),door 0x1cd680 (preset 0x006e),0x1cd680,,3,047F20.1 | 0x1cd680.0
11,,warp,22.688,80.47,458,-2218,1283,0x16,generic 0x1c6ff4 (preset 0x0072),generic 0x1c7934 (preset 0x0076),0x1c6ff4 0x1c7934,,2,0x1c6ff4.0 | 0x1c7934.2
12,,warp,13.619,86.53,435,-2455,-1485,0x35,generic 0x1c6190 (preset 0x0099),generic 0x1c6298 (preset 0x009a),0x1c6190 0x1c6298,,2,0x1c6190.3 | 0x1c6298.0
13,,warp,26.204,89.31,none found,-4075,-7303,0x2a,monitor 0x1ca104 (preset 0x274c),generic 0x1cb520 (preset 0x00ad),0x1ca104 0x1cb520,,2,0x1ca104.4 | 0x1cb520.1
14,TAS donut box warp #1,warp,49.701,96.52,445,-901,1292,0x13,wall of tile 00CD08 (room 0x13),generic 0x1c49f0 (preset 0x005e),0x1c49f0,,2,00CD08.2 | 0x1c49f0.2
15,,warp,50.207,98.22,439,5029,1007,0x0c,generic 0x1c42bc (preset 0x0053),generic 0x1c43c4 (preset 0x0054),0x1c42bc 0x1c43c4,,3,0x1c42bc.1 | 0x1c43c4.0
16,,warp,50.207,102.50,438,5115,1090,0x0c,generic 0x1c43c4 (preset 0x0054),generic 0x1c45d4 (preset 0x0056),0x1c43c4 0x1c45d4,,3,0x1c43c4.1 | 0x1c45d4.0
17,,warp,16.327,106.28,none found,-3535,-7436,0x2a,generic 0x1cb4a0 (preset 0x00ac),generic 0x1cba20 (preset 0x2758),0x1cb4a0 0x1cba20,,4,0x1cb4a0.0 | 0x1cba20.2
18,,warp,26.308,115.09,666,-2196,1174,0x16,generic 0x1c6ad0 (preset 0x0070),generic 0x1c7934 (preset 0x0076),0x1c6ad0 0x1c7934,,3,0x1c6ad0.0 | 0x1c7934.1
19,,warp,51.400,116.73,771,-4242,-858,0x33,wall of tile 072218 (room 0x33),generic 0x1c80d8 (preset 0x272b),0x1c80d8,,2,072218.1 | 0x1c80d8.0
20,,warp,38.641,117.72,427,-2200,-1939,0x35,generic 0x1c5f80 (preset 0x0097),generic 0x1c6088 (preset 0x0098),0x1c5f80 0x1c6088,,2,0x1c5f80.0 | 0x1c6088.2
21,,warp,15.509,122.25,403,-2357,1013,0x16,generic 0x1c7204 (preset 0x0074),generic 0x1c7494 (preset 0x0075),0x1c7204 0x1c7494,,2,0x1c7204.1 | 0x1c7494.0
22,,warp,15.509,122.25,402,-3801,-1378,0x33,generic 0x1c5a60 (preset 0x0092),generic 0x1c5b64 (preset 0x0093),0x1c5a60 0x1c5b64,,2,0x1c5a60.0 | 0x1c5b64.2
23,,warp,43.957,122.61,413,981,-3329,0x3b,wall of tile 041720 (room 0x3b),generic 0x1c66b0 (preset 0x00b6),0x1c66b0,,2,041720.0 | 0x1c66b0.2
24,,warp,13.817,124.53,398,-2093,1120,0x16,generic 0x1c6ad0 (preset 0x0070),generic 0x1c6bd8 (preset 0x0071),0x1c6ad0 0x1c6bd8,,2,0x1c6ad0.2 | 0x1c6bd8.0
25,,warp,41.698,131.66,667,-1718,-1259,0x35,wall of tile 0B3E18 (room 0x35),monitor 0x1c9774 (preset 0x274d),0x1c9774,,2,0B3E18.2 | 0x1c9774.0
26,,warp,40.230,133.41,409,-1464,1200,0x13,wall of tile 00CE08 (room 0x13),generic 0x1c4f10 (preset 0x0063),0x1c4f10,,2,00CE08.1 | 0x1c4f10.0
27,,warp,34.212,136.85,376,-1390,1081,0x13,wall of tile 00CE08 (room 0x13),generic 0x1c4e0c (preset 0x0062),0x1c4e0c,,2,00CE08.1 | 0x1c4e0c.0
28,,warp,34.090,167.91,819,-3432,-6987,0x29,wall of tile 078918 (room 0x29),generic 0x1cbde0 (preset 0x00a2),0x1cbde0,,2,078918.0 | 0x1cbde0.1
