object,type,reason
0x1c8858,drone,no collision outline in the data
0x1c8930,drone,no collision outline in the data
0x1c8a18,drone,no collision outline in the data
0x1c9490,monitor,no collision outline in the data
0x1c96e4,glass,no collision outline in the data
0x1cbab0,monitor,no collision outline in the data
0x1cbbc0,monitor,no collision outline in the data
0x1cc070,door,no collision outline in the data
0x1cc180,door,no collision outline in the data
0x1cc290,door,no collision outline in the data
0x1cc3a0,door,no collision outline in the data
0x1cc4b0,door,no collision outline in the data
0x1cc5c0,door,no collision outline in the data
0x1cc7e0,door,no collision outline in the data
0x1cc8f0,door,no collision outline in the data
0x1cca00,door,no collision outline in the data
0x1ccb10,door,no collision outline in the data
0x1ccc20,door,no collision outline in the data
0x1ccd30,door,no collision outline in the data
0x1cce40,door,no collision outline in the data
0x1ccf50,door,no collision outline in the data
0x1cd170,door,no collision outline in the data
0x1cd280,door,no collision outline in the data
0x1cd8c0,door,no collision outline in the data
0x1cd9d0,door,no collision outline in the data
0x1cab30,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1cabc4,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1cac58,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1cacec,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1cae14,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1caea8,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1caf3c,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1cb064,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1cb0f8,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1cb18c,glass,"outside the walkable area: seen from above, no part of it is over the floor"
