x,z,between,and
1175,-3885,wall of tile 040820 (room 0x3c),generic 0x1c68c0 (preset 0x00b8)
1171,-3885,wall of tile 040820 (room 0x3c),generic 0x1c68c0 (preset 0x00b8)
-4160,-5417,wall of tile 088B1A (room 0x2c),door 0x1cd7b0 (preset 0x006f)
-4160,-5454,wall of tile 05E719 (room 0x28),door 0x1cd7b0 (preset 0x006f)
-5260,-5577,wall of tile 075918 (room 0x27),glass 0x1caa9c (preset 0x275c)
-5864,-6181,wall of tile 075C18 (room 0x27),glass 0x1ca8e0 (preset 0x2759)
-5864,-6080,wall of tile 075E18 (room 0x27),glass 0x1ca8e0 (preset 0x2759)
-5864,-6039,wall of tile 075E18 (room 0x27),glass 0x1ca974 (preset 0x275a)
-5864,-5913,wall of tile 075B18 (room 0x27),glass 0x1ca974 (preset 0x275a)
-5831,-5879,wall of tile 075A18 (room 0x27),glass 0x1cad80 (preset 0x2761)
-5562,-5611,wall of tile 075A18 (room 0x27),glass 0x1cad80 (preset 0x2761)
-5529,-5577,wall of tile 02EE18 (room 0x27),glass 0x1caa08 (preset 0x275b)
-5402,-5577,wall of tile 075718 (room 0x27),glass 0x1caa08 (preset 0x275b)
-5361,-5577,wall of tile 075818 (room 0x27),glass 0x1caa9c (preset 0x275c)
-4563,-5543,wall of tile 08C91A (room 0x26),door 0x1cd060 (preset 0x0068)
-4671,-5543,wall of tile 08C919 (room 0x26),door 0x1cd060 (preset 0x0068)
-4563,-5510,wall of tile 10CF12 (room 0x24),door 0x1cd060 (preset 0x0068)
-4671,-5510,wall of tile 10CF11 (room 0x24),door 0x1cd060 (preset 0x0068)
-4563,-5335,wall of tile 10D012 (room 0x24),door 0x1cc6d0 (preset 0x005f)
-4671,-5335,wall of tile 10D011 (room 0x24),door 0x1cc6d0 (preset 0x005f)
-4727,-5260,wall of tile 10C910 (room 0x22),door 0x1cc6d0 (preset 0x005f)
-4511,-5260,wall of tile 03C610 (room 0x22),door 0x1cc6d0 (preset 0x005f)
-1733,601,wall of tile 120710 (room 0x16),generic 0x1c85d8 (preset 0x2727)
-1729,612,wall of tile 120810 (room 0x16),generic 0x1c85d8 (preset 0x2727)
-1672,771,wall of tile 11F610 (room 0x16),generic 0x1c8458 (preset 0x2724)
-1651,828,wall of tile 11F610 (room 0x16),generic 0x1c8458 (preset 0x2724)
-1692,716,wall of tile 11F610 (room 0x16),generic 0x1c84d8 (preset 0x2725)
-1671,773,wall of tile 11F610 (room 0x16),generic 0x1c84d8 (preset 0x2725)
-1692,716,wall of tile 11F610 (room 0x16),generic 0x1c8558 (preset 0x2726)
-1692,716,wall of tile 120910 (room 0x16),generic 0x1c84d8 (preset 0x2725)
-1690,716,wall of tile 120910 (room 0x16),generic 0x1c84d8 (preset 0x2725)
-1691,716,wall of tile 120910 (room 0x16),generic 0x1c8558 (preset 0x2726)
-1894,-138,wall of tile 121E10 (room 0x18),generic 0x1c8758 (preset 0x2734)
-2024,-138,wall of tile 121D10 (room 0x18),generic 0x1c8658 (preset 0x2732)
-1875,-138,wall of tile 097E18 (room 0x35),generic 0x1c8758 (preset 0x2734)
-1875,-138,wall of tile 097E18 (room 0x35),generic 0x1c87d8 (preset 0x2735)
-1816,-138,wall of tile 097E18 (room 0x35),generic 0x1c87d8 (preset 0x2735)
-2054,-138,wall of tile 097C18 (room 0x35),generic 0x1c8658 (preset 0x2732)
-2412,-157,wall of tile 097918 (room 0x35),monitor 0x1c9c3c (preset 0x274f)
-2326,-149,wall of tile 097918 (room 0x35),monitor 0x1c9c3c (preset 0x274f)
403,1923,wall of tile 01A108 (room 0x14),glass 0x1ca5fc (preset 0x271f)
388,1879,wall of tile 01A008 (room 0x14),glass 0x1ca568 (preset 0x271e)
335,1737,wall of tile 019F08 (room 0x14),glass 0x1ca568 (preset 0x271e)
455,2065,wall of tile 01A508 (room 0x14),glass 0x1ca5fc (preset 0x271f)
470,2114,wall of tile 01A508 (room 0x14),glass 0x1ca690 (preset 0x2720)
522,2255,wall of tile 01A608 (room 0x14),glass 0x1ca690 (preset 0x2720)
5529,-984,wall of tile 073A00 (room 0x01),door 0x1cd480 (preset 0x006c)
5379,-984,wall of tile 073C00 (room 0x01),door 0x1cd380 (preset 0x006b)
5379,-984,wall of tile 004A28 (room 0x3e),door 0x1cd380 (preset 0x006b)
5529,-984,wall of tile 003528 (room 0x3e),door 0x1cd480 (preset 0x006c)
