between,and,width,kept,reason,because_of
wall of tile 008A69 (room 0x5b),wall of tile 000868 (room 0x5b),52.118,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 008A69 (room 0x5b),door 0x1d925c (preset 0x00a3),1.065,no,the line between them touches another wall,door 0x1d925c (preset 0x00a3)
wall of tile 008A69 (room 0x5b),door 0x1d925c (preset 0x00a3),1.065,no,the line between them touches another wall,door 0x1d925c (preset 0x00a3)
wall of tile 008A69 (room 0x5b),door 0x1d925c (preset 0x00a3),0.000046,no,the line between them touches another wall,door 0x1d925c (preset 0x00a3)
wall of tile 008A6A (room 0x5b),wall of tile 085A62 (room 0x54),21.309,no,the line between them touches another wall,wall of tile 085F62 (room 0x54)
wall of tile 008A6A (room 0x5b),wall of tile 012261 (room 0x54),53.974,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 008A6A (room 0x5b),wall of tile 003368 (room 0x5b),50.274,no,the line between them touches another wall,wall of tile 003968 (room 0x5b)
wall of tile 008A6A (room 0x5b),door 0x1d935c (preset 0x00a4),0.19,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 008A6A (room 0x5b),door 0x1d935c (preset 0x00a4),1.737,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 085F62 (room 0x54),wall of tile 012261 (room 0x54),52.617,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 085F62 (room 0x54),wall of tile 012261 (room 0x54),36.082,no,the line between them touches another wall,wall of tile 085A62 (room 0x54)
wall of tile 085F62 (room 0x54),wall of tile 003968 (room 0x5b),20.145,no,the line between them touches another wall,wall of tile 008A6A (room 0x5b)
wall of tile 085F62 (room 0x54),wall of tile 003368 (room 0x5b),52.464,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 085F62 (room 0x54),door 0x1d935c (preset 0x00a4),14.021,no,the line between them touches another wall,door 0x1d935c (preset 0x00a4)
wall of tile 085F62 (room 0x54),door 0x1d935c (preset 0x00a4),3.630,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 085F62 (room 0x54),door 0x1d935c (preset 0x00a4),3.629,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 085F62 (room 0x54),door 0x1d935c (preset 0x00a4),2.913,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 008A6A (room 0x5b)
wall of tile 085A62 (room 0x54),wall of tile 012261 (room 0x54),21.309,no,the line between them touches another wall,wall of tile 012261 (room 0x54)
wall of tile 085A62 (room 0x54),wall of tile 003968 (room 0x5b),35.088,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 085A62 (room 0x54),wall of tile 003368 (room 0x5b),38.086,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 085A62 (room 0x54),door 0x1d935c (preset 0x00a4),31.618,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 085A62 (room 0x54),door 0x1d935c (preset 0x00a4),22.040,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 085A62 (room 0x54),door 0x1d935c (preset 0x00a4),22.040,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 085A62 (room 0x54),door 0x1d935c (preset 0x00a4),22.040,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012261 (room 0x54),wall of tile 003968 (room 0x5b),26.136,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012261 (room 0x54),wall of tile 003368 (room 0x5b),26.136,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012261 (room 0x54),wall of tile 003968 (room 0x5b),26.136,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012261 (room 0x54),wall of tile 003368 (room 0x5b),26.136,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012261 (room 0x54),door 0x1d935c (preset 0x00a4),57.824,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012261 (room 0x54),door 0x1d935c (preset 0x00a4),52.890,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012261 (room 0x54),door 0x1d935c (preset 0x00a4),52.889,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012261 (room 0x54),door 0x1d935c (preset 0x00a4),52.889,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 013661 (room 0x54),wall of tile 013861 (room 0x54),48.587,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 013861 (room 0x54)
wall of tile 013661 (room 0x54),wall of tile 013861 (room 0x54),34.136,no,the line between them touches another wall,wall of tile 013760 (room 0x54)
wall of tile 013661 (room 0x54),wall of tile 013760 (room 0x54),21.309,no,the line between them touches another wall,wall of tile 013661 (room 0x54)
wall of tile 013661 (room 0x54),wall of tile 013861 (room 0x54),51.537,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 013760 (room 0x54),wall of tile 013861 (room 0x54),14.463,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 013861 (room 0x54)
wall of tile 013760 (room 0x54),wall of tile 013861 (room 0x54),19.844,no,the line between them touches another wall,wall of tile 013862 (room 0x54)
wall of tile 013760 (room 0x54),wall of tile 011960 (room 0x50),21.309,no,the line between them touches another wall,wall of tile 086461 (room 0x54)
wall of tile 013862 (room 0x54),wall of tile 086461 (room 0x54),36.082,no,the line between them touches another wall,wall of tile 013760 (room 0x54)
wall of tile 013862 (room 0x54),wall of tile 011960 (room 0x50),52.617,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 013861 (room 0x54),wall of tile 086461 (room 0x54),52.041,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 085B60 (room 0x54),wall of tile 086061 (room 0x54),21.309,no,the line between them touches another wall,wall of tile 086061 (room 0x54)
wall of tile 085B60 (room 0x54),wall of tile 013F60 (room 0x54),21.309,no,the line between them touches another wall,wall of tile 013961 (room 0x54)
wall of tile 086061 (room 0x54),wall of tile 013961 (room 0x54),52.617,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 086061 (room 0x54),wall of tile 013961 (room 0x54),34.136,no,the line between them touches another wall,wall of tile 085B60 (room 0x54)
