object,type,reason
0x1d3d38,body_armour,Bond walks through it
0x1d3dc0,body_armour,Bond walks through it
0x1d5490,ammo,Bond walks through it
0x1d4448,generic,no collision outline in the data
0x1d44c8,generic,no collision outline in the data
0x1d4558,generic,no collision outline in the data
0x1d45d8,generic,no collision outline in the data
0x1d4658,generic,no collision outline in the data
0x1d46d8,generic,no collision outline in the data
0x1d4758,generic,no collision outline in the data
0x1d47d8,generic,no collision outline in the data
0x1d4858,generic,no collision outline in the data
0x1d48d8,generic,no collision outline in the data
0x1d4958,generic,no collision outline in the data
0x1d49e8,drone,no collision outline in the data
0x1d4ad0,drone,no collision outline in the data
0x1d4bb8,drone,no collision outline in the data
0x1d4c90,drone,no collision outline in the data
0x1d4d68,drone,no collision outline in the data
0x1d4e40,drone,no collision outline in the data
0x1d4f18,drone,no collision outline in the data
0x1d5000,monitor,no collision outline in the data
0x1d5110,generic,no collision outline in the data
0x1d5544,monitor,no collision outline in the data
0x1d5644,monitor,no collision outline in the data
0x1d5754,monitor,no collision outline in the data
0x1d5854,monitor,no collision outline in the data
0x1d5954,monitor,no collision outline in the data
0x1d5a54,monitor,no collision outline in the data
0x1d5b54,monitor,no collision outline in the data
0x1d5c54,monitor,no collision outline in the data
0x1d5d54,monitor,no collision outline in the data
0x1d5e54,monitor,no collision outline in the data
0x1d5f54,monitor,no collision outline in the data
0x1d6054,monitor,no collision outline in the data
0x1d6154,monitor,no collision outline in the data
0x1d6254,monitor,no collision outline in the data
0x1d6354,monitor,no collision outline in the data
0x1d6454,monitor,no collision outline in the data
0x1d6554,monitor,no collision outline in the data
0x1d6654,monitor,no collision outline in the data
0x1d6754,monitor,no collision outline in the data
0x1d87cc,monitor,no collision outline in the data
0x1d904c,door,no collision outline in the data
0x1d914c,door,no collision outline in the data
