x,z,between,and
-3929,-978,wall of tile 008A69 (room 0x5b),door 0x1d925c (preset 0x00a3)
-3779,-986,wall of tile 008A6A (room 0x5b),door 0x1d935c (preset 0x00a4)
-3780,-975,wall of tile 008A6A (room 0x5b),door 0x1d935c (preset 0x00a4)
-2397,938,wall of tile 012E61 (room 0x58),door 0x1d9acc (preset 0x009f)
-2397,938,wall of tile 012E61 (room 0x58),door 0x1d9acc (preset 0x009f)
-2391,1165,wall of tile 012E62 (room 0x58),door 0x1d9acc (preset 0x009f)
-2410,1165,wall of tile 012E62 (room 0x58),door 0x1d9acc (preset 0x009f)
-1764,512,wall of tile 099560 (room 0x56),door 0x1d98ac (preset 0x009c)
-1764,315,wall of tile 099960 (room 0x56),door 0x1d98ac (preset 0x009c)
-1748,317,wall of tile 065849 (room 0x23),door 0x1d98ac (preset 0x009c)
-116,-1103,wall of tile 012448 (room 0x25),wall of tile 050348 (room 0x25)
-1231,-361,wall of tile 00B749 (room 0x42),glass 0x1d832c (preset 0x27cd)
-297,-647,wall of tile 00B749 (room 0x42),glass 0x1d8610 (preset 0x27d2)
-626,-546,wall of tile 00B749 (room 0x42),glass 0x1d86a4 (preset 0x27d3)
-1231,-84,wall of tile 05F448 (room 0x3d),glass 0x1d832c (preset 0x27cd)
-1231,-84,wall of tile 05F448 (room 0x3d),glass 0x1d832c (preset 0x27cd)
-1231,108,wall of tile 009E48 (room 0x37),glass 0x1d83c0 (preset 0x27ce)
-1231,369,wall of tile 009E48 (room 0x37),glass 0x1d83c0 (preset 0x27ce)
-1231,700,wall of tile 00A848 (room 0x36),glass 0x1d8298 (preset 0x27cc)
-1231,976,wall of tile 00A54A (room 0x36),glass 0x1d8298 (preset 0x27cc)
-1231,1115,wall of tile 00A549 (room 0x36),glass 0x1d8298 (preset 0x27cc)
-1231,1115,wall of tile 00A549 (room 0x36),glass 0x1d8298 (preset 0x27cc)
-1231,1115,wall of tile 00A549 (room 0x36),glass 0x1d8298 (preset 0x27cc)
-295,-647,wall of tile 00EA49 (room 0x43),glass 0x1d86a4 (preset 0x27d3)
-99,-647,wall of tile 00ED4A (room 0x43),glass 0x1d8610 (preset 0x27d2)
1231,-361,wall of tile 007B49 (room 0x3e),glass 0x1d84e8 (preset 0x27d0)
1231,-223,wall of tile 007B49 (room 0x3e),glass 0x1d84e8 (preset 0x27d0)
1231,108,wall of tile 007648 (room 0x22),glass 0x1d857c (preset 0x27d1)
1231,369,wall of tile 007648 (room 0x22),glass 0x1d857c (preset 0x27d1)
1231,838,wall of tile 007D49 (room 0x38),glass 0x1d8454 (preset 0x27cf)
1231,1115,wall of tile 007D49 (room 0x38),glass 0x1d8454 (preset 0x27cf)
1231,1115,wall of tile 007D49 (room 0x38),glass 0x1d8454 (preset 0x27cf)
1231,1115,wall of tile 007D49 (room 0x38),glass 0x1d8454 (preset 0x27cf)
1231,1115,wall of tile 007D49 (room 0x38),glass 0x1d8454 (preset 0x27cf)
319,-245,wall of tile 020549 (room 0x3c),glass 0x1d7b88 (preset 0x27ca)
467,-245,wall of tile 02044A (room 0x3c),glass 0x1d7c1c (preset 0x27bb)
467,-245,wall of tile 02044A (room 0x3c),glass 0x1d7c1c (preset 0x27bb)
954,-245,wall of tile 01D649 (room 0x2c),glass 0x1d7c1c (preset 0x27bb)
954,-245,wall of tile 01D649 (room 0x2c),glass 0x1d7c1c (preset 0x27bb)
467,-245,wall of tile 01D34A (room 0x2c),glass 0x1d7c1c (preset 0x27bb)
319,-245,wall of tile 01D448 (room 0x2c),glass 0x1d7b88 (preset 0x27ca)
