between,and,width,kept,reason,because_of
wall of tile 00441A (room 0x24),wall of tile 01081A (room 0x1e),59.394,no,the line between them touches another wall,wall of tile 00711A (room 0x24)
wall of tile 011F19 (room 0x1a),wall of tile 00550A (room 0x0c),40.429,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 011F19 (room 0x1a),wall of tile 00AF02 (room 0x03),41.066,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 011F19 (room 0x1a),wall of tile 00210A (room 0x0c),21.902,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 00F31A (room 0x1e),wall of tile 00E902 (room 0x01),33.939,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 00F31A (room 0x1e),wall of tile 00A902 (room 0x01),46.667,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 00F31A (room 0x1e),wall of tile 00C709 (room 0x0e),38.903,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 00F31A (room 0x1e),wall of tile 00CA0A (room 0x0e),46.667,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 00F319 (room 0x1e),wall of tile 00E801 (room 0x02),0.891,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00F319 (room 0x1e),wall of tile 00FA0A (room 0x0e),51.361,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00F319 (room 0x1e),wall of tile 00C508 (room 0x0e),16.489,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00F319 (room 0x1e),wall of tile 00C80A (room 0x0e),3.788,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 00F41A (room 0x1e),wall of tile 00C80A (room 0x0e),59.722,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 01051A (room 0x1f),wall of tile 00EF01 (room 0x01),42.424,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 01B019 (room 0x1f),wall of tile 00D408 (room 0x0e),25.552,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 01B019 (room 0x1f),wall of tile 00F002 (room 0x02),1.194,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 01B01A (room 0x1f),wall of tile 00CE09 (room 0x0e),58.884,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 01B01A (room 0x1f),wall of tile 00D408 (room 0x0e),32.914,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 01B01A (room 0x1f),wall of tile 00EF01 (room 0x01),33.939,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 03971A (room 0x22),wall of tile 088719 (room 0x15),55.314,no,the line between them touches another wall,wall of tile 07C719 (room 0x15)
wall of tile 088418 (room 0x15),wall of tile 07B418 (room 0x15),24.737,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 088418 (room 0x15),wall of tile 07B418 (room 0x15),55.314,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 088418 (room 0x15),wall of tile 07B418 (room 0x15),24.737,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 088418 (room 0x15),wall of tile 07B418 (room 0x15),55.314,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 07B518 (room 0x15),wall of tile 088318 (room 0x15),24.737,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 07B518 (room 0x15),wall of tile 088318 (room 0x15),24.737,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 07B418 (room 0x15),wall of tile 088318 (room 0x15),55.314,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 07B418 (room 0x15),wall of tile 088318 (room 0x15),55.314,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 011A19 (room 0x19),wall of tile 001A08 (room 0x0c),59.394,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 011A19 (room 0x19),wall of tile 002009 (room 0x0c),59.394,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 011A19 (room 0x19),wall of tile 007501 (room 0x08),59.394,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 01B21A (room 0x21),wall of tile 00E40A (room 0x0a),29.697,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 01B21A (room 0x21),wall of tile 00E509 (room 0x0a),42.492,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 01B21A (room 0x21),wall of tile 00E60A (room 0x0a),48.371,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 01B21A (room 0x21),wall of tile 00AE02 (room 0x05),29.697,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 01B21A (room 0x21),wall of tile 017302 (room 0x05),16.970,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 01B219 (room 0x21),wall of tile 00E108 (room 0x0a),24.590,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 01B219 (room 0x21),wall of tile 017201 (room 0x04),12.295,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 02B719 (room 0x23),wall of tile 00E40A (room 0x0a),18.900,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 00AB18 (room 0x23),wall of tile 00E60A (room 0x0a),42.424,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00AB18 (room 0x23),wall of tile 00AE02 (room 0x05),42.424,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00AB18 (room 0x23),wall of tile 017302 (room 0x05),55.152,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 03721A (room 0x23),wall of tile 00EA09 (room 0x0a),35.227,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 03721A (room 0x23),wall of tile 017901 (room 0x05),17.965,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 035E1A (room 0x23),wall of tile 088019 (room 0x14),56.909,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 087D18 (room 0x14),wall of tile 061C18 (room 0x14),24.025,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 087D18 (room 0x14),wall of tile 061C18 (room 0x14),55.314,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 087D18 (room 0x14),wall of tile 061C18 (room 0x14),24.025,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 087D18 (room 0x14),wall of tile 061C18 (room 0x14),55.314,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 061D18 (room 0x14),wall of tile 087C18 (room 0x14),24.737,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 061D18 (room 0x14),wall of tile 087C18 (room 0x14),24.737,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 061C18 (room 0x14),wall of tile 087C18 (room 0x14),55.314,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 061C18 (room 0x14),wall of tile 087C18 (room 0x14),55.314,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 01111A (room 0x1c),wall of tile 017901 (room 0x05),42.424,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 010E19 (room 0x1c),wall of tile 00DE08 (room 0x0a),45.848,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 010E19 (room 0x1c),wall of tile 017901 (room 0x05),29.697,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 010E1A (room 0x1c),wall of tile 00F00A (room 0x0a),26.062,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 010E1A (room 0x1c),wall of tile 017A02 (room 0x04),1.452,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012419 (room 0x1b),wall of tile 001E0A (room 0x0c),11.348,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012419 (room 0x1b),wall of tile 00820A (room 0x0c),11.348,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012419 (room 0x1b),wall of tile 04D312 (room 0x12),41.055,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012419 (room 0x1b),wall of tile 04D311 (room 0x12),56.993,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 012419 (room 0x1b),wall of tile 03C012 (room 0x12),49.543,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012419 (room 0x1b),wall of tile 03D510 (room 0x12),25.762,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012419 (room 0x1b),wall of tile 008102 (room 0x03),34.138,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 012419 (room 0x1b),wall of tile 019002 (room 0x04),42.831,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012419 (room 0x1b),wall of tile 009601 (room 0x03),19.284,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 012419 (room 0x1b),wall of tile 008E01 (room 0x03),4.431,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 012419 (room 0x1b),wall of tile 009201 (room 0x03),12.545,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012419 (room 0x1b),wall of tile 009401 (room 0x03),27.398,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012419 (room 0x1b),wall of tile 008C01 (room 0x03),42.251,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012419 (room 0x1b),wall of tile 008A01 (room 0x03),57.105,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012419 (room 0x1b),wall of tile 008602 (room 0x03),46.243,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012419 (room 0x1b),wall of tile 008800 (room 0x03),3.571,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 012419 (room 0x1b),wall of tile 00A202 (room 0x06),56.619,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 012419 (room 0x1b),wall of tile 00A201 (room 0x06),31.389,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012419 (room 0x1b),wall of tile 009A01 (room 0x06),16.536,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012419 (room 0x1b),wall of tile 009C01 (room 0x06),1.683,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012419 (room 0x1b),wall of tile 00A001 (room 0x06),13.171,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 012419 (room 0x1b),wall of tile 008501 (room 0x06),30.146,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 012419 (room 0x1b),door 0x1d8bfc (preset 0x0003),51.506,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 012419 (room 0x1b),door 0x1d8bfc (preset 0x0003),51.506,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 01241A (room 0x1b),wall of tile 008209 (room 0x0c),44.514,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 01241A (room 0x1b),wall of tile 009C02 (room 0x06),49.113,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 01241A (room 0x1b),wall of tile 009E02 (room 0x06),34.231,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 01241A (room 0x1b),wall of tile 00A002 (room 0x06),17.223,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 01241A (room 0x1b),wall of tile 008501 (room 0x06),51.988,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 01241A (room 0x1b),wall of tile 020301 (room 0x06),50.808,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 01241A (room 0x1b),wall of tile 020302 (room 0x06),43.484,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 01241A (room 0x1b),wall of tile 007701 (room 0x08),59.312,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 01241A (room 0x1b),wall of tile 007701 (room 0x08),43.484,no,the far wall faces the other way (it belongs to floor which isn't linked here),
