between,and,width,kept,reason,because_of
wall of tile 08D131 (room 0x84),wall of tile 05B431 (room 0x88),59.673,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 08D131 (room 0x84),wall of tile 05DC32 (room 0x88),44.261,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 08D131 (room 0x84),wall of tile 05DC31 (room 0x88),46.296,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 08D131 (room 0x84),wall of tile 05D732 (room 0x88),13.439,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 08D131 (room 0x84),wall of tile 05D731 (room 0x88),13.535,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 08D131 (room 0x84),wall of tile 05EB32 (room 0x88),1.461,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 08D131 (room 0x84),wall of tile 05F132 (room 0x88),0.365,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 08D131 (room 0x84),wall of tile 05FB32 (room 0x88),0.146,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 08D131 (room 0x84),wall of tile 05CE32 (room 0x88),0.146,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 08D131 (room 0x84),wall of tile 05BA32 (room 0x88),55.793,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 08D131 (room 0x84),wall of tile 05BA31 (room 0x88),3.196,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 08D131 (room 0x84),wall of tile 078730 (room 0x84),59.750,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 08D131 (room 0x84),glass 0x1e1e50 (preset 0x276e),2.519,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 08E032 (room 0x84)
wall of tile 08E032 (room 0x84),wall of tile 009130 (room 0x84),56.707,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 08E032 (room 0x84),wall of tile 05DC31 (room 0x88),46.296,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 08E032 (room 0x84),wall of tile 05D731 (room 0x88),13.535,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 08E032 (room 0x84),wall of tile 08EF30 (room 0x84),21.395,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 08E032 (room 0x84),wall of tile 05BA32 (room 0x88),55.793,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 08E032 (room 0x84),wall of tile 078730 (room 0x84),55.664,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 08E032 (room 0x84),glass 0x1e1cd0 (preset 0x276b),21.394,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 08E032 (room 0x84),glass 0x1e1e50 (preset 0x276e),1.264,yes,,
wall of tile 069E32 (room 0x84),wall of tile 06A232 (room 0x84),27.406,no,the line between them touches another wall,wall of tile 06A032 (room 0x84)
wall of tile 069E32 (room 0x84),wall of tile 08AB31 (room 0x84),48.801,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 06A032 (room 0x84)
wall of tile 069E32 (room 0x84),wall of tile 009932 (room 0x84),18.225,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 069E32 (room 0x84),wall of tile 08DD32 (room 0x84),25.855,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 069E32 (room 0x84),wall of tile 08DD32 (room 0x84),27.406,no,the line between them touches another wall,wall of tile 06A032 (room 0x84)
wall of tile 069E32 (room 0x84),wall of tile 069A32 (room 0x84),27.406,no,the line between them touches another wall,wall of tile 069C32 (room 0x84)
wall of tile 069E32 (room 0x84),wall of tile 069832 (room 0x84),52.245,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 06A031 (room 0x84),wall of tile 08AB32 (room 0x84),21.400,no,the line between them touches another wall,wall of tile 06A231 (room 0x84)
wall of tile 06A031 (room 0x84),wall of tile 05E731 (room 0x88),53.843,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 06A031 (room 0x84),wall of tile 05E731 (room 0x88),54.143,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 06A031 (room 0x84),wall of tile 078730 (room 0x84),46.296,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 06A031 (room 0x84),wall of tile 08DC32 (room 0x84),52.850,yes,,
wall of tile 06A031 (room 0x84),wall of tile 08DE30 (room 0x84),54.143,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 06A031 (room 0x84),wall of tile 08D831 (room 0x84),54.139,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 08DC32 (room 0x84)
wall of tile 06A031 (room 0x84),glass 0x1e1c50 (preset 0x276a),55.639,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 06A032 (room 0x84),wall of tile 08AB31 (room 0x84),21.400,no,the line between them touches another wall,wall of tile 06A232 (room 0x84)
wall of tile 06A032 (room 0x84),wall of tile 06A432 (room 0x84),46.296,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 08AB31 (room 0x84)
