key,filter,reason,status,width_cm,x,z,between,and
0x1e17d0.0 | 305E21.0,anvil and hammer,"glass 0x1e17d0 (preset 0x275d) is 0.0 cm from a straight wall, closer than Bond's radius, with 0.3 m of it ending at a protrusion to one side and 0.2 m of it ending at a protrusion to the other",no warp found,0.00055,16694,12361,wall of tile 305E21 (room 0x70),glass 0x1e17d0 (preset 0x275d)
0x1e17d0.0 | 2D3021.0,anvil and hammer,"glass 0x1e17d0 (preset 0x275d) is 0.0 cm from a straight wall, closer than Bond's radius, with 0.3 m of it ending at a protrusion to one side and 0.2 m of it ending at a protrusion to the other",no warp found,0.00055,16742,12361,wall of tile 2D3021 (room 0x70),glass 0x1e17d0 (preset 0x275d)
0x1e17d0.0 | 2D5F21.0,anvil and hammer,"glass 0x1e17d0 (preset 0x275d) is 0.0 cm from a straight wall, closer than Bond's radius, with 0.3 m of it ending at a protrusion to one side and 0.2 m of it ending at a protrusion to the other",no warp found,0.00055,16774,12361,wall of tile 2D5F21 (room 0x70),glass 0x1e17d0 (preset 0x275d)
0x1e17d0.0 | 2D5B21.0,anvil and hammer,"glass 0x1e17d0 (preset 0x275d) is 0.0 cm from a straight wall, closer than Bond's radius, with 0.3 m of it ending at a protrusion to one side and 0.2 m of it ending at a protrusion to the other",no warp found,0.00055,16806,12361,wall of tile 2D5B21 (room 0x70),glass 0x1e17d0 (preset 0x275d)
0x1e17d0.0 | 2D5521.0,anvil and hammer,"glass 0x1e17d0 (preset 0x275d) is 0.0 cm from a straight wall, closer than Bond's radius, with 0.3 m of it ending at a protrusion to one side and 0.2 m of it ending at a protrusion to the other",no warp found,0.00055,16838,12361,wall of tile 2D5521 (room 0x70),glass 0x1e17d0 (preset 0x275d)
0x1e17d0.0 | 2D5921.0,anvil and hammer,"glass 0x1e17d0 (preset 0x275d) is 0.0 cm from a straight wall, closer than Bond's radius, with 0.3 m of it ending at a protrusion to one side and 0.2 m of it ending at a protrusion to the other",no warp found,0.00055,16870,12361,wall of tile 2D5921 (room 0x70),glass 0x1e17d0 (preset 0x275d)
0x1e17d0.0 | 2D4021.0,anvil and hammer,"glass 0x1e17d0 (preset 0x275d) is 0.0 cm from a straight wall, closer than Bond's radius, with 0.3 m of it ending at a protrusion to one side and 0.2 m of it ending at a protrusion to the other",no warp found,0.00055,16911,12361,wall of tile 2D4021 (room 0x70),glass 0x1e17d0 (preset 0x275d)
065622.2 | 0x1e7710.0,anvil and hammer,"door 0x1e7710 (preset 0x000b) is 2.6 cm from a straight wall, closer than Bond's radius, with 6.5 m of it to one side and 6.4 m of it to the other",no warp found,2.568,12566,2013,wall of tile 065622 (room 0x72),door 0x1e7710 (preset 0x000b)
0x1e4020.2 | 1BB919.1,anvil and hammer,"generic 0x1e4020 (preset 0x2733) is 2.9 cm from a straight wall, closer than Bond's radius, with 2.6 m of it ending at a protrusion to one side and 2.2 m of it ending at a protrusion to the other",no warp found,2.884,4431,-3177,wall of tile 1BB919 (room 0x61),generic 0x1e4020 (preset 0x2733)
0x1e4548.1 | 1EEC1A.1,anvil and hammer,"generic 0x1e4548 (preset 0x2738) is 5.0 cm from a straight wall, closer than Bond's radius, with 8.0 m of it to one side and 6.1 m of it to the other",no warp found,4.962,903,-3717,wall of tile 1EEC1A (room 0x5b),generic 0x1e4548 (preset 0x2738)
