gap,name,status,width_cm,step_cm,walk_round_cm,x,z,room,between,and,objects_forming_gap,objects_in_the_way,pinches,key
1,,warp,55.161,29.18,none found,17543,9402,0x6f,generic 0x1e2360 (preset 0x0153),generic 0x1e2678 (preset 0x0156),0x1e2360 0x1e2678,,4,0x1e2360.0 | 0x1e2678.0
2,,warp,58.004,32.12,none found,17850,9684,0x6f,generic 0x1e2258 (preset 0x014c),generic 0x1e2780 (preset 0x0157),0x1e2258 0x1e2780,,2,0x1e2258.0 | 0x1e2780.2
3,Window A,warp,51.361,42.17,none found,17848,10238,0x6f,wall of tile 2F8020 (room 0x6f),wall of tile 2F8020 (room 0x6f),,,4,2F8020.2 | 2F8020.4
4,,warp,46.338,47.00,957,14336,1838,0x72,generic 0x1e3148 (preset 0x0052),generic 0x1e33c8 (preset 0x0057),0x1e3148 0x1e33c8,,4,0x1e3148.0 | 0x1e33c8.1
5,Window C,warp,51.450,48.94,none found,17898,5589,0x7a,wall of tile 309B22 (room 0x7a),wall of tile 309A22 (room 0x7a),,,2,0x1e19d0.0 | 309A22.1
6,,warp,52.850,53.51,310,17048,19820,0x84,wall of tile 06A031 (room 0x84),wall of tile 08DC32 (room 0x84),,,6,08DE30.1 | 0x1e1dd0.0
7,,warp,51.361,54.23,1451,16953,12708,0x6f,wall of tile 303F22 (room 0x6f),wall of tile 303E22 (room 0x6f),,,1,303E22.1 | 303F22.1
8,,warp,55.822,57.91,none found,14307,1835,0x6c,generic 0x1e5ef0 (preset 0x0067),glass 0x1e6680 (preset 0x2715),0x1e5ef0 0x1e6680,,2,0x1e5ef0.0 | 0x1e6680.2
9,,warp,48.193,60.67,402,-5568,-2585,0x54,generic 0x1e4cf0 (preset 0x2742),generic 0x1e4ff0 (preset 0x2748),0x1e4cf0 0x1e4ff0,,8,0x1e4cf0.1 | 0x1e4ff0.0
10,,warp,1.416,61.37,983,16991,19358,0x88,wall of tile 08F431 (room 0x88),glass 0x1e1d50 (preset 0x276c),0x1e1d50,,2,08F431.0 | 0x1e1d50.2
11,,warp,50.552,62.13,none found,17573,9463,0x6f,generic 0x1e2888 (preset 0x0158),generic 0x1e2990 (preset 0x0159),0x1e2888 0x1e2990,,2,0x1e2888.2 | 0x1e2990.1
12,,warp,0.0022,62.60,935,16641,12382,0x6f,wall of tile 302720 (room 0x6f),glass 0x1e1850 (preset 0x275e),0x1e1850,,2,0x1e1850.0 | 302720.1
13,,warp,3.026,62.83,942,17445,5582,0x7a,wall of tile 308320 (room 0x7a),glass 0x1e1ad0 (preset 0x2763),0x1e1ad0,,4,0x1e1ad0.0 | 308320.1
14,,warp,3.381,64.65,none found,16828,19621,0x84,wall of tile 08BF32 (room 0x84),glass 0x1e1c50 (preset 0x276a),0x1e1c50,,1,08BF32.2 | 0x1e1c50.0
15,,warp,0.0019,65.25,none found,16821,19586,0x84,wall of tile 08BE32 (room 0x84),glass 0x1e1d50 (preset 0x276c),0x1e1d50,,2,08BE32.1 | 0x1e1d50.0
16,,warp,57.114,66.08,none found,17816,9692,0x6f,generic 0x1e2258 (preset 0x014c),generic 0x1e2570 (preset 0x0155),0x1e2258 0x1e2570,,2,0x1e2258.0 | 0x1e2570.2
17,Window B,warp,55.300,66.22,none found,17813,10317,0x6f,wall of tile 2FF520 (room 0x6f),wall of tile 2FE621 (room 0x6f),,,3,2FE621.1 | 2FF520.3
18,,warp,0.0020,66.25,1303,16662,12682,0x6f,wall of tile 302422 (room 0x6f),glass 0x1e1750 (preset 0x275c),0x1e1750,,2,0x1e1750.0 | 302422.1
19,,warp,56.122,72.28,1410,17843,10393,0x6f,wall of tile 300120 (room 0x6f),wall of tile 2FE722 (room 0x6f),,,2,2FE722.1 | 300120.1
20,tunnel gate warp,warp,3.970,73.58,none found,5507,-2985,0x62,door 0x1e7c50 (preset 0x000c),door 0x1e7d50 (preset 0x000d),0x1e7c50 0x1e7d50,,2,0x1e7c50.2 | 0x1e7d50.0
