object,type,reason
0x1e7890,lock,Bond walks through it
0x1e78a0,lock,Bond walks through it
0x1e8b74,weapon,Bond walks through it
0x1e5af0,monitor,no collision outline in the data
0x1e5bf0,generic,no collision outline in the data
0x1e5d70,monitor,no collision outline in the data
0x1e5e70,generic,no collision outline in the data
0x1e5ff0,monitor,no collision outline in the data
0x1e60f0,generic,no collision outline in the data
0x1e6270,monitor,no collision outline in the data
0x1e6370,generic,no collision outline in the data
0x1e7810,generic,no collision outline in the data
0x1e79c0,monitor,no collision outline in the data
0x1e7ad0,generic,no collision outline in the data
0x1e8944,alarm,no collision outline in the data
0x1e89d4,alarm,no collision outline in the data
0x1e8a64,alarm,no collision outline in the data
0x1e8af4,alarm,no collision outline in the data
0x1e8650,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1e86e4,glass,"outside the walkable area: seen from above, no part of it is over the floor"
