x,z,between,and
17861,10422,wall of tile 300120 (room 0x6f),wall of tile 2FE721 (room 0x6f)
17874,10435,wall of tile 300120 (room 0x6f),wall of tile 2FE822 (room 0x6f)
17809,10268,wall of tile 2FF520 (room 0x6f),wall of tile 2FE521 (room 0x6f)
17440,8813,wall of tile 2F6222 (room 0x6f),monitor 0x1e6a40 (preset 0x2766)
17440,8813,wall of tile 2F6222 (room 0x6f),monitor 0x1e6a40 (preset 0x2766)
17490,8813,wall of tile 2F6222 (room 0x6f),monitor 0x1e6a40 (preset 0x2766)
17440,8813,wall of tile 2F6222 (room 0x6f),monitor 0x1e6a40 (preset 0x2766)
17386,8706,wall of tile 2F6121 (room 0x6f),door 0x1e6840 (preset 0x0006)
17386,8740,wall of tile 2F6121 (room 0x6f),door 0x1e6840 (preset 0x0006)
17386,8740,wall of tile 2F6121 (room 0x6f),door 0x1e6840 (preset 0x0006)
17490,8706,wall of tile 2F5020 (room 0x71),monitor 0x1e6ca4 (preset 0x2767)
17440,8706,wall of tile 2F5020 (room 0x71),monitor 0x1e6ca4 (preset 0x2767)
17473,7910,wall of tile 2F6520 (room 0x71),monitor 0x1e6f08 (preset 0x2768)
17422,7910,wall of tile 2F6520 (room 0x71),monitor 0x1e6f08 (preset 0x2768)
17386,7841,wall of tile 2F6622 (room 0x71),door 0x1e6940 (preset 0x0009)
17386,7803,wall of tile 2F5722 (room 0x7a),door 0x1e6940 (preset 0x0009)
17386,7803,wall of tile 2F5722 (room 0x7a),door 0x1e6940 (preset 0x0009)
17422,7803,wall of tile 2F5722 (room 0x7a),monitor 0x1e716c (preset 0x2769)
17439,7791,wall of tile 2F5721 (room 0x7a),monitor 0x1e716c (preset 0x2769)
14743,2172,wall of tile 312922 (room 0x7b),door 0x1e78b0 (preset 0x0014)
14756,2181,wall of tile 312922 (room 0x7b),door 0x1e78b0 (preset 0x0014)
14492,2511,wall of tile 312A22 (room 0x72),door 0x1e78b0 (preset 0x0014)
14505,2520,wall of tile 312A22 (room 0x72),door 0x1e78b0 (preset 0x0014)
14661,2064,wall of tile 012C21 (room 0x72),door 0x1e8250 (preset 0x003d)
12883,1584,wall of tile 1F0B21 (room 0x72),door 0x1e7610 (preset 0x000a)
12896,1593,wall of tile 1F0B21 (room 0x72),door 0x1e7610 (preset 0x000a)
-5610,-2959,wall of tile 325B19 (room 0x54),door 0x1e8050 (preset 0x0010)
-5607,-2949,wall of tile 325B19 (room 0x54),door 0x1e8050 (preset 0x0010)
-5602,-3160,wall of tile 33C61A (room 0x4f),door 0x1e8550 (preset 0x0044)
-5597,-3150,wall of tile 33C41A (room 0x4e),door 0x1e8550 (preset 0x0044)
-5410,-3034,wall of tile 325B1A (room 0x54),door 0x1e8150 (preset 0x0011)
-5406,-3022,wall of tile 325B1A (room 0x54),door 0x1e8150 (preset 0x0011)
-295,-4083,wall of tile 0ED818 (room 0x5b),door 0x1e7e50 (preset 0x000e)
-295,-4075,wall of tile 0ED818 (room 0x5b),door 0x1e7e50 (preset 0x000e)
188,-4575,wall of tile 0EEE1A (room 0x58),wall of tile 2E7619 (room 0x4c)
-154,-4306,wall of tile 33A91A (room 0x4c),door 0x1e8450 (preset 0x0041)
-270,-4306,wall of tile 33A919 (room 0x4c),door 0x1e8450 (preset 0x0041)
-270,-4306,wall of tile 33A919 (room 0x4c),door 0x1e8450 (preset 0x0041)
-154,-4289,wall of tile 33C01A (room 0x4b),door 0x1e8450 (preset 0x0041)
-270,-4289,wall of tile 33C019 (room 0x4b),door 0x1e8450 (preset 0x0041)
-188,-4652,wall of tile 33D519 (room 0x59),generic 0x1e4b70 (preset 0x273f)
-248,-4652,wall of tile 0EC718 (room 0x59),generic 0x1e4b70 (preset 0x273f)
-81,-4083,wall of tile 0ED918 (room 0x5b),door 0x1e7f50 (preset 0x000f)
-81,-4075,wall of tile 0ED918 (room 0x5b),door 0x1e7f50 (preset 0x000f)
2832,-3183,wall of tile 1A9619 (room 0x5d),generic 0x1e4230 (preset 0x2735)
2843,-3181,wall of tile 1A9619 (room 0x5d),generic 0x1e4230 (preset 0x2735)
5406,-3022,wall of tile 327F1A (room 0x62),door 0x1e7c50 (preset 0x000c)
5606,-2947,wall of tile 327F19 (room 0x62),door 0x1e7d50 (preset 0x000d)
5410,-3034,wall of tile 32811A (room 0x62),door 0x1e7c50 (preset 0x000c)
5611,-2960,wall of tile 328119 (room 0x62),door 0x1e7d50 (preset 0x000d)
6021,-3295,wall of tile 11DA1A (room 0x5f),wall of tile 2F7119 (room 0x49)
5602,-3160,wall of tile 33BC19 (room 0x49),door 0x1e8350 (preset 0x003f)
5597,-3150,wall of tile 33AD19 (room 0x48),door 0x1e8350 (preset 0x003f)
7863,-1526,wall of tile 31A91A (room 0x64),generic 0x1e36d8 (preset 0x272a)
7865,-1525,wall of tile 31A91A (room 0x64),generic 0x1e36d8 (preset 0x272a)
8546,-1035,wall of tile 1EAA19 (room 0x65),generic 0x1e3af8 (preset 0x272e)
8539,-1038,wall of tile 1EAA19 (room 0x65),generic 0x1e3af8 (preset 0x272e)
8277,-1138,wall of tile 1EBA19 (room 0x64),generic 0x1e39f0 (preset 0x272d)
8360,-1106,wall of tile 1EBA19 (room 0x64),generic 0x1e39f0 (preset 0x272d)
11005,290,wall of tile 1E941A (room 0x67),generic 0x1e35d0 (preset 0x2729)
11012,294,wall of tile 1E941A (room 0x67),generic 0x1e35d0 (preset 0x2729)
12249,1353,wall of tile 1E8C1A (room 0x68),door 0x1e7510 (preset 0x0015)
12218,1330,wall of tile 323D1A (room 0x68),door 0x1e7510 (preset 0x0015)
14213,2299,wall of tile 32BB19 (room 0x6b),glass 0x1e6580 (preset 0x2712)
14212,2300,wall of tile 32BB19 (room 0x6b),glass 0x1e6580 (preset 0x2712)
14056,2507,wall of tile 32D018 (room 0x6a),glass 0x1e6470 (preset 0x2711)
14056,2508,wall of tile 32D018 (room 0x6a),glass 0x1e6470 (preset 0x2711)
14343,2124,wall of tile 32BA18 (room 0x6c),glass 0x1e6600 (preset 0x2714)
