between,and,width,kept,reason,because_of
wall of tile 045579 (room 0x59),wall of tile 0BD512 (room 0x26),27.463,no,the line between them touches another wall,wall of tile 000F12 (room 0x26)
wall of tile 045579 (room 0x59),door 0x1eec40 (preset 0x002e),19.407,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1eec40 (preset 0x002e)
wall of tile 045579 (room 0x59),door 0x1eec40 (preset 0x002e),3.881,yes,,
wall of tile 045579 (room 0x59),door 0x1eec40 (preset 0x002e),3.881,yes,,
wall of tile 045579 (room 0x59),door 0x1eec40 (preset 0x002e),19.407,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1eec40 (preset 0x002e)
wall of tile 04557A (room 0x59),wall of tile 0BD311 (room 0x26),27.463,no,the line between them touches another wall,wall of tile 000F11 (room 0x26)
wall of tile 04557A (room 0x59),door 0x1eed40 (preset 0x002f),1.315,yes,,
wall of tile 04557A (room 0x59),door 0x1eed40 (preset 0x002f),1.315,yes,,
wall of tile 04557A (room 0x59),door 0x1eed40 (preset 0x002f),1.315,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1eed40 (preset 0x002f)
wall of tile 04557A (room 0x59),door 0x1eed40 (preset 0x002f),6.576,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1eed40 (preset 0x002f)
wall of tile 03C479 (room 0x55),door 0x1eec40 (preset 0x002e),22.885,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 03C479 (room 0x55),door 0x1eec40 (preset 0x002e),4.577,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 03C479 (room 0x55),door 0x1eec40 (preset 0x002e),4.577,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 03C479 (room 0x55),door 0x1eec40 (preset 0x002e),22.886,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 03D778 (room 0x57),wall of tile 03BF7A (room 0x58),18.308,no,the line between them touches another wall,wall of tile 011079 (room 0x57)
wall of tile 03D878 (room 0x57),wall of tile 03BF79 (room 0x58),18.308,no,the line between them touches another wall,wall of tile 01107A (room 0x57)
wall of tile 037679 (room 0x53),door 0x1eed40 (preset 0x002f),4.577,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 04557A (room 0x59)
wall of tile 037679 (room 0x53),door 0x1eed40 (preset 0x002f),4.577,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 037679 (room 0x53),door 0x1eed40 (preset 0x002f),4.577,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 037679 (room 0x53),door 0x1eed40 (preset 0x002f),22.886,no,the line between them touches another wall,door 0x1eed40 (preset 0x002f)
wall of tile 022B7A (room 0x53),wall of tile 037C79 (room 0x53),9.154,no,the line between them touches another wall,wall of tile 022B79 (room 0x53)
wall of tile 022B7A (room 0x53),wall of tile 037C7A (room 0x53),20.469,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 022B79 (room 0x53),wall of tile 037C7A (room 0x53),9.154,no,the line between them touches another wall,wall of tile 022B79 (room 0x53)
wall of tile 022B79 (room 0x53),wall of tile 037C7A (room 0x53),20.469,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 022B79 (room 0x53),wall of tile 037C7A (room 0x53),18.308,no,the line between them touches another wall,wall of tile 037C7A (room 0x53)
wall of tile 022B79 (room 0x53),wall of tile 037C7A (room 0x53),18.308,no,the line between them touches another wall,wall of tile 037C79 (room 0x53)
wall of tile 0BD412 (room 0x26),wall of tile 002F11 (room 0x25),9.154,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD412 (room 0x26),wall of tile 002A10 (room 0x25),9.154,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD412 (room 0x26),wall of tile 002810 (room 0x25),9.154,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD412 (room 0x26),wall of tile 002B10 (room 0x25),9.154,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD412 (room 0x26),wall of tile 003011 (room 0x25),9.154,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD412 (room 0x26),wall of tile 002710 (room 0x25),9.154,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD412 (room 0x26),door 0x1ee430 (preset 0x0026),9.154,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD412 (room 0x26),door 0x1ee430 (preset 0x0026),4.577,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD412 (room 0x26),door 0x1ee430 (preset 0x0026),4.577,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD412 (room 0x26),door 0x1ee430 (preset 0x0026),9.154,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD412 (room 0x26),door 0x1ee530 (preset 0x0027),4.577,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 0BD011 (room 0x26)
wall of tile 0BD412 (room 0x26),door 0x1ee530 (preset 0x0027),4.577,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 0BD011 (room 0x26)
wall of tile 0BD412 (room 0x26),door 0x1ee530 (preset 0x0027),4.577,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 0BD011 (room 0x26)
wall of tile 0BD412 (room 0x26),door 0x1ee530 (preset 0x0027),9.154,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 0BD011 (room 0x26)
wall of tile 0BD112 (room 0x26),wall of tile 002A10 (room 0x25),9.154,no,the line between them touches another wall,wall of tile 002F11 (room 0x25)
wall of tile 0BD112 (room 0x26),door 0x1ee430 (preset 0x0026),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD112 (room 0x26),door 0x1ee430 (preset 0x0026),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD112 (room 0x26),door 0x1ee430 (preset 0x0026),0.000,no,the line between them touches another wall,door 0x1ee430 (preset 0x0026)
wall of tile 0BD212 (room 0x26),wall of tile 002F11 (room 0x25),9.154,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD212 (room 0x26),wall of tile 005711 (room 0x25),9.154,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD212 (room 0x26),wall of tile 005A10 (room 0x25),9.154,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD212 (room 0x26),wall of tile 005C10 (room 0x25),9.154,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD212 (room 0x26),wall of tile 012110 (room 0x23),4.577,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD212 (room 0x26),door 0x1ee430 (preset 0x0026),4.577,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 0BD111 (room 0x26)
wall of tile 0BD212 (room 0x26),door 0x1ee430 (preset 0x0026),4.577,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 0BD111 (room 0x26)
wall of tile 0BD212 (room 0x26),door 0x1ee430 (preset 0x0026),4.577,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 0BD111 (room 0x26)
wall of tile 0BD212 (room 0x26),door 0x1ee430 (preset 0x0026),9.154,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 002F11 (room 0x25)
wall of tile 0BD211 (room 0x26),wall of tile 005A10 (room 0x25),9.154,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD211 (room 0x26),wall of tile 005C10 (room 0x25),9.154,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD211 (room 0x26),wall of tile 012110 (room 0x23),4.577,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
