object,type,reason
0x1eb294,generic,Bond walks through it
0x1ebe90,key,Bond walks through it
0x1ec478,weapon,Bond walks through it
0x1ec500,weapon,Bond walks through it
0x1ec588,weapon,Bond walks through it
0x1ec610,weapon,Bond walks through it
0x1ec698,weapon,Bond walks through it
0x1ec720,weapon,Bond walks through it
0x1ec7a8,weapon,Bond walks through it
0x1ec830,weapon,Bond walks through it
0x1ec8b8,ammo,Bond walks through it
0x1ec93c,ammo,Bond walks through it
0x1ec9c0,ammo,Bond walks through it
0x1eca44,ammo,Bond walks through it
0x1ecaf8,weapon,Bond walks through it
0x1ecb80,weapon,Bond walks through it
0x1ecc08,weapon,Bond walks through it
0x1ecc90,weapon,Bond walks through it
0x1ecec8,weapon,Bond walks through it
0x1eb3e0,monitor,no collision outline in the data
0x1eb4e0,generic,no collision outline in the data
0x1eb660,monitor,no collision outline in the data
0x1eb760,generic,no collision outline in the data
0x1eb8e0,monitor,no collision outline in the data
0x1eb9e0,generic,no collision outline in the data
0x1ebb60,monitor,no collision outline in the data
0x1ebc60,generic,no collision outline in the data
0x1ebf3c,drone,no collision outline in the data
0x1ec024,monitor,no collision outline in the data
