x,z,between,and
-1382,-0,wall of tile 0BD112 (room 0x26),door 0x1ee430 (preset 0x0026)
-1382,5,wall of tile 002F11 (room 0x25),door 0x1ee430 (preset 0x0026)
-632,1410,wall of tile 001410 (room 0x25),door 0x1ee730 (preset 0x002b)
-632,1304,wall of tile 001410 (room 0x25),door 0x1ee730 (preset 0x002b)
-632,1304,wall of tile 001410 (room 0x25),door 0x1ee730 (preset 0x002b)
-659,847,wall of tile 040212 (room 0x25),wall of tile 039811 (room 0x25)
-632,1304,wall of tile 03A311 (room 0x25),door 0x1ee830 (preset 0x002c)
-632,1410,wall of tile 03A312 (room 0x25),door 0x1ee830 (preset 0x002c)
-632,1410,wall of tile 03A312 (room 0x25),door 0x1ee830 (preset 0x002c)
-622,1410,wall of tile 040412 (room 0x25),door 0x1ee830 (preset 0x002c)
-622,1410,wall of tile 040412 (room 0x25),door 0x1ee830 (preset 0x002c)
-632,1410,wall of tile 040412 (room 0x25),door 0x1ee830 (preset 0x002c)
-622,1304,wall of tile 040411 (room 0x25),door 0x1ee830 (preset 0x002c)
334,1021,wall of tile 008418 (room 0x28),door 0x1ee930 (preset 0x002d)
334,915,wall of tile 008418 (room 0x28),door 0x1ee930 (preset 0x002d)
334,915,wall of tile 008418 (room 0x28),door 0x1ee930 (preset 0x002d)
334,915,wall of tile 00061A (room 0x28),door 0x1ee930 (preset 0x002d)
334,915,wall of tile 00061A (room 0x28),door 0x1ee930 (preset 0x002d)
343,915,wall of tile 00061A (room 0x28),door 0x1ee930 (preset 0x002d)
343,915,wall of tile 00061A (room 0x28),door 0x1ee930 (preset 0x002d)
343,1021,wall of tile 000619 (room 0x28),door 0x1ee930 (preset 0x002d)
343,1021,wall of tile 000619 (room 0x28),door 0x1ee930 (preset 0x002d)
334,1021,wall of tile 000619 (room 0x28),door 0x1ee930 (preset 0x002d)
-389,645,wall of tile 005812 (room 0x25),door 0x1ee630 (preset 0x0028)
-380,645,wall of tile 005812 (room 0x25),door 0x1ee630 (preset 0x0028)
-380,645,wall of tile 005812 (room 0x25),door 0x1ee630 (preset 0x0028)
-389,645,wall of tile 005812 (room 0x25),door 0x1ee630 (preset 0x0028)
-389,645,wall of tile 005910 (room 0x25),door 0x1ee630 (preset 0x0028)
-380,645,wall of tile 005910 (room 0x25),door 0x1ee630 (preset 0x0028)
-380,645,wall of tile 005910 (room 0x25),door 0x1ee630 (preset 0x0028)
-380,645,wall of tile 005910 (room 0x25),door 0x1ee630 (preset 0x0028)
-938,-2957,wall of tile 011F08 (room 0x1e),door 0x1ee230 (preset 0x0024)
-3158,-3666,wall of tile 012808 (room 0x1d),door 0x1ee130 (preset 0x0023)
-2806,-3666,wall of tile 012808 (room 0x1d),door 0x1ee130 (preset 0x0023)
-2806,-3666,wall of tile 001161 (room 0x4a),door 0x1ee130 (preset 0x0023)
-3158,-3666,wall of tile 000861 (room 0x4a),door 0x1ee130 (preset 0x0023)
-2833,-4444,wall of tile 012B08 (room 0x1d),door 0x1ee030 (preset 0x0022)
-2833,-4444,wall of tile 012B08 (room 0x1d),door 0x1ee030 (preset 0x0022)
-2485,-4444,wall of tile 012C08 (room 0x1d),door 0x1ee030 (preset 0x0022)
-2485,-4444,wall of tile 012C08 (room 0x1d),door 0x1ee030 (preset 0x0022)
-2485,-4454,wall of tile 0D9C09 (room 0x1d),door 0x1ee030 (preset 0x0022)
-2485,-4444,wall of tile 0D9C09 (room 0x1d),door 0x1ee030 (preset 0x0022)
-2485,-4444,wall of tile 0D9C09 (room 0x1d),door 0x1ee030 (preset 0x0022)
-2833,-4454,wall of tile 0D9C0A (room 0x1d),door 0x1ee030 (preset 0x0022)
-2833,-4444,wall of tile 0D9C0A (room 0x1d),door 0x1ee030 (preset 0x0022)
-2833,-4454,wall of tile 001159 (room 0x46),door 0x1ee030 (preset 0x0022)
-2833,-4454,wall of tile 001159 (room 0x46),door 0x1ee030 (preset 0x0022)
-2485,-4454,wall of tile 000859 (room 0x46),door 0x1ee030 (preset 0x0022)
-2485,-4454,wall of tile 000859 (room 0x46),door 0x1ee030 (preset 0x0022)
-1250,-4444,wall of tile 012E08 (room 0x1d),door 0x1edf30 (preset 0x0021)
-1250,-4444,wall of tile 012E08 (room 0x1d),door 0x1edf30 (preset 0x0021)
-902,-4444,wall of tile 013808 (room 0x1d),door 0x1edf30 (preset 0x0021)
-902,-4444,wall of tile 013808 (room 0x1d),door 0x1edf30 (preset 0x0021)
-902,-4454,wall of tile 0D9909 (room 0x1d),door 0x1edf30 (preset 0x0021)
-902,-4444,wall of tile 0D9909 (room 0x1d),door 0x1edf30 (preset 0x0021)
-902,-4444,wall of tile 0D9909 (room 0x1d),door 0x1edf30 (preset 0x0021)
-1250,-4454,wall of tile 0D990A (room 0x1d),door 0x1edf30 (preset 0x0021)
-1250,-4454,wall of tile 0D990A (room 0x1d),door 0x1edf30 (preset 0x0021)
-1250,-4444,wall of tile 0D990A (room 0x1d),door 0x1edf30 (preset 0x0021)
-1250,-4454,wall of tile 001151 (room 0x42),door 0x1edf30 (preset 0x0021)
-1250,-4454,wall of tile 001151 (room 0x42),door 0x1edf30 (preset 0x0021)
-659,-5666,wall of tile 002051 (room 0x42),wall of tile 01FC52 (room 0x42)
-902,-4454,wall of tile 000851 (room 0x42),door 0x1edf30 (preset 0x0021)
-902,-4454,wall of tile 000851 (room 0x42),door 0x1edf30 (preset 0x0021)
687,-4454,wall of tile 0D9709 (room 0x1c),door 0x1ede30 (preset 0x0020)
687,-4444,wall of tile 0D9709 (room 0x1c),door 0x1ede30 (preset 0x0020)
687,-4444,wall of tile 016C08 (room 0x1c),door 0x1ede30 (preset 0x0020)
687,-4444,wall of tile 016C08 (room 0x1c),door 0x1ede30 (preset 0x0020)
687,-4454,wall of tile 000849 (room 0x3e),door 0x1ede30 (preset 0x0020)
687,-4454,wall of tile 000849 (room 0x3e),door 0x1ede30 (preset 0x0020)
1465,-6783,wall of tile 025D08 (room 0x0a),door 0x1eea30 (preset 0x0029)
1465,-6788,wall of tile 0D3E09 (room 0x0a),door 0x1eea30 (preset 0x0029)
1758,-6783,wall of tile 024908 (room 0x0a),door 0x1eeb30 (preset 0x002a)
1758,-6788,wall of tile 0D3E0A (room 0x0a),door 0x1eeb30 (preset 0x002a)
1140,-9708,wall of tile 028800 (room 0x08),door 0x1ed830 (preset 0x001a)
1140,-9708,wall of tile 000839 (room 0x36),door 0x1ed830 (preset 0x001a)
3236,-9694,wall of tile 067701 (room 0x09),door 0x1ed730 (preset 0x0019)
2888,-9703,wall of tile 067702 (room 0x09),door 0x1ed730 (preset 0x0019)
2888,-9694,wall of tile 067702 (room 0x09),door 0x1ed730 (preset 0x0019)
2888,-9703,wall of tile 001129 (room 0x2e),door 0x1ed730 (preset 0x0019)
3474,-10916,wall of tile 002029 (room 0x2e),wall of tile 00532A (room 0x2e)
3236,-9703,wall of tile 000829 (room 0x2e),door 0x1ed730 (preset 0x0019)
2714,-8353,wall of tile 069502 (room 0x08),door 0x1ed930 (preset 0x001b)
2714,-8353,wall of tile 001131 (room 0x32),door 0x1ed930 (preset 0x001b)
3309,-7657,wall of tile 000231 (room 0x32),generic 0x1ea68c (preset 0x2721)
3291,-7657,wall of tile 000732 (room 0x32),generic 0x1ea68c (preset 0x2721)
3154,-6173,wall of tile 0E4B09 (room 0x0a),door 0x1eda30 (preset 0x001c)
3163,-6171,wall of tile 0E4B09 (room 0x0a),door 0x1eda30 (preset 0x001c)
3163,-5850,wall of tile 0E4B0A (room 0x0a),door 0x1eda30 (preset 0x001c)
3163,-4748,wall of tile 0E490A (room 0x0a),door 0x1edc30 (preset 0x001e)
3163,-5070,wall of tile 0E4909 (room 0x0a),door 0x1edc30 (preset 0x001e)
3158,-4742,wall of tile 02C40A (room 0x0a),door 0x1edc30 (preset 0x001e)
3163,-5620,wall of tile 0E4A09 (room 0x0a),door 0x1edb30 (preset 0x001d)
3158,-5840,wall of tile 02C709 (room 0x0a),door 0x1eda30 (preset 0x001c)
3158,-5625,wall of tile 02C709 (room 0x0a),door 0x1edb30 (preset 0x001d)
3163,-5301,wall of tile 0E4A0A (room 0x0a),door 0x1edb30 (preset 0x001d)
3158,-5291,wall of tile 02C809 (room 0x0a),door 0x1edb30 (preset 0x001d)
3158,-5076,wall of tile 02C809 (room 0x0a),door 0x1edc30 (preset 0x001e)
4138,-3653,wall of tile 01810A (room 0x1b),door 0x1edd30 (preset 0x001f)
4138,-3653,wall of tile 01810A (room 0x1b),door 0x1edd30 (preset 0x001f)
4138,-3653,wall of tile 000841 (room 0x3a),door 0x1edd30 (preset 0x001f)
4138,-3653,wall of tile 000841 (room 0x3a),door 0x1edd30 (preset 0x001f)
-938,-3305,wall of tile 013408 (room 0x1e),door 0x1ee230 (preset 0x0024)
-938,-3305,wall of tile 001171 (room 0x52),door 0x1ee230 (preset 0x0024)
-938,-2957,wall of tile 000871 (room 0x52),door 0x1ee230 (preset 0x0024)
1506,-2888,wall of tile 00A908 (room 0x21),door 0x1ee330 (preset 0x0025)
1506,-2540,wall of tile 009908 (room 0x21),door 0x1ee330 (preset 0x0025)
1506,-2888,wall of tile 001169 (room 0x4e),door 0x1ee330 (preset 0x0025)
1506,-2540,wall of tile 000869 (room 0x4e),door 0x1ee330 (preset 0x0025)
-613,1410,wall of tile 000119 (room 0x27),door 0x1ee730 (preset 0x002b)
-613,1410,wall of tile 000119 (room 0x27),door 0x1ee730 (preset 0x002b)
-618,1410,wall of tile 000119 (room 0x27),door 0x1ee730 (preset 0x002b)
-613,1304,wall of tile 00011A (room 0x27),door 0x1ee730 (preset 0x002b)
-632,1410,wall of tile 03E611 (room 0x25),door 0x1ee730 (preset 0x002b)
-2517,5,wall of tile 003111 (room 0x25),door 0x1ee530 (preset 0x0027)
-2517,5,wall of tile 0BD012 (room 0x26),door 0x1ee530 (preset 0x0027)
-2517,-0,wall of tile 0BD012 (room 0x26),door 0x1ee530 (preset 0x0027)
-2517,-0,wall of tile 0BD012 (room 0x26),door 0x1ee530 (preset 0x0027)
238,1021,safe 0x1eb0ec (preset 0x2741),door 0x1eb16c (preset 0x0032)
238,1094,safe 0x1eb0ec (preset 0x2741),door 0x1eb16c (preset 0x0032)
4198,-2540,generic 0x1eb860 (preset 0x0129),generic 0x1eba60 (preset 0x011f)
4263,-2540,generic 0x1eb860 (preset 0x0129),generic 0x1eba60 (preset 0x011f)
4097,-2206,generic 0x1ebae0 (preset 0x012c),generic 0x1ebce0 (preset 0x0120)
4051,-2206,generic 0x1ebae0 (preset 0x012c),generic 0x1ebce0 (preset 0x0120)
