variant_of_gap,name,key,status,width_cm,step_cm,x,z,between,and,objects_forming_gap,objects_in_the_way
31,,0x1ece48.1 | 0x1ed350.5,warp,25.385,177.83,-1133,-5214,generic 0x1ecdb8 (preset 0x0144),generic 0x1ece48 (preset 0x0145),0x1ecdb8 0x1ece48,
30,,0x1ecf60.3 | 0x1ecff0.0,warp,34.243,187.36,-1023,-5648,generic 0x1ecff0 (preset 0x0148),generic 0x1ed470 (preset 0x0150),0x1ecff0 0x1ed470,
27,,0x1ed080.2 | 0x1ed6b0.4,warp,22.641,198.90,-814,-5349,generic 0x1ed080 (preset 0x0149),generic 0x1ed6b0 (preset 0x0154),0x1ed080 0x1ed6b0,
27,,0x1ed110.0 | 0x1ed1a0.2,warp,35.183,203.92,-942,-5345,generic 0x1ed1a0 (preset 0x014b),generic 0x1ed6b0 (preset 0x0154),0x1ed1a0 0x1ed6b0,
27,,0x1ed110.2 | 0x1ed6b0.5,warp,27.643,207.16,-871,-5347,generic 0x1ed110 (preset 0x014a),generic 0x1ed6b0 (preset 0x0154),0x1ed110 0x1ed6b0,
30,,0x1ed3e0.5 | 0x1ed620.1,warp,18.042,254.03,-939,-5501,generic 0x1ed3e0 (preset 0x014f),generic 0x1ed620 (preset 0x0153),0x1ed3e0 0x1ed620,
30,,0x1ed470.0 | 0x1ed500.3,warp,49.970,258.84,-1077,-5480,generic 0x1ed500 (preset 0x0151),generic 0x1ed590 (preset 0x0152),0x1ed500 0x1ed590,
30,,0x1ed590.3 | 0x1ed620.1,warp,55.366,281.21,-970,-5482,generic 0x1ed3e0 (preset 0x014f),generic 0x1ed590 (preset 0x0152),0x1ed3e0 0x1ed590,
27,,0x1ed080.0 | 0x1ed110.3,warp if objects removed,40.254,108.82,-871,-5192,generic 0x1ec278 (preset 0x012f),generic 0x1ed110 (preset 0x014a),0x1ec278 0x1ed110,0x1ed080 0x1ed1a0
31,,0x1ed2c0.2 | 0x1ed350.0,warp if objects removed,29.986,173.79,-1236,-5338,generic 0x1ed2c0 (preset 0x014d),generic 0x1ed350 (preset 0x014e),0x1ed2c0 0x1ed350,0x1ec2f8
31,,0x1ec2f8.1 | 0x1ece48.0,warp if objects removed,15.009,175.12,-1206,-5093,generic 0x1ec2f8 (preset 0x0131),generic 0x1ece48 (preset 0x0145),0x1ec2f8 0x1ece48,0x1ed350
27,,0x1ed110.0 | 0x1ed1a0.3,warp if objects removed,25.385,176.25,-936,-5271,generic 0x1ed110 (preset 0x014a),generic 0x1ed1a0 (preset 0x014b),0x1ed110 0x1ed1a0,0x1ec278 0x1ed6b0
