between,and,width,kept,reason,because_of
wall of tile 1CAC00 (room 0x0a),door 0x1ce310 (preset 0x0004),0.000,no,the line between them touches another wall,wall of tile 1E2202 (room 0x2a)
wall of tile 095300 (room 0x0a),door 0x1ce310 (preset 0x0004),0.000,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 1E2201 (room 0x2a)
wall of tile 095300 (room 0x0a),door 0x1ce310 (preset 0x0004),0.000,no,the line between them touches another wall,wall of tile 1E2201 (room 0x2a)
wall of tile 1E3E01 (room 0x2b),wall of tile 1C9E02 (room 0x2c),46.860,no,the line between them touches another wall,wall of tile 1C9F02 (room 0x2c)
wall of tile 1E3E02 (room 0x2b),wall of tile 1C9E01 (room 0x2c),46.860,no,the line between them touches another wall,wall of tile 1C9F01 (room 0x2c)
wall of tile 098E00 (room 0x0c),door 0x1ce110 (preset 0x0002),0.134,no,the line between them touches another wall,door 0x1ce110 (preset 0x0002)
wall of tile 098E00 (room 0x0c),door 0x1ce110 (preset 0x0002),46.726,no,the line between them touches another wall,wall of tile 16A401 (room 0x14)
wall of tile 098E00 (room 0x0c),door 0x1ce210 (preset 0x0003),0.000,no,the line between them touches another wall,door 0x1ce210 (preset 0x0003)
wall of tile 098E00 (room 0x0c),door 0x1ce210 (preset 0x0003),46.860,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1CBF00 (room 0x0c),door 0x1ce110 (preset 0x0002),0.134,no,the line between them touches another wall,door 0x1ce110 (preset 0x0002)
wall of tile 1CBF00 (room 0x0c),door 0x1ce110 (preset 0x0002),46.727,no,the line between them touches another wall,door 0x1ce110 (preset 0x0002)
wall of tile 1CBF00 (room 0x0c),door 0x1ce110 (preset 0x0002),0.134,no,the line between them touches another wall,door 0x1ce110 (preset 0x0002)
wall of tile 1CBF00 (room 0x0c),door 0x1ce210 (preset 0x0003),46.860,no,the line between them touches another wall,door 0x1ce210 (preset 0x0003)
wall of tile 16A401 (room 0x14),door 0x1ce010 (preset 0x0001),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16A401 (room 0x14),door 0x1ce010 (preset 0x0001),0.123,no,the line between them touches another wall,door 0x1ce010 (preset 0x0001)
wall of tile 16A401 (room 0x14),door 0x1ce110 (preset 0x0002),0.134,no,the line between them touches another wall,door 0x1ce110 (preset 0x0002)
wall of tile 16A401 (room 0x14),door 0x1ce210 (preset 0x0003),0.000,no,the line between them touches another wall,door 0x1ce210 (preset 0x0003)
wall of tile 16A401 (room 0x14),door 0x1ce210 (preset 0x0003),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16A402 (room 0x14),door 0x1cdf10 (preset 0x0000),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16A402 (room 0x14),door 0x1ce010 (preset 0x0001),0.123,no,the line between them touches another wall,door 0x1ce010 (preset 0x0001)
wall of tile 16A402 (room 0x14),door 0x1ce110 (preset 0x0002),0.134,no,the line between them touches another wall,door 0x1ce110 (preset 0x0002)
wall of tile 16A402 (room 0x14),door 0x1ce110 (preset 0x0002),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16A402 (room 0x14),door 0x1ce110 (preset 0x0002),0.134,no,the line between them touches another wall,door 0x1ce110 (preset 0x0002)
wall of tile 16AC00 (room 0x13),door 0x1cdf10 (preset 0x0000),43.078,no,the line between them touches another wall,door 0x1cdf10 (preset 0x0000)
wall of tile 16AC00 (room 0x13),door 0x1cdf10 (preset 0x0000),0.123,no,the line between them touches another wall,wall of tile 16A401 (room 0x14)
wall of tile 16AC00 (room 0x13),door 0x1cdf10 (preset 0x0000),0.123,no,the line between them touches another wall,wall of tile 16A401 (room 0x14)
wall of tile 16AC00 (room 0x13),door 0x1ce010 (preset 0x0001),42.833,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16AC00 (room 0x13),door 0x1ce010 (preset 0x0001),0.123,no,the line between them touches another wall,door 0x1ce010 (preset 0x0001)
wall of tile 16AF00 (room 0x13),door 0x1cefb8 (preset 0x002e),3.905,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16AF00 (room 0x13),door 0x1cefb8 (preset 0x002e),3.905,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16AF00 (room 0x13),door 0x1cf0b8 (preset 0x0032),3.905,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16AF00 (room 0x13),door 0x1cf1b8 (preset 0x0034),3.905,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16B102 (room 0x12),door 0x1ce520 (preset 0x0006),0.000,no,the line between them touches another wall,door 0x1ce520 (preset 0x0006)
wall of tile 16B102 (room 0x12),door 0x1ce520 (preset 0x0006),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16B102 (room 0x12),door 0x1ce520 (preset 0x0006),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16B102 (room 0x12),door 0x1ce620 (preset 0x0007),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16B102 (room 0x12),door 0x1ce620 (preset 0x0007),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16B102 (room 0x12),door 0x1ce820 (preset 0x0009),0.000,no,the line between them touches another wall,wall of tile 16B202 (room 0x11)
wall of tile 16B102 (room 0x12),door 0x1ce820 (preset 0x0009),0.000,no,the line between them touches another wall,wall of tile 16B202 (room 0x11)
wall of tile 16B101 (room 0x12),door 0x1ce520 (preset 0x0006),0.000,no,the line between them touches another wall,door 0x1ce520 (preset 0x0006)
wall of tile 16B101 (room 0x12),door 0x1ce520 (preset 0x0006),0.000,no,the line between them touches another wall,door 0x1ce520 (preset 0x0006)
wall of tile 16B101 (room 0x12),door 0x1ce720 (preset 0x0008),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16B101 (room 0x12),door 0x1ce720 (preset 0x0008),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16B101 (room 0x12),door 0x1ce820 (preset 0x0009),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16B101 (room 0x12),door 0x1ce820 (preset 0x0009),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16B101 (room 0x12),door 0x1ce820 (preset 0x0009),0.000,no,the line between them touches another wall,door 0x1ce820 (preset 0x0009)
wall of tile 16B101 (room 0x12),door 0x1ce920 (preset 0x000a),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16B101 (room 0x12),door 0x1ce920 (preset 0x000a),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16B202 (room 0x11),door 0x1ce520 (preset 0x0006),19.525,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16B202 (room 0x11),door 0x1ce520 (preset 0x0006),19.525,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16B202 (room 0x11),door 0x1ce520 (preset 0x0006),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16B202 (room 0x11),door 0x1ce620 (preset 0x0007),19.525,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16B202 (room 0x11),door 0x1ce620 (preset 0x0007),42.955,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16B202 (room 0x11),door 0x1ce620 (preset 0x0007),42.955,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16B202 (room 0x11),door 0x1ce620 (preset 0x0007),19.525,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 16B202 (room 0x11),door 0x1ce720 (preset 0x0008),43.078,no,the line between them touches another wall,door 0x1ce720 (preset 0x0008)
wall of tile 16B202 (room 0x11),door 0x1ce720 (preset 0x0008),0.123,no,the line between them touches another wall,wall of tile 16B102 (room 0x12)
wall of tile 16B202 (room 0x11),door 0x1ce720 (preset 0x0008),0.123,no,the line between them touches another wall,wall of tile 16B102 (room 0x12)
wall of tile 16B202 (room 0x11),door 0x1ce720 (preset 0x0008),0.123,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 16B102 (room 0x12)
wall of tile 16B202 (room 0x11),door 0x1ce820 (preset 0x0009),19.525,no,the line between them touches another wall,door 0x1ce820 (preset 0x0009)
wall of tile 16B202 (room 0x11),door 0x1ce920 (preset 0x000a),42.956,no,the line between them touches another wall,door 0x1ce920 (preset 0x000a)
wall of tile 16B202 (room 0x11),door 0x1ce920 (preset 0x000a),19.525,no,the line between them touches another wall,wall of tile 16B102 (room 0x12)
wall of tile 16B202 (room 0x11),door 0x1ce920 (preset 0x000a),19.525,no,the line between them touches another wall,wall of tile 16B102 (room 0x12)
wall of tile 16B202 (room 0x11),door 0x1ce920 (preset 0x000a),19.525,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 16B102 (room 0x12)
wall of tile 1E3501 (room 0x10),door 0x1ce520 (preset 0x0006),0.000,no,the line between them touches another wall,door 0x1ce520 (preset 0x0006)
wall of tile 1E3501 (room 0x10),door 0x1ce520 (preset 0x0006),0.000,no,the line between them touches another wall,door 0x1ce520 (preset 0x0006)
wall of tile 1E3501 (room 0x10),door 0x1ce520 (preset 0x0006),19.525,no,the line between them touches another wall,door 0x1ce520 (preset 0x0006)
wall of tile 1E3501 (room 0x10),door 0x1ce620 (preset 0x0007),19.525,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 16B101 (room 0x12)
wall of tile 1E3501 (room 0x10),door 0x1ce620 (preset 0x0007),19.525,no,the line between them touches another wall,wall of tile 16B101 (room 0x12)
wall of tile 1E3501 (room 0x10),door 0x1ce620 (preset 0x0007),19.525,no,the line between them touches another wall,wall of tile 16B101 (room 0x12)
wall of tile 1E3501 (room 0x10),door 0x1ce620 (preset 0x0007),42.956,no,the line between them touches another wall,door 0x1ce620 (preset 0x0007)
wall of tile 1E3501 (room 0x10),door 0x1ce720 (preset 0x0008),0.123,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1E3501 (room 0x10),door 0x1ce720 (preset 0x0008),43.078,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1E3501 (room 0x10),door 0x1ce720 (preset 0x0008),43.078,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1E3501 (room 0x10),door 0x1ce720 (preset 0x0008),0.123,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1E3501 (room 0x10),door 0x1ce820 (preset 0x0009),19.525,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1E3501 (room 0x10),door 0x1ce820 (preset 0x0009),19.525,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1E3501 (room 0x10),door 0x1ce820 (preset 0x0009),0.000,no,the line between them touches another wall,door 0x1ce820 (preset 0x0009)
wall of tile 1E3501 (room 0x10),door 0x1ce920 (preset 0x000a),19.525,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1E3501 (room 0x10),door 0x1ce920 (preset 0x000a),42.955,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1E3501 (room 0x10),door 0x1ce920 (preset 0x000a),42.955,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1E3501 (room 0x10),door 0x1ce920 (preset 0x000a),19.525,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 1E3901 (room 0x17),wall of tile 1D7100 (room 0x03),58.575,no,the line between them touches another wall,wall of tile 155C01 (room 0x18)
wall of tile 1E3901 (room 0x17),wall of tile 1D6F00 (room 0x03),58.575,no,the line between them touches another wall,wall of tile 155C01 (room 0x18)
wall of tile 1E3902 (room 0x17),wall of tile 1D6B00 (room 0x03),58.575,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 1E3902 (room 0x17),wall of tile 1D6D00 (room 0x03),58.575,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 155C01 (room 0x18),wall of tile 15BD00 (room 0x19),46.860,no,the line between them touches another wall,wall of tile 1CE901 (room 0x19)
wall of tile 155C01 (room 0x18),wall of tile 1D1600 (room 0x03),10.665,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 155C01 (room 0x18),wall of tile 1D1500 (room 0x03),10.744,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 155C02 (room 0x18),wall of tile 15D500 (room 0x19),46.860,no,the line between them touches another wall,wall of tile 1CE902 (room 0x19)
wall of tile 155C02 (room 0x18),wall of tile 1DD500 (room 0x03),58.575,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 155C02 (room 0x18),wall of tile 1DD300 (room 0x03),58.575,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 155C02 (room 0x18),wall of tile 1D7500 (room 0x03),58.575,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 155C02 (room 0x18),wall of tile 1D7700 (room 0x03),58.575,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 15BD00 (room 0x19),wall of tile 1D1600 (room 0x03),35.145,no,the line between them touches another wall,wall of tile 1CE901 (room 0x19)
wall of tile 15BD00 (room 0x19),wall of tile 1D1500 (room 0x03),35.145,no,the line between them touches another wall,wall of tile 1CE901 (room 0x19)
wall of tile 15BD00 (room 0x19),wall of tile 1D1300 (room 0x03),35.145,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 15BD00 (room 0x19),wall of tile 1D1200 (room 0x03),35.145,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 15C800 (room 0x19),wall of tile 01CD00 (room 0x08),46.860,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 15C800 (room 0x19),wall of tile 01CC00 (room 0x08),46.860,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 15C800 (room 0x19),wall of tile 01C900 (room 0x08),46.860,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 15C800 (room 0x19),wall of tile 01CA00 (room 0x08),46.860,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 15D500 (room 0x19),wall of tile 1D1800 (room 0x03),35.145,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 15D500 (room 0x19),wall of tile 1D1A00 (room 0x03),35.145,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 15C300 (room 0x19),wall of tile 158A01 (room 0x1a),42.955,no,the line between them touches another wall,wall of tile 1CEF01 (room 0x19)
wall of tile 158A02 (room 0x1a),wall of tile 15B300 (room 0x19),42.955,no,the line between them touches another wall,wall of tile 1CEF02 (room 0x19)
wall of tile 15B700 (room 0x19),wall of tile 020200 (room 0x08),42.955,no,the far wall faces the other way (it belongs to floor which isn't linked here),
