gap,name,status,width_cm,step_cm,walk_round_cm,x,z,room,between,and,objects_forming_gap,objects_in_the_way,pinches,key
1,,no warp found,0.000000070,,,1929,2808,0x13,door 0x1cf0b8 (preset 0x0032),door 0x1cf2b8 (preset 0x0031),0x1cf0b8 0x1cf2b8,,2,0x1cf0b8.2 | 0x1cf2b8.0
2,,no warp found,0.0000044,,,2718,1566,0x0c,wall of tile 098E00 (room 0x0c),door 0x1ce110 (preset 0x0002),0x1ce110,,3,098E00.2 | 0x1ce110.1
3,,no warp found,0.0000044,,,2718,2073,0x14,wall of tile 16A401 (room 0x14),door 0x1cdf10 (preset 0x0000),0x1cdf10,,3,0x1cdf10.0 | 16A401.0
4,,no warp found,0.000012,,,2534,1566,0x0c,wall of tile 1CBF00 (room 0x0c),door 0x1ce210 (preset 0x0003),0x1ce210,,3,0x1ce210.3 | 1CBF00.1
5,,no warp found,0.000012,,,2534,2074,0x14,wall of tile 16A402 (room 0x14),door 0x1ce010 (preset 0x0001),0x1ce010,,3,0x1ce010.0 | 16A402.1
6,,no warp found,0.000017,,,103,2488,0x12,wall of tile 16B101 (room 0x12),door 0x1ce520 (preset 0x0006),0x1ce520,,7,0x1ce520.2 | 16B101.0
7,,no warp found,0.000051,,,2995,2117,0x13,wall of tile 16AC00 (room 0x13),door 0x1cecb8 (preset 0x002b),0x1cecb8,,4,0x1cecb8.0 | 16AC00.2
8,,no warp found,0.000098,,,1929,2304,0x13,door 0x1cf3b8 (preset 0x002f),door 0x1cf5b8 (preset 0x0030),0x1cf3b8 0x1cf5b8,,2,0x1cf3b8.2 | 0x1cf5b8.0
9,,no warp found,0.00011,,,922,-3870,0x2a,wall of tile 1E2202 (room 0x2a),door 0x1ce310 (preset 0x0004),0x1ce310,,1,0x1ce310.0 | 1E2202.2
10,,no warp found,0.00011,,,966,-3870,0x2a,wall of tile 1E2202 (room 0x2a),door 0x1ce310 (preset 0x0004),0x1ce310,,1,0x1ce310.1 | 1E2202.2
11,,no warp found,0.00011,,,1011,-3870,0x2a,wall of tile 1E2202 (room 0x2a),door 0x1ce310 (preset 0x0004),0x1ce310,,2,0x1ce310.2 | 1E2202.2
