object,type,reason
0x1cf748,weapon,Bond walks through it
0x1cf7e0,ammo,Bond walks through it
0x1d0004,body_armour,Bond walks through it
0x1d008c,body_armour,Bond walks through it
0x1d0114,body_armour,Bond walks through it
0x1d0340,weapon,Bond walks through it
0x1d03d8,weapon,Bond walks through it
0x1d0470,weapon,Bond walks through it
0x1d0508,weapon,Bond walks through it
0x1d05a0,weapon,Bond walks through it
0x1cea20,drone,no collision outline in the data
0x1ceaf8,drone,no collision outline in the data
0x1cebd0,drone,no collision outline in the data
0x1cfca4,drone,no collision outline in the data
0x1cfd7c,drone,no collision outline in the data
0x1cfe54,drone,no collision outline in the data
0x1cff2c,drone,no collision outline in the data
