x,z,between,and
922,-3682,wall of tile 1E2201 (room 0x2a),door 0x1ce310 (preset 0x0004)
1011,-3682,wall of tile 1E2201 (room 0x2a),door 0x1ce310 (preset 0x0004)
922,-3682,wall of tile 1E2201 (room 0x2a),door 0x1ce310 (preset 0x0004)
922,-3682,wall of tile 1E2201 (room 0x2a),door 0x1ce310 (preset 0x0004)
922,-3870,wall of tile 1E2202 (room 0x2a),door 0x1ce310 (preset 0x0004)
1011,-3870,wall of tile 1E2202 (room 0x2a),door 0x1ce310 (preset 0x0004)
1011,-3870,wall of tile 1E2202 (room 0x2a),door 0x1ce310 (preset 0x0004)
1011,-3870,wall of tile 1E2202 (room 0x2a),door 0x1ce310 (preset 0x0004)
1011,-3870,wall of tile 1CAC00 (room 0x0a),door 0x1ce310 (preset 0x0004)
1011,-3870,wall of tile 1CAC00 (room 0x0a),door 0x1ce310 (preset 0x0004)
1703,-4420,wall of tile 1CBA00 (room 0x0a),door 0x1ce410 (preset 0x0005)
1703,-4420,wall of tile 1CBA00 (room 0x0a),door 0x1ce410 (preset 0x0005)
1519,-4420,wall of tile 095200 (room 0x0a),door 0x1ce410 (preset 0x0005)
1519,-4420,wall of tile 095200 (room 0x0a),door 0x1ce410 (preset 0x0005)
1519,-4514,wall of tile 1E2D02 (room 0x2b),door 0x1ce410 (preset 0x0005)
1519,-4514,wall of tile 1E2D02 (room 0x2b),door 0x1ce410 (preset 0x0005)
1519,-4420,wall of tile 1E2D02 (room 0x2b),door 0x1ce410 (preset 0x0005)
1703,-4514,wall of tile 1E2D01 (room 0x2b),door 0x1ce410 (preset 0x0005)
1703,-4420,wall of tile 1E2D01 (room 0x2b),door 0x1ce410 (preset 0x0005)
1703,-4420,wall of tile 1E2D01 (room 0x2b),door 0x1ce410 (preset 0x0005)
2718,1566,wall of tile 098E00 (room 0x0c),door 0x1ce110 (preset 0x0002)
2718,1566,wall of tile 098E00 (room 0x0c),door 0x1ce210 (preset 0x0003)
2534,1566,wall of tile 1CBF00 (room 0x0c),door 0x1ce110 (preset 0x0002)
2534,1566,wall of tile 1CBF00 (room 0x0c),door 0x1ce210 (preset 0x0003)
2534,1566,wall of tile 1CBF00 (room 0x0c),door 0x1ce210 (preset 0x0003)
2718,2073,wall of tile 16A401 (room 0x14),door 0x1cdf10 (preset 0x0000)
2718,2116,wall of tile 16A401 (room 0x14),door 0x1cdf10 (preset 0x0000)
2718,2116,wall of tile 16A401 (room 0x14),door 0x1cdf10 (preset 0x0000)
2718,2074,wall of tile 16A401 (room 0x14),door 0x1ce010 (preset 0x0001)
2718,1613,wall of tile 16A401 (room 0x14),door 0x1ce110 (preset 0x0002)
2718,1613,wall of tile 16A401 (room 0x14),door 0x1ce110 (preset 0x0002)
2718,1613,wall of tile 16A401 (room 0x14),door 0x1ce210 (preset 0x0003)
2534,2073,wall of tile 16A402 (room 0x14),door 0x1cdf10 (preset 0x0000)
2534,2116,wall of tile 16A402 (room 0x14),door 0x1cdf10 (preset 0x0000)
2534,2074,wall of tile 16A402 (room 0x14),door 0x1ce010 (preset 0x0001)
2534,2074,wall of tile 16A402 (room 0x14),door 0x1ce010 (preset 0x0001)
2534,1613,wall of tile 16A402 (room 0x14),door 0x1ce110 (preset 0x0002)
2534,1566,wall of tile 16A402 (room 0x14),door 0x1ce210 (preset 0x0003)
2534,1613,wall of tile 16A402 (room 0x14),door 0x1ce210 (preset 0x0003)
2534,1566,wall of tile 16A402 (room 0x14),door 0x1ce210 (preset 0x0003)
2718,2117,wall of tile 16AC00 (room 0x13),door 0x1ce010 (preset 0x0001)
2995,2117,wall of tile 16AC00 (room 0x13),door 0x1cecb8 (preset 0x002b)
2995,2117,wall of tile 16AC00 (room 0x13),door 0x1cecb8 (preset 0x002b)
3038,2117,wall of tile 16AC00 (room 0x13),door 0x1cecb8 (preset 0x002b)
3038,2117,wall of tile 16AC00 (room 0x13),door 0x1cecb8 (preset 0x002b)
3222,2304,wall of tile 16AD00 (room 0x13),door 0x1cedb8 (preset 0x002c)
3222,2351,wall of tile 16AD00 (room 0x13),door 0x1cedb8 (preset 0x002c)
3222,2351,wall of tile 16AD00 (room 0x13),door 0x1cedb8 (preset 0x002c)
3222,2808,wall of tile 16AD00 (room 0x13),door 0x1ceeb8 (preset 0x002d)
3222,2855,wall of tile 16AD00 (room 0x13),door 0x1ceeb8 (preset 0x002d)
3222,2855,wall of tile 16AD00 (room 0x13),door 0x1ceeb8 (preset 0x002d)
2995,3038,wall of tile 16AF00 (room 0x13),door 0x1cefb8 (preset 0x002e)
3038,3038,wall of tile 16AF00 (room 0x13),door 0x1cefb8 (preset 0x002e)
1882,3038,wall of tile 16AF00 (room 0x13),door 0x1cf0b8 (preset 0x0032)
1929,3038,wall of tile 16AF00 (room 0x13),door 0x1cf0b8 (preset 0x0032)
2113,3038,wall of tile 16AF00 (room 0x13),door 0x1cf1b8 (preset 0x0034)
2159,3038,wall of tile 16AF00 (room 0x13),door 0x1cf1b8 (preset 0x0034)
113,2671,wall of tile 16B102 (room 0x12),door 0x1ce520 (preset 0x0006)
113,2671,wall of tile 16B102 (room 0x12),door 0x1ce620 (preset 0x0007)
137,2671,wall of tile 16B102 (room 0x12),door 0x1ce620 (preset 0x0007)
137,2671,wall of tile 16B102 (room 0x12),door 0x1ce720 (preset 0x0008)
