between,and,width,kept,reason,because_of
wall of tile 00D030 (room 0x4d),wall of tile 00D230 (room 0x4c),39.785,no,the line between them touches another wall,wall of tile 00CF30 (room 0x4d)
wall of tile 00D030 (room 0x4d),wall of tile 00D530 (room 0x4c),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00D030 (room 0x4d),wall of tile 00C530 (room 0x4d),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00D030 (room 0x4d),wall of tile 00C630 (room 0x4d),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00D030 (room 0x4d),wall of tile 00C930 (room 0x4d),39.785,no,the line between them touches another wall,wall of tile 00D130 (room 0x4d)
wall of tile 00D030 (room 0x4d),wall of tile 00D630 (room 0x4c),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00D130 (room 0x4d),wall of tile 00C530 (room 0x4d),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00D130 (room 0x4d),wall of tile 00C630 (room 0x4d),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00CF30 (room 0x4d),wall of tile 00D530 (room 0x4c),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00CF30 (room 0x4d),wall of tile 00D630 (room 0x4c),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00CD30 (room 0x4d),wall of tile 00DB30 (room 0x4c),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00CD30 (room 0x4d),wall of tile 00DA30 (room 0x4c),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00CD30 (room 0x4d),wall of tile 00E530 (room 0x4b),56.265,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00CD30 (room 0x4d),wall of tile 00E430 (room 0x4b),56.265,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00D230 (room 0x4c),wall of tile 00D630 (room 0x4c),39.785,no,the line between them touches another wall,wall of tile 00D530 (room 0x4c)
wall of tile 00D330 (room 0x4c),wall of tile 00DA30 (room 0x4c),39.785,no,the line between them touches another wall,wall of tile 00DB30 (room 0x4c)
wall of tile 00D330 (room 0x4c),wall of tile 00DD30 (room 0x4c),56.265,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 00DA30 (room 0x4c)
wall of tile 00D330 (room 0x4c),wall of tile 00CC30 (room 0x4d),39.785,no,the line between them touches another wall,wall of tile 00CD30 (room 0x4d)
wall of tile 00DB30 (room 0x4c),wall of tile 00DD30 (room 0x4c),39.785,no,the line between them touches another wall,wall of tile 00DA30 (room 0x4c)
wall of tile 00DB30 (room 0x4c),wall of tile 00E530 (room 0x4b),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00DB30 (room 0x4c),wall of tile 00E430 (room 0x4b),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00DB30 (room 0x4c),wall of tile 00CC30 (room 0x4d),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00DA30 (room 0x4c),wall of tile 00E530 (room 0x4b),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00DA30 (room 0x4c),wall of tile 00E430 (room 0x4b),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00DA30 (room 0x4c),wall of tile 00CC30 (room 0x4d),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00D830 (room 0x4c),wall of tile 00DF30 (room 0x4b),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00D830 (room 0x4c),wall of tile 00E030 (room 0x4b),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00DC30 (room 0x4c),wall of tile 00E030 (room 0x4b),39.785,no,the line between them touches another wall,wall of tile 00DF30 (room 0x4b)
wall of tile 00DC30 (room 0x4c),wall of tile 00D730 (room 0x4c),39.785,no,the line between them touches another wall,wall of tile 00D830 (room 0x4c)
wall of tile 00DD30 (room 0x4c),wall of tile 00E430 (room 0x4b),39.785,no,the line between them touches another wall,wall of tile 00E530 (room 0x4b)
wall of tile 00E530 (room 0x4b),wall of tile 00CC30 (room 0x4d),56.265,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00DF30 (room 0x4b),wall of tile 00D730 (room 0x4c),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00E030 (room 0x4b),wall of tile 00E730 (room 0x4a),39.785,no,the line between them touches another wall,wall of tile 00E130 (room 0x4b)
wall of tile 00E030 (room 0x4b),wall of tile 00F030 (room 0x4a),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00E030 (room 0x4b),wall of tile 00EF30 (room 0x4a),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00E030 (room 0x4b),wall of tile 00D730 (room 0x4c),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00E130 (room 0x4b),wall of tile 00F030 (room 0x4a),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00E130 (room 0x4b),wall of tile 00EF30 (room 0x4a),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00E330 (room 0x4b),wall of tile 00E930 (room 0x4a),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00E330 (room 0x4b),wall of tile 00EA30 (room 0x4a),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00E630 (room 0x4a),wall of tile 00EA30 (room 0x4a),39.785,no,the line between them touches another wall,wall of tile 00E930 (room 0x4a)
wall of tile 00E630 (room 0x4a),wall of tile 00E430 (room 0x4b),39.785,no,the line between them touches another wall,wall of tile 00E330 (room 0x4b)
wall of tile 00E730 (room 0x4a),wall of tile 00F030 (room 0x4a),39.785,no,the line between them touches another wall,wall of tile 00EF30 (room 0x4a)
wall of tile 00E930 (room 0x4a),wall of tile 00E430 (room 0x4b),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00EA30 (room 0x4a),wall of tile 00E430 (room 0x4b),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00EB30 (room 0x4a),wall of tile 00F430 (room 0x4a),39.785,no,the line between them touches another wall,wall of tile 00EC30 (room 0x4a)
wall of tile 00EB30 (room 0x4a),wall of tile 00FD30 (room 0x49),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00EB30 (room 0x4a),wall of tile 00FC30 (room 0x49),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00EC30 (room 0x4a),wall of tile 00FD30 (room 0x49),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00EC30 (room 0x4a),wall of tile 00FC30 (room 0x49),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00F430 (room 0x4a),wall of tile 00FC30 (room 0x49),39.785,no,the line between them touches another wall,wall of tile 00FD30 (room 0x49)
wall of tile 00F230 (room 0x4a),wall of tile 00F730 (room 0x49),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00F230 (room 0x4a),wall of tile 00F830 (room 0x49),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00F130 (room 0x4a),wall of tile 00F530 (room 0x4a),39.785,no,the line between them touches another wall,wall of tile 00F230 (room 0x4a)
wall of tile 00F130 (room 0x4a),wall of tile 00F730 (room 0x49),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00F130 (room 0x4a),wall of tile 00F830 (room 0x49),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00F530 (room 0x4a),wall of tile 00F830 (room 0x49),39.785,no,the line between them touches another wall,wall of tile 00F730 (room 0x49)
wall of tile 00F830 (room 0x49),wall of tile 00FF30 (room 0x49),39.785,no,the line between them touches another wall,wall of tile 00F930 (room 0x49)
wall of tile 00F830 (room 0x49),wall of tile 010130 (room 0x49),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00F830 (room 0x49),wall of tile 010230 (room 0x49),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00F930 (room 0x49),wall of tile 010130 (room 0x49),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00F930 (room 0x49),wall of tile 010230 (room 0x49),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00FB30 (room 0x49),wall of tile 010730 (room 0x49),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00FB30 (room 0x49),wall of tile 010630 (room 0x49),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00FE30 (room 0x49),wall of tile 010630 (room 0x49),39.785,no,the line between them touches another wall,wall of tile 010730 (room 0x49)
wall of tile 00FE30 (room 0x49),wall of tile 00FC30 (room 0x49),39.785,no,the line between them touches another wall,wall of tile 00FB30 (room 0x49)
wall of tile 00FF30 (room 0x49),wall of tile 010230 (room 0x49),39.785,no,the line between them touches another wall,wall of tile 010130 (room 0x49)
wall of tile 010730 (room 0x49),wall of tile 00FC30 (room 0x49),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 010230 (room 0x49),wall of tile 02D001 (room 0x0b),39.785,no,the line between them touches another wall,wall of tile 010330 (room 0x49)
wall of tile 010230 (room 0x49),door 0x1c770c (preset 0x0052),39.785,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 02D001 (room 0x0b)
wall of tile 010230 (room 0x49),door 0x1c770c (preset 0x0052),39.785,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 010230 (room 0x49),door 0x1c770c (preset 0x0052),41.443,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 010230 (room 0x49),door 0x1c770c (preset 0x0052),39.785,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 02D001 (room 0x0b)
wall of tile 010330 (room 0x49),door 0x1c770c (preset 0x0052),0.000,yes,,
wall of tile 010330 (room 0x49),door 0x1c770c (preset 0x0052),0.000,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 02D001 (room 0x0b)
