key,filter,reason,status,width_cm,x,z,between,and
022300.2 | 0x1c680c.2,anvil and hammer,"door 0x1c680c (preset 0x0046) is 0.0 cm from a straight wall, closer than Bond's radius, with 2.4 m of it ending at a protrusion to one side and 4.3 m of it to the other",no warp found,0.000015,-199,319,wall of tile 022300 (room 0x0c),door 0x1c680c (preset 0x0046)
01D800.0 | 0x1ca868.2,anvil and hammer,"generic 0x1ca868 (preset 0x00d7) is 2.7 cm from a straight wall, closer than Bond's radius, with 2.0 m of it ending at a protrusion to one side and 1.0 m of it ending at a protrusion to the other",no warp found,2.680,716,1106,wall of tile 01D800 (room 0x05),generic 0x1ca868 (preset 0x00d7)
01CB00.2 | 0x1ca034.1,anvil and hammer,"generic 0x1ca034 (preset 0x00cf) is 3.7 cm from a straight wall, closer than Bond's radius, with 2.3 m of it ending at a protrusion to one side and 2.8 m of it ending at a protrusion to the other",no warp found,3.678,1114,1627,wall of tile 01CB00 (room 0x03),generic 0x1ca034 (preset 0x00cf)
044008.1 | 0x1cda70.1,anvil and hammer,"generic 0x1cda70 (preset 0x2738) is 4.0 cm from a straight wall, closer than Bond's radius, with 2.4 m of it ending at a protrusion to one side and 1.4 m of it ending at a protrusion to the other",no warp found,4.018,3165,-848,wall of tile 044008 (room 0x22),generic 0x1cda70 (preset 0x2738)
044008.1 | 0x1cdaf0.1,anvil and hammer,"generic 0x1cdaf0 (preset 0x2739) is 4.0 cm from a straight wall, closer than Bond's radius, with 1.6 m of it ending at a protrusion to one side and 2.1 m of it ending at a protrusion to the other",no warp found,4.019,3237,-848,wall of tile 044008 (room 0x22),generic 0x1cdaf0 (preset 0x2739)
044008.1 | 0x1cd970.1,anvil and hammer,"monitor 0x1cd970 (preset 0x2737) is 4.0 cm from a straight wall, closer than Bond's radius, with 3.1 m of it to one side and 0.6 m of it ending at a protrusion to the other",no warp found,4.019,3093,-848,wall of tile 044008 (room 0x22),monitor 0x1cd970 (preset 0x2737)
050A09.0 | 0x1cd860.2,anvil and hammer,"generic 0x1cd860 (preset 0x2735) is 6.5 cm from a straight wall, closer than Bond's radius, with 3.9 m of it to one side and 0.9 m of it ending at a protrusion to the other",no warp found,6.504,2228,-599,wall of tile 050A09 (room 0x20),generic 0x1cd860 (preset 0x2735)
050A09.0 | 0x1cd760.2,anvil and hammer,"monitor 0x1cd760 (preset 0x2734) is 6.5 cm from a straight wall, closer than Bond's radius, with 4.6 m of it to one side and 0.2 m of it ending at a protrusion to the other",no warp found,6.506,2228,-671,wall of tile 050A09 (room 0x20),monitor 0x1cd760 (preset 0x2734)
050A09.0 | 0x1cd8e0.2,anvil and hammer,"generic 0x1cd8e0 (preset 0x2736) is 6.5 cm from a straight wall, closer than Bond's radius, with 3.1 m of it to one side and 1.6 m of it ending at a protrusion to the other",no warp found,6.506,2228,-527,wall of tile 050A09 (room 0x20),generic 0x1cd8e0 (preset 0x2736)
005308.0 | 0x1cc4d0.2,anvil and hammer,"generic 0x1cc4d0 (preset 0x2720) is 7.5 cm from a straight wall, closer than Bond's radius, with 4.0 m of it to one side and 0.1 m of it ending at a protrusion to the other",no warp found,7.543,1218,119,wall of tile 005308 (room 0x14),generic 0x1cc4d0 (preset 0x2720)
005608.1 | 0x1c8064.4,anvil and hammer,"monitor 0x1c8064 (preset 0x2733) is 9.0 cm from a straight wall, closer than Bond's radius, with 3.6 m of it to one side and 2.1 m of it ending at a protrusion to the other",no warp found,8.992,1012,514,wall of tile 005608 (room 0x14),monitor 0x1c8064 (preset 0x2733)
005308.1 | 0x1cc4d0.0,anvil and hammer,"generic 0x1cc350 (preset 0x00cb) is 22.0 cm from a straight wall, closer than Bond's radius, with 1.4 m of it ending at a protrusion to one side and 4.3 m of it to the other",no warp found,12.605,1102,112,wall of tile 005308 (room 0x14),generic 0x1cc4d0 (preset 0x2720)
009510.2 | 0x1cc5d0.2,anvil and hammer,"generic 0x1cc5d0 (preset 0x2722) is 13.4 cm from a straight wall, closer than Bond's radius, with 1.1 m of it ending at a protrusion to one side and 4.7 m of it to the other",no warp found,13.429,6316,952,wall of tile 009510 (room 0x28),generic 0x1cc5d0 (preset 0x2722)
009910.2 | 0x1cc450.0,anvil and hammer,"generic 0x1cc450 (preset 0x00ce) is 15.6 cm from a straight wall, closer than Bond's radius, with 6.7 m of it to one side and 0.7 m of it ending at a protrusion to the other",no warp found,15.603,5649,486,wall of tile 009910 (room 0x28),generic 0x1cc450 (preset 0x00ce)
009510.2 | 0x1cc3d0.1,anvil and hammer,"generic 0x1cc3d0 (preset 0x00cd) is 18.7 cm from a straight wall, closer than Bond's radius, with 3.9 m of it to one side and 1.9 m of it ending at a protrusion to the other",no warp found,18.743,6313,668,wall of tile 009510 (room 0x28),generic 0x1cc3d0 (preset 0x00cd)
050A09.1 | 0x1cd760.0,anvil and hammer,"monitor 0x1cd760 (preset 0x2734) is 19.7 cm from a straight wall, closer than Bond's radius, with 1.1 m of it ending at a protrusion to one side and 1.4 m of it ending at a protrusion to the other",no warp found,19.713,2123,-681,wall of tile 050A09 (room 0x20),monitor 0x1cd760 (preset 0x2734)
005308.1 | 0x1cc350.0,anvil and hammer,"generic 0x1cc350 (preset 0x00cb) is 22.0 cm from a straight wall, closer than Bond's radius, with 1.4 m of it ending at a protrusion to one side and 3.6 m of it to the other",no warp found,22.005,1047,117,wall of tile 005308 (room 0x14),generic 0x1cc350 (preset 0x00cb)
005308.1 | 0x1cc350.3,anvil and hammer,"generic 0x1cc350 (preset 0x00cb) is 22.0 cm from a straight wall, closer than Bond's radius, with 2.1 m of it ending at a protrusion to one side and 3.6 m of it to the other",no warp found,22.005,1014,117,wall of tile 005308 (room 0x14),generic 0x1cc350 (preset 0x00cb)
01CB00.2 | 0x1ca244.0,anvil and hammer,"generic 0x1ca244 (preset 0x00d1) is 23.5 cm from a straight wall, closer than Bond's radius, with 2.7 m of it ending at a protrusion to one side and 2.5 m of it ending at a protrusion to the other",no warp found,23.480,1104,1593,wall of tile 01CB00 (room 0x03),generic 0x1ca244 (preset 0x00d1)
