gap,name,status,width_cm,step_cm,walk_round_cm,x,z,room,between,and,objects_forming_gap,objects_in_the_way,pinches,key
1,,warp,48.140,36.58,507,8574,3294,0x2e,gas_container 0x1cba70 (preset 0x00f7),gas_container 0x1cbcb0 (preset 0x00fb),0x1cba70 0x1cbcb0,,4,0x1cba70.0 | 0x1cbcb0.2
2,,warp,48.140,36.58,none found,8784,1355,0x2d,gas_container 0x1cb950 (preset 0x00f5),gas_container 0x1cbdd0 (preset 0x00fd),0x1cb950 0x1cbdd0,,4,0x1cb950.0 | 0x1cbdd0.2
3,,warp,59.333,62.44,none found,570,-119,0x06,wall of tile 012500 (room 0x06),generic 0x1cb5b4 (preset 0x00e4),0x1cb5b4,,6,012500.1 | 0x1cb6bc.2
4,,warp,0.000031,64.14,none found,452,-357,0x07,door 0x1c780c (preset 0x0053),door 0x1c790c (preset 0x0054),0x1c780c 0x1c790c,,5,0x1c780c.0 | 0x1c790c.4
5,,warp,0.000031,71.60,none found,452,-353,0x06,door 0x1c7a0c (preset 0x0055),door 0x1c7b0c (preset 0x0056),0x1c7a0c 0x1c7b0c,,5,0x1c7a0c.2 | 0x1c7b0c.1
6,,warp,34.903,73.38,473,-296,1029,0x04,generic 0x1cb840 (preset 0x00e9),generic 0x1cc6d0 (preset 0x2724),0x1cb840 0x1cc6d0,,2,0x1cb840.2 | 0x1cc6d0.1
7,,warp,40.434,76.33,450,7027,490,0x31,wall of tile 0FCA20 (room 0x31),generic 0x1caf94 (preset 0x00de),0x1caf94,,2,0FCA20.2 | 0x1caf94.2
8,,warp,29.382,78.48,283,632,1580,0x03,wall of tile 01C900 (room 0x03),generic 0x1ca554 (preset 0x00d4),0x1ca554,,4,01C900.0 | 0x1ca554.0
9,,warp,0.00000075,93.60,none found,9019,-412,0x39,wall of tile 0F8A22 (room 0x39),door 0x1c8d84 (preset 0x0077),0x1c8d84,,3,0F8A22.1 | 0x1c8d84.0
10,,warp,0.000011,93.60,none found,6337,1461,0x30,wall of tile 052F19 (room 0x30),door 0x1c81bc (preset 0x0071),0x1c81bc,,4,052F19.0 | 0x1c81bc.0
11,,warp,0.000015,93.60,none found,6337,199,0x31,wall of tile 0FD722 (room 0x31),door 0x1c8524 (preset 0x0074),0x1c8524,,4,0FD722.1 | 0x1c8524.0
12,,warp,0.000091,93.60,none found,7983,-2019,0x3d,wall of tile 032D20 (room 0x3d),door 0x1c8e84 (preset 0x0078),0x1c8e84,,4,032D20.3 | 0x1c8e84.4
13,,warp,0.00024,94.43,none found,9537,-252,0x37,wall of tile 02E520 (room 0x37),door 0x1c8c84 (preset 0x0076),0x1c8c84,,4,02E520.1 | 0x1c8c84.4
14,,warp,0.0000033,99.79,none found,611,359,0x14,wall of tile 10590A (room 0x14),door 0x1c8f84 (preset 0x004d),0x1c8f84,,4,0x1c8f84.0 | 10590A.1
15,,warp,0.0000043,99.79,none found,346,-353,0x06,wall of tile 012602 (room 0x06),door 0x1c7a0c (preset 0x0055),0x1c7a0c,,4,012530.1 | 0x1c7a0c.1
16,,warp,0.0000043,99.79,none found,346,-355,0x07,wall of tile 039402 (room 0x07),door 0x1c790c (preset 0x0054),0x1c790c,,4,039402.1 | 0x1c790c.0
17,,warp,0.0000048,99.79,none found,622,465,0x14,wall of tile 105909 (room 0x14),door 0x1c8f84 (preset 0x004d),0x1c8f84,,4,01E900.1 | 0x1c8f84.5
18,bathroom door meme warp,warp,0.00000085,99.79,none found,-199,-212,0x09,wall of tile 037F02 (room 0x09),door 0x1c6d0c (preset 0x004b),0x1c6d0c,,4,037F02.1 | 0x1c6d0c.1
19,,warp,0.0000026,100.61,none found,258,770,0x05,wall of tile 039502 (room 0x05),door 0x1c7c0c (preset 0x0057),0x1c7c0c,,4,039502.1 | 0x1c7c0c.1
20,,warp,0.0000055,100.61,none found,264,877,0x05,wall of tile 039501 (room 0x05),door 0x1c7c0c (preset 0x0057),0x1c7c0c,,4,039501.0 | 0x1c7c0c.3
21,,warp,44.006,106.29,982,7894,-1806,0x3e,wall of tile 034F20 (room 0x3e),generic 0x1cbf50 (preset 0x009f),0x1cbf50,,3,034F20.1 | 0x1cbf50.1
22,,warp,27.908,112.42,573,711,1654,0x03,generic 0x1ca450 (preset 0x00d3),generic 0x1ca554 (preset 0x00d4),0x1ca450 0x1ca554,,2,0x1ca450.3 | 0x1ca554.1
23,,warp,0.000025,113.05,none found,7135,1275,0x30,wall of tile 092F1A (room 0x30),door 0x1c83ec (preset 0x0072),0x1c83ec,,5,092F1A.2 | 0x1c83ec.0
24,,warp,0.000080,113.05,none found,308,2165,0x4d,wall of tile 00BD30 (room 0x4d),door 0x1c730c (preset 0x005b),0x1c730c,,4,01CE30.1 | 0x1c730c.2
25,,warp,0.00012,113.05,none found,8076,-5167,0x42,wall of tile 0DE428 (room 0x42),door 0x1c7d0c (preset 0x0085),0x1c7d0c,,5,0DE428.0 | 0x1c7d0c.4
26,,warp,0.00014,113.05,none found,7863,-5166,0x42,wall of tile 0DDD28 (room 0x42),door 0x1c7e0c (preset 0x0086),0x1c7e0c,,5,0DDD28.0 | 0x1c7e0c.0
