object,type,reason
0x1d04a0,weapon,Bond walks through it
0x1c8754,monitor,no collision outline in the data
0x1c8864,monitor,no collision outline in the data
0x1c8974,monitor,no collision outline in the data
0x1c8a84,monitor,no collision outline in the data
0x1c9aa4,gas_container,no collision outline in the data
0x1c9b34,gas_container,no collision outline in the data
0x1c9bc4,gas_container,no collision outline in the data
0x1c9c54,gas_container,no collision outline in the data
0x1c9ce4,gas_container,no collision outline in the data
0x1c9d74,gas_container,no collision outline in the data
0x1c9e04,gas_container,no collision outline in the data
0x1c9e94,gas_container,no collision outline in the data
0x1c9f24,gas_container,no collision outline in the data
0x1c9fb4,gas_container,no collision outline in the data
0x1cc750,glass,no collision outline in the data
0x1cc7d0,glass,no collision outline in the data
0x1cc850,glass,no collision outline in the data
0x1cc8d0,glass,no collision outline in the data
0x1cc950,glass,no collision outline in the data
0x1cc9d0,glass,no collision outline in the data
0x1cca50,glass,no collision outline in the data
0x1ccad0,glass,no collision outline in the data
0x1ccb50,glass,no collision outline in the data
0x1ccbd0,glass,no collision outline in the data
0x1ccc50,glass,no collision outline in the data
0x1cccd0,glass,no collision outline in the data
0x1ccd50,glass,no collision outline in the data
0x1ccdd0,glass,no collision outline in the data
0x1cce50,glass,no collision outline in the data
0x1cced0,glass,no collision outline in the data
0x1ccf50,glass,no collision outline in the data
0x1ccfd0,glass,no collision outline in the data
0x1cd050,glass,no collision outline in the data
0x1cd0d0,glass,no collision outline in the data
0x1cd150,glass,no collision outline in the data
0x1cd1d0,glass,no collision outline in the data
0x1cd250,glass,no collision outline in the data
0x1cd2d0,glass,no collision outline in the data
0x1cd350,glass,no collision outline in the data
0x1cd3d0,glass,no collision outline in the data
0x1cd450,glass,no collision outline in the data
0x1cd4d0,glass,no collision outline in the data
0x1cd550,glass,no collision outline in the data
0x1cd5d0,glass,no collision outline in the data
0x1cd650,glass,no collision outline in the data
0x1cd6d0,glass,no collision outline in the data
0x1cf160,glass,no collision outline in the data
0x1cf1f4,glass,no collision outline in the data
0x1cf288,glass,no collision outline in the data
0x1cf31c,glass,no collision outline in the data
0x1cf3b0,glass,no collision outline in the data
0x1cf444,glass,no collision outline in the data
0x1cf4d8,glass,no collision outline in the data
0x1cf56c,glass,no collision outline in the data
0x1cf600,glass,no collision outline in the data
0x1cf694,glass,no collision outline in the data
0x1cf728,glass,no collision outline in the data
0x1cf7bc,glass,no collision outline in the data
0x1cf850,glass,no collision outline in the data
0x1cf8e4,glass,no collision outline in the data
0x1cf978,glass,no collision outline in the data
0x1cfa0c,glass,no collision outline in the data
0x1cfaa0,glass,no collision outline in the data
0x1cfb34,glass,no collision outline in the data
0x1cfbc8,glass,no collision outline in the data
0x1cfc5c,glass,no collision outline in the data
