x,z,between,and
558,-347,wall of tile 012601 (room 0x06),door 0x1c7b0c (preset 0x0056)
558,-359,wall of tile 012230 (room 0x47),door 0x1c7b0c (preset 0x0056)
611,-192,wall of tile 012500 (room 0x06),generic 0x1cb5b4 (preset 0x00e4)
611,-177,wall of tile 012500 (room 0x06),generic 0x1cb5b4 (preset 0x00e4)
611,-203,wall of tile 012500 (room 0x06),generic 0x1cb6bc (preset 0x00e5)
611,-187,wall of tile 012500 (room 0x06),generic 0x1cb6bc (preset 0x00e5)
-53,40,wall of tile 033A01 (room 0x08),door 0x1c6e0c (preset 0x004c)
-53,28,wall of tile 00C302 (room 0x09),door 0x1c6e0c (preset 0x004c)
690,1006,wall of tile 01DE00 (room 0x05),generic 0x1ca868 (preset 0x00d7)
714,1010,wall of tile 01D900 (room 0x05),generic 0x1ca868 (preset 0x00d7)
518,1888,wall of tile 074602 (room 0x03),door 0x1c720c (preset 0x005a)
518,1900,wall of tile 074602 (room 0x03),door 0x1c720c (preset 0x005a)
890,1329,wall of tile 076202 (room 0x03),door 0x1c9084 (preset 0x005c)
890,1317,wall of tile 11080A (room 0x12),door 0x1c9084 (preset 0x005c)
1249,824,wall of tile 10EE0A (room 0x15),door 0x1c7f64 (preset 0x005d)
1261,824,wall of tile 10EE0A (room 0x15),door 0x1c7f64 (preset 0x005d)
1275,123,wall of tile 009B08 (room 0x16),generic 0x1cea60 (preset 0x2725)
1275,122,wall of tile 009B08 (room 0x16),generic 0x1ceae0 (preset 0x2726)
1275,193,wall of tile 009B08 (room 0x16),generic 0x1ceae0 (preset 0x2726)
1275,193,wall of tile 009B08 (room 0x16),generic 0x1ceb60 (preset 0x2727)
1275,263,wall of tile 009B08 (room 0x16),generic 0x1ceb60 (preset 0x2727)
1275,263,wall of tile 009B08 (room 0x16),generic 0x1cebe0 (preset 0x2728)
1275,333,wall of tile 009B08 (room 0x16),generic 0x1cebe0 (preset 0x2728)
1275,472,wall of tile 009B08 (room 0x16),generic 0x1cec60 (preset 0x2729)
1275,543,wall of tile 009B08 (room 0x16),generic 0x1cec60 (preset 0x2729)
1275,403,wall of tile 009B08 (room 0x16),generic 0x1cece0 (preset 0x272a)
1275,472,wall of tile 009B08 (room 0x16),generic 0x1cece0 (preset 0x272a)
1275,333,wall of tile 009B08 (room 0x16),generic 0x1ced60 (preset 0x272b)
1275,403,wall of tile 009B08 (room 0x16),generic 0x1ced60 (preset 0x272b)
1356,53,wall of tile 009808 (room 0x16),generic 0x1cea60 (preset 0x2725)
1885,53,wall of tile 009808 (room 0x16),generic 0x1cf0e0 (preset 0x2732)
1966,53,wall of tile 009808 (room 0x16),generic 0x1cf0e0 (preset 0x2732)
1966,472,wall of tile 009608 (room 0x16),generic 0x1cede0 (preset 0x272c)
1966,543,wall of tile 009608 (room 0x16),generic 0x1cede0 (preset 0x272c)
1966,403,wall of tile 009608 (room 0x16),generic 0x1cee60 (preset 0x272d)
1966,472,wall of tile 009608 (room 0x16),generic 0x1cee60 (preset 0x272d)
1966,333,wall of tile 009608 (room 0x16),generic 0x1ceee0 (preset 0x272e)
1966,403,wall of tile 009608 (room 0x16),generic 0x1ceee0 (preset 0x272e)
1966,263,wall of tile 009608 (room 0x16),generic 0x1cef60 (preset 0x272f)
1966,333,wall of tile 009608 (room 0x16),generic 0x1cef60 (preset 0x272f)
1966,193,wall of tile 009608 (room 0x16),generic 0x1cefe0 (preset 0x2730)
1966,263,wall of tile 009608 (room 0x16),generic 0x1cefe0 (preset 0x2730)
1966,123,wall of tile 009608 (room 0x16),generic 0x1cf060 (preset 0x2731)
1966,193,wall of tile 009608 (room 0x16),generic 0x1cf060 (preset 0x2731)
1966,53,wall of tile 009608 (room 0x16),generic 0x1cf0e0 (preset 0x2732)
1966,123,wall of tile 009608 (room 0x16),generic 0x1cf0e0 (preset 0x2732)
2802,1208,wall of tile 105A09 (room 0x19),door 0x1c9284 (preset 0x005f)
2802,1208,wall of tile 084C09 (room 0x1d),door 0x1c9284 (preset 0x005f)
3662,2391,wall of tile 016B08 (room 0x1f),generic 0x1cde90 (preset 0x273e)
3733,2391,wall of tile 016B08 (room 0x1f),generic 0x1cde90 (preset 0x273e)
2215,2391,wall of tile 017308 (room 0x1c),generic 0x1cdf10 (preset 0x273f)
2286,2391,wall of tile 017308 (room 0x1c),generic 0x1cdf10 (preset 0x273f)
3972,1360,wall of tile 016708 (room 0x1f),monitor 0x1cdb80 (preset 0x273a)
3972,1432,wall of tile 016708 (room 0x1f),monitor 0x1cdb80 (preset 0x273a)
3972,1569,wall of tile 016708 (room 0x1f),generic 0x1cdc80 (preset 0x273b)
3972,1641,wall of tile 016708 (room 0x1f),generic 0x1cdc80 (preset 0x273b)
3972,1816,wall of tile 016708 (room 0x1f),generic 0x1cdd00 (preset 0x273c)
3972,1888,wall of tile 016708 (room 0x1f),generic 0x1cdd00 (preset 0x273c)
3972,2021,wall of tile 016708 (room 0x1f),monitor 0x1cdd90 (preset 0x273d)
3972,2092,wall of tile 016708 (room 0x1f),monitor 0x1cdd90 (preset 0x273d)
6337,306,wall of tile 0FD721 (room 0x31),door 0x1c8524 (preset 0x0074)
6348,306,wall of tile 0FD721 (room 0x31),door 0x1c8524 (preset 0x0074)
8873,80,wall of tile 02B920 (room 0x36),door 0x1c8b84 (preset 0x0075)
8873,91,wall of tile 0F8B22 (room 0x35),door 0x1c8b84 (preset 0x0075)
9431,-252,wall of tile 02E520 (room 0x37),door 0x1c8c84 (preset 0x0076)
7983,-2125,wall of tile 032E20 (room 0x3d),door 0x1c8e84 (preset 0x0078)
7971,-2125,wall of tile 05AC21 (room 0x3e),door 0x1c8e84 (preset 0x0078)
8236,-2167,wall of tile 0FE421 (room 0x3d),door 0x1c9794 (preset 0x0079)
8236,-2178,wall of tile 0F7829 (room 0x44),door 0x1c9794 (preset 0x0079)
7930,-5180,wall of tile 104029 (room 0x41),door 0x1c9894 (preset 0x0083)
7930,-5168,wall of tile 104029 (room 0x41),door 0x1c9894 (preset 0x0083)
6580,-2603,wall of tile 104B29 (room 0x44),door 0x1c9994 (preset 0x0084)
6592,-2603,wall of tile 104B29 (room 0x44),door 0x1c9994 (preset 0x0084)
9431,-264,wall of tile 0F8822 (room 0x38),door 0x1c8c84 (preset 0x0076)
5762,1063,wall of tile 009210 (room 0x28),monitor 0x1c82bc (preset 0x2741)
5834,1063,wall of tile 009210 (room 0x28),monitor 0x1c82bc (preset 0x2741)
6043,1063,wall of tile 009210 (room 0x28),generic 0x1cc5d0 (preset 0x2722)
6308,1063,wall of tile 009410 (room 0x28),generic 0x1cc5d0 (preset 0x2722)
6305,478,wall of tile 009610 (room 0x28),generic 0x1cc550 (preset 0x2721)
5766,478,wall of tile 009810 (room 0x28),monitor 0x1c8624 (preset 0x2740)
5837,478,wall of tile 009810 (room 0x28),monitor 0x1c8624 (preset 0x2740)
6040,478,wall of tile 009810 (room 0x28),generic 0x1cc550 (preset 0x2721)
6337,1567,wall of tile 052F1A (room 0x30),door 0x1c81bc (preset 0x0071)
6348,1567,wall of tile 052F1A (room 0x30),door 0x1c81bc (preset 0x0071)
7135,1382,wall of tile 092F19 (room 0x30),door 0x1c83ec (preset 0x0072)
7146,1382,wall of tile 095219 (room 0x2c),door 0x1c83ec (preset 0x0072)
412,1888,wall of tile 074601 (room 0x03),door 0x1c720c (preset 0x005a)
412,1900,wall of tile 074601 (room 0x03),door 0x1c720c (preset 0x005a)
308,2271,wall of tile 00BC30 (room 0x4d),door 0x1c730c (preset 0x005b)
319,2271,wall of tile 01CB32 (room 0x48),door 0x1c730c (preset 0x005b)
0,2114,wall of tile 074701 (room 0x02),door 0x1c710c (preset 0x0059)
0,2114,wall of tile 074701 (room 0x02),door 0x1c710c (preset 0x0059)
-0,2125,wall of tile 00C230 (room 0x4d),door 0x1c710c (preset 0x0059)
558,-355,wall of tile 039401 (room 0x07),door 0x1c780c (preset 0x0053)
