between,and,width,kept,reason,because_of
wall of tile 008742 (room 0x3a),wall of tile 008C40 (room 0x39),0.337,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 008A42 (room 0x3a),wall of tile 01BA3A (room 0x31),55.901,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 008842 (room 0x3a),wall of tile 0CE938 (room 0x32),24.678,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 008842 (room 0x3a),wall of tile 01BA3A (room 0x31),3.920,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 008842 (room 0x3a),wall of tile 0CE938 (room 0x32),2.234,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 008842 (room 0x3a),wall of tile 01BA3A (room 0x31),2.234,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE938 (room 0x32),wall of tile 00123A (room 0x33),40.217,no,the line between them touches another wall,wall of tile 013A3A (room 0x33)
wall of tile 0CE638 (room 0x32),wall of tile 01FC00 (room 0x01),15.102,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE638 (room 0x32),wall of tile 01DD00 (room 0x01),12.973,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE638 (room 0x32),wall of tile 01E100 (room 0x01),13.318,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE638 (room 0x32),wall of tile 01FD00 (room 0x01),12.973,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE638 (room 0x32),wall of tile 001239 (room 0x33),40.217,no,the line between them touches another wall,wall of tile 013A39 (room 0x33)
wall of tile 0CE638 (room 0x32),wall of tile 00123A (room 0x33),40.217,no,the line between them touches another wall,wall of tile 013A39 (room 0x33)
wall of tile 0CE638 (room 0x32),monitor 0x1e73ec (preset 0x2710),13.155,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE638 (room 0x32),monitor 0x1e73ec (preset 0x2710),13.112,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE638 (room 0x32),monitor 0x1e73ec (preset 0x2710),13.098,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE638 (room 0x32),monitor 0x1e73ec (preset 0x2710),13.098,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE638 (room 0x32),monitor 0x1e7640 (preset 0x2711),13.015,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE638 (room 0x32),monitor 0x1e7640 (preset 0x2711),12.973,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE638 (room 0x32),monitor 0x1e7640 (preset 0x2711),12.958,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE638 (room 0x32),monitor 0x1e7640 (preset 0x2711),12.958,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE638 (room 0x32),monitor 0x1e7ebc (preset 0x2716),12.875,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE638 (room 0x32),monitor 0x1e7ebc (preset 0x2716),12.833,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE638 (room 0x32),monitor 0x1e7ebc (preset 0x2716),12.819,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE638 (room 0x32),monitor 0x1e7ebc (preset 0x2716),12.819,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE638 (room 0x32),monitor 0x1e8110 (preset 0x2717),12.736,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE638 (room 0x32),monitor 0x1e8110 (preset 0x2717),12.693,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE638 (room 0x32),monitor 0x1e8110 (preset 0x2717),12.679,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0CE638 (room 0x32),monitor 0x1e8110 (preset 0x2717),12.679,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 013A3A (room 0x33),wall of tile 00123A (room 0x33),53.622,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 013A39 (room 0x33),wall of tile 003139 (room 0x34),15.640,no,the line between them touches another wall,wall of tile 000A39 (room 0x34)
wall of tile 013A39 (room 0x33),wall of tile 00313A (room 0x34),15.640,no,the line between them touches another wall,wall of tile 000A39 (room 0x34)
wall of tile 013A39 (room 0x33),wall of tile 016601 (room 0x01),29.045,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 013A39 (room 0x33),wall of tile 00B900 (room 0x01),15.640,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 013A39 (room 0x33),wall of tile 01FC00 (room 0x01),15.640,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 013A39 (room 0x33),wall of tile 01FC00 (room 0x01),15.640,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 013A39 (room 0x33),wall of tile 01FD00 (room 0x01),15.640,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 013A39 (room 0x33),door 0x1eb7c0 (preset 0x0051),22.343,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 013A39 (room 0x33),door 0x1eb7c0 (preset 0x0051),22.343,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 013A39 (room 0x33),door 0x1eb7c0 (preset 0x0051),22.343,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 013A39 (room 0x33),door 0x1eb7c0 (preset 0x0051),22.343,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 013A39 (room 0x33),door 0x1ec5c0 (preset 0x0057),0.000,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 013A39 (room 0x33),door 0x1ec5c0 (preset 0x0057),11.730,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 013A39 (room 0x33),door 0x1ec5c0 (preset 0x0057),11.730,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A39 (room 0x34),wall of tile 00B900 (room 0x01),13.406,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A39 (room 0x34),wall of tile 00B900 (room 0x01),13.406,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A39 (room 0x34),wall of tile 01FC00 (room 0x01),13.406,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A39 (room 0x34),wall of tile 01DE00 (room 0x01),24.167,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A39 (room 0x34),wall of tile 000208 (room 0x04),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A39 (room 0x34),wall of tile 041908 (room 0x04),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A39 (room 0x34),generic 0x1e7be8 (preset 0x2714),13.406,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A39 (room 0x34),generic 0x1e7be8 (preset 0x2714),13.405,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A39 (room 0x34),generic 0x1e7be8 (preset 0x2714),13.405,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A39 (room 0x34),generic 0x1e7be8 (preset 0x2714),13.406,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A39 (room 0x34),door 0x1eb7c0 (preset 0x0051),0.000,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 000A39 (room 0x34),door 0x1eb7c0 (preset 0x0051),0.000,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 000A39 (room 0x34),door 0x1eb7c0 (preset 0x0051),10.054,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A39 (room 0x34),door 0x1eb7c0 (preset 0x0051),10.054,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A39 (room 0x34),wall of tile 00B900 (room 0x01),13.406,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A39 (room 0x34),wall of tile 01DE00 (room 0x01),24.167,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A39 (room 0x34),wall of tile 041D08 (room 0x04),27.181,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A39 (room 0x34),wall of tile 000208 (room 0x04),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A39 (room 0x34),wall of tile 041908 (room 0x04),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A39 (room 0x34),generic 0x1e7be8 (preset 0x2714),50.949,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A39 (room 0x34),generic 0x1e7be8 (preset 0x2714),50.949,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 000A3A (room 0x34),wall of tile 00A13A (room 0x34),33.514,no,the line between them touches another wall,wall of tile 0B143A (room 0x34)
wall of tile 000A3A (room 0x34),wall of tile 00A139 (room 0x34),33.514,no,the line between them touches another wall,wall of tile 0B183A (room 0x34)
wall of tile 000A3A (room 0x34),wall of tile 009B3A (room 0x34),6.703,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 000A3A (room 0x34),wall of tile 009B39 (room 0x34),6.703,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 000A3A (room 0x34),wall of tile 00993A (room 0x34),46.920,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 000A3A (room 0x34),wall of tile 009939 (room 0x34),46.920,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 000A3A (room 0x34),wall of tile 004139 (room 0x34),26.811,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 0B143A (room 0x34),wall of tile 009B3A (room 0x34),6.703,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 0B143A (room 0x34),wall of tile 00993A (room 0x34),46.920,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 0B143A (room 0x34),wall of tile 004139 (room 0x34),26.811,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 0B183A (room 0x34),wall of tile 009B39 (room 0x34),6.703,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 0B183A (room 0x34),wall of tile 009939 (room 0x34),46.920,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 0AE739 (room 0x34),wall of tile 000008 (room 0x03),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0AE739 (room 0x34),wall of tile 043B08 (room 0x03),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0AE739 (room 0x34),wall of tile 041E08 (room 0x04),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0AE739 (room 0x34),wall of tile 041D08 (room 0x04),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0B013A (room 0x34),wall of tile 00933A (room 0x34),42.451,no,the line between them touches another wall,wall of tile 00953A (room 0x34)
wall of tile 0B013A (room 0x34),wall of tile 004139 (room 0x34),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0B1439 (room 0x34),wall of tile 000008 (room 0x03),33.514,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0B1439 (room 0x34),wall of tile 043B08 (room 0x03),33.514,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0B1439 (room 0x34),wall of tile 041E08 (room 0x04),27.636,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0B1439 (room 0x34),wall of tile 041D08 (room 0x04),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0B1439 (room 0x34),wall of tile 000208 (room 0x04),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0B0139 (room 0x34),wall of tile 009339 (room 0x34),42.451,no,the line between them touches another wall,wall of tile 009539 (room 0x34)
wall of tile 00953A (room 0x34),wall of tile 00913A (room 0x34),40.217,no,the line between them touches another wall,wall of tile 00933A (room 0x34)
wall of tile 00953A (room 0x34),wall of tile 004139 (room 0x34),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 009539 (room 0x34),wall of tile 009139 (room 0x34),40.217,no,the line between them touches another wall,wall of tile 009339 (room 0x34)
wall of tile 00933A (room 0x34),wall of tile 008F3A (room 0x34),40.217,no,the line between them touches another wall,wall of tile 00913A (room 0x34)
wall of tile 00933A (room 0x34),wall of tile 004139 (room 0x34),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 009339 (room 0x34),wall of tile 008F39 (room 0x34),40.217,no,the line between them touches another wall,wall of tile 009139 (room 0x34)
wall of tile 00913A (room 0x34),wall of tile 008D3A (room 0x34),42.451,no,the line between them touches another wall,wall of tile 008F3A (room 0x34)
wall of tile 00913A (room 0x34),wall of tile 004139 (room 0x34),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 009139 (room 0x34),wall of tile 008D39 (room 0x34),42.451,no,the line between them touches another wall,wall of tile 008F39 (room 0x34)
wall of tile 008F3A (room 0x34),wall of tile 00A13A (room 0x34),40.217,no,the line between them touches another wall,wall of tile 008D3A (room 0x34)
wall of tile 008F3A (room 0x34),wall of tile 004139 (room 0x34),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 008F39 (room 0x34),wall of tile 00A139 (room 0x34),40.217,no,the line between them touches another wall,wall of tile 008D39 (room 0x34)
wall of tile 008D3A (room 0x34),wall of tile 009D3A (room 0x34),42.451,no,the line between them touches another wall,wall of tile 00A13A (room 0x34)
wall of tile 008D3A (room 0x34),wall of tile 004139 (room 0x34),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 008D39 (room 0x34),wall of tile 009D39 (room 0x34),42.451,no,the line between them touches another wall,wall of tile 00A139 (room 0x34)
wall of tile 00A13A (room 0x34),wall of tile 009B3A (room 0x34),40.217,no,the line between them touches another wall,wall of tile 009D3A (room 0x34)
wall of tile 00A13A (room 0x34),wall of tile 004139 (room 0x34),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 00A139 (room 0x34),wall of tile 009B39 (room 0x34),40.217,no,the line between them touches another wall,wall of tile 009D39 (room 0x34)
wall of tile 009D3A (room 0x34),wall of tile 00993A (room 0x34),40.217,no,the line between them touches another wall,wall of tile 009B3A (room 0x34)
wall of tile 009D3A (room 0x34),wall of tile 004139 (room 0x34),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 009D39 (room 0x34),wall of tile 009939 (room 0x34),40.217,no,the line between them touches another wall,wall of tile 009B39 (room 0x34)
wall of tile 009B3A (room 0x34),wall of tile 0BD03A (room 0x34),42.451,no,the line between them touches another wall,wall of tile 00993A (room 0x34)
wall of tile 009B3A (room 0x34),wall of tile 004139 (room 0x34),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 009B39 (room 0x34),wall of tile 0BD039 (room 0x34),42.451,no,the line between them touches another wall,wall of tile 009939 (room 0x34)
wall of tile 00993A (room 0x34),wall of tile 0AF73A (room 0x34),22.343,no,the line between them touches another wall,wall of tile 0BD03A (room 0x34)
wall of tile 00993A (room 0x34),wall of tile 003039 (room 0x34),26.811,no,the line between them touches another wall,wall of tile 0BD03A (room 0x34)
wall of tile 00993A (room 0x34),wall of tile 004139 (room 0x34),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 009939 (room 0x34),wall of tile 0AF739 (room 0x34),22.343,no,the line between them touches another wall,wall of tile 0BD039 (room 0x34)
wall of tile 009939 (room 0x34),wall of tile 00303A (room 0x34),26.811,no,the line between them touches another wall,wall of tile 0BD039 (room 0x34)
wall of tile 0BD03A (room 0x34),wall of tile 003039 (room 0x34),4.469,no,the line between them touches another wall,wall of tile 0AF73A (room 0x34)
wall of tile 0BD03A (room 0x34),wall of tile 003139 (room 0x34),44.685,no,the line between them touches another wall,wall of tile 0AF73A (room 0x34)
wall of tile 0BD03A (room 0x34),wall of tile 004139 (room 0x34),26.811,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0BD039 (room 0x34),wall of tile 00303A (room 0x34),4.469,no,the line between them touches another wall,wall of tile 0AF739 (room 0x34)
