object,type,reason
0x1ec7c0,body_armour,Bond walks through it
0x1ec848,body_armour,Bond walks through it
0x1ea754,generic,no collision outline in the data
0x1ea7e4,generic,no collision outline in the data
0x1eacc0,door,"removed by filters/levels/frigate.py, ""floating doors"": Doors attached to the room below the one they are drawn in, so they hang in the air well above Bond's head. The theory is that they were taken out late in development."
0x1eadc0,door,"removed by filters/levels/frigate.py, ""floating doors"": Doors attached to the room below the one they are drawn in, so they hang in the air well above Bond's head. The theory is that they were taken out late in development."
0x1eb0c0,door,"removed by filters/levels/frigate.py, ""floating doors"": Doors attached to the room below the one they are drawn in, so they hang in the air well above Bond's head. The theory is that they were taken out late in development."
0x1ebbc0,door,"removed by filters/levels/frigate.py, ""floating doors"": Doors attached to the room below the one they are drawn in, so they hang in the air well above Bond's head. The theory is that they were taken out late in development."
0x1ebcc0,door,"removed by filters/levels/frigate.py, ""floating doors"": Doors attached to the room below the one they are drawn in, so they hang in the air well above Bond's head. The theory is that they were taken out late in development."
0x1ebdc0,door,"removed by filters/levels/frigate.py, ""floating doors"": Doors attached to the room below the one they are drawn in, so they hang in the air well above Bond's head. The theory is that they were taken out late in development."
