x,z,between,and
-478,-1151,wall of tile 0B143A (room 0x34),wall of tile 00953A (room 0x34)
-581,-574,wall of tile 00313A (room 0x34),door 0x1eb7c0 (preset 0x0051)
-487,-574,wall of tile 00313A (room 0x34),door 0x1eb7c0 (preset 0x0051)
-494,-564,wall of tile 016602 (room 0x01),door 0x1eb7c0 (preset 0x0051)
-574,-564,wall of tile 016601 (room 0x01),door 0x1eb7c0 (preset 0x0051)
-364,-561,wall of tile 00B900 (room 0x01),generic 0x1e7be8 (preset 0x2714)
-462,-561,wall of tile 00B900 (room 0x01),generic 0x1e7be8 (preset 0x2714)
-295,-33,wall of tile 01DD00 (room 0x01),monitor 0x1e7640 (preset 0x2711)
-199,-23,wall of tile 01DD00 (room 0x01),monitor 0x1e7ebc (preset 0x2716)
-199,-23,wall of tile 01DD00 (room 0x01),monitor 0x1e8110 (preset 0x2717)
-103,-12,wall of tile 01DD00 (room 0x01),monitor 0x1e8110 (preset 0x2717)
172,-564,wall of tile 012601 (room 0x01),door 0x1eb6c0 (preset 0x0050)
239,-564,wall of tile 012602 (room 0x01),door 0x1eb6c0 (preset 0x0050)
246,-574,wall of tile 04690A (room 0x05),door 0x1eb6c0 (preset 0x0050)
165,-574,wall of tile 046909 (room 0x05),door 0x1eb6c0 (preset 0x0050)
25,-574,wall of tile 041008 (room 0x05),generic 0x1e978c (preset 0x2732)
-76,-769,wall of tile 041308 (room 0x05),generic 0x1e978c (preset 0x2732)
-76,-769,wall of tile 041308 (room 0x05),generic 0x1e988c (preset 0x2734)
-76,-637,wall of tile 041308 (room 0x05),generic 0x1ea444 (preset 0x2735)
-76,-576,wall of tile 041308 (room 0x05),generic 0x1ea444 (preset 0x2735)
-76,-769,wall of tile 041308 (room 0x05),generic 0x1ea4c4 (preset 0x2736)
-76,-706,wall of tile 041308 (room 0x05),generic 0x1ea4c4 (preset 0x2736)
-76,-865,wall of tile 041308 (room 0x05),generic 0x1ea544 (preset 0x2737)
-76,-802,wall of tile 041308 (room 0x05),generic 0x1ea544 (preset 0x2737)
-76,-979,wall of tile 041108 (room 0x05),generic 0x1e980c (preset 0x2733)
-76,-979,wall of tile 041108 (room 0x05),generic 0x1e988c (preset 0x2734)
-76,-961,wall of tile 041108 (room 0x05),generic 0x1ea5c4 (preset 0x2738)
-76,-900,wall of tile 041108 (room 0x05),generic 0x1ea5c4 (preset 0x2738)
-76,-1108,wall of tile 041108 (room 0x05),generic 0x1ea644 (preset 0x2739)
-76,-1048,wall of tile 041108 (room 0x05),generic 0x1ea644 (preset 0x2739)
-76,-1108,wall of tile 041108 (room 0x05),generic 0x1ea6c4 (preset 0x273a)
25,-1171,wall of tile 000508 (room 0x05),generic 0x1e980c (preset 0x2733)
-11,-1171,wall of tile 000508 (room 0x05),generic 0x1ea6c4 (preset 0x273a)
