between,and,width,kept,reason,because_of
wall of tile 09B72A (room 0x2c),door 0x1b5718 (preset 0x0000),29.892,no,the line between them touches another wall,door 0x1b5718 (preset 0x0000)
wall of tile 09B72A (room 0x2c),door 0x1b5718 (preset 0x0000),21.125,yes,,
wall of tile 09B72A (room 0x2c),door 0x1b5718 (preset 0x0000),21.125,yes,,
wall of tile 09B72A (room 0x2c),door 0x1b5718 (preset 0x0000),29.892,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1b5718 (preset 0x0000)
wall of tile 09BD2A (room 0x2c),door 0x1b5818 (preset 0x0001),29.878,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1b5818 (preset 0x0001)
wall of tile 09BD2A (room 0x2c),door 0x1b5818 (preset 0x0001),21.127,yes,,
wall of tile 09BD2A (room 0x2c),door 0x1b5818 (preset 0x0001),21.127,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1b5818 (preset 0x0001)
wall of tile 09BD2A (room 0x2c),door 0x1b5818 (preset 0x0001),21.128,no,the line between them touches another wall,door 0x1b5818 (preset 0x0001)
wall of tile 09B529 (room 0x2b),wall of tile 01B42A (room 0x2b),38.088,no,the line between them touches another wall,wall of tile 092B28 (room 0x2b)
wall of tile 09B529 (room 0x2b),door 0x1b5818 (preset 0x0001),29.878,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1b5818 (preset 0x0001)
wall of tile 09B529 (room 0x2b),door 0x1b5818 (preset 0x0001),21.127,yes,,
wall of tile 09B529 (room 0x2b),door 0x1b5818 (preset 0x0001),21.127,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1b5818 (preset 0x0001)
wall of tile 09B529 (room 0x2b),door 0x1b5818 (preset 0x0001),21.128,no,the line between them touches another wall,door 0x1b5818 (preset 0x0001)
wall of tile 09B52A (room 0x2b),wall of tile 01B228 (room 0x2b),38.068,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 01B429 (room 0x2b)
wall of tile 09B52A (room 0x2b),door 0x1b5718 (preset 0x0000),29.892,no,the line between them touches another wall,door 0x1b5718 (preset 0x0000)
wall of tile 09B52A (room 0x2b),door 0x1b5718 (preset 0x0000),21.125,yes,,
wall of tile 09B52A (room 0x2b),door 0x1b5718 (preset 0x0000),21.125,yes,,
wall of tile 09B52A (room 0x2b),door 0x1b5718 (preset 0x0000),29.892,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1b5718 (preset 0x0000)
wall of tile 01B42A (room 0x2b),wall of tile 01B32A (room 0x2b),38.089,no,the line between them touches another wall,wall of tile 01B329 (room 0x2b)
wall of tile 01B228 (room 0x2b),wall of tile 01D928 (room 0x2b),38.089,no,the line between them touches another wall,wall of tile 01B128 (room 0x2b)
wall of tile 01DB28 (room 0x2b),wall of tile 01DD29 (room 0x2b),44.818,no,the line between them touches another wall,wall of tile 01DC2A (room 0x2b)
wall of tile 01D928 (room 0x2b),wall of tile 01DD2A (room 0x2b),44.818,no,the line between them touches another wall,wall of tile 01DC29 (room 0x2b)
wall of tile 01DD2A (room 0x2b),wall of tile 01D228 (room 0x2b),38.089,no,the line between them touches another wall,wall of tile 01DE2A (room 0x2b)
wall of tile 01DD29 (room 0x2b),wall of tile 01D428 (room 0x2b),38.089,no,the line between them touches another wall,wall of tile 01DE29 (room 0x2b)
wall of tile 01D428 (room 0x2b),wall of tile 01D629 (room 0x2b),44.818,no,the line between them touches another wall,wall of tile 01D52A (room 0x2b)
