gap,name,status,width_cm,step_cm,walk_round_cm,x,z,room,between,and,objects_forming_gap,objects_in_the_way,pinches,key
1,,warp,45.458,55.37,1228,18840,-9567,0x20,wall of tile 248610 (room 0x20),generic 0x1aef10 (preset 0x0078),0x1aef10,,4,0x1aef10.2 | 248610.0
2,,warp,57.219,56.36,none found,22176,-4712,0x28,wall of tile 001B18 (room 0x28),generic 0x1b5688 (preset 0x021c),0x1b5688,,2,001B18.2 | 0x1b5688.1
3,,warp,55.652,57.03,none found,22112,-4798,0x28,generic 0x1b5608 (preset 0x021b),generic 0x1b5688 (preset 0x021c),0x1b5608 0x1b5688,,2,0x1b5608.3 | 0x1b5688.0
4,,warp,43.140,58.51,429,22169,-5013,0x28,generic 0x1b5508 (preset 0x0219),generic 0x1b5588 (preset 0x021a),0x1b5508 0x1b5588,,4,0x1b5508.2 | 0x1b5588.1
5,,warp,56.029,63.45,621,19374,-4970,0x26,generic 0x1b4ae8 (preset 0x0224),generic 0x1b4b68 (preset 0x0225),0x1b4ae8 0x1b4b68,,3,0x1b4ae8.0 | 0x1b4b68.1
6,,warp,42.546,63.58,478,22292,-4052,0x28,generic 0x1b44e8 (preset 0x0214),generic 0x1b4568 (preset 0x0215),0x1b44e8 0x1b4568,,2,0x1b44e8.3 | 0x1b4568.0
7,elevator door warp (left),warp,21.125,65.69,none found,18539,-2715,0x2c,wall of tile 09B72A (room 0x2c),door 0x1b5718 (preset 0x0000),0x1b5718,,4,09B72A.2 | 0x1b5718.3
8,elevator door warp (right),warp,21.127,66.16,none found,18539,-2990,0x2c,wall of tile 09BD2A (room 0x2c),door 0x1b5818 (preset 0x0001),0x1b5818,,2,09BD2A.2 | 0x1b5818.1
9,,warp,36.214,69.55,753,371,833,0x01,generic 0x1a8890 (preset 0x0098),generic 0x1a9510 (preset 0x002f),0x1a8890 0x1a9510,,3,0x1a8890.2 | 0x1a9510.1
10,,warp,29.333,87.39,453,21551,-4102,0x28,wall of tile 002A18 (room 0x28),generic 0x1b4368 (preset 0x0211),0x1b4368,,2,002A18.2 | 0x1b4368.0
11,,warp,33.482,92.41,579,19200,-4484,0x26,generic 0x1b48e8 (preset 0x0220),generic 0x1b4968 (preset 0x0221),0x1b48e8 0x1b4968,,3,0x1b48e8.2 | 0x1b4968.1
12,,warp,27.390,98.87,691,-1165,1193,0x02,generic 0x1a8790 (preset 0x009a),generic 0x1aa610 (preset 0x0029),0x1a8790 0x1aa610,,3,0x1a8790.0 | 0x1aa610.3
13,,warp,38.180,111.31,449,21279,-3984,0x28,generic 0x1b42e8 (preset 0x0210),generic 0x1b46e8 (preset 0x0218),0x1b42e8 0x1b46e8,,6,0x1b42e8.2 | 0x1b4468.0
14,,warp,35.314,115.93,636,22146,-4908,0x28,generic 0x1b5588 (preset 0x021a),generic 0x1b5608 (preset 0x021b),0x1b5588 0x1b5608,,4,0x1b5588.2 | 0x1b5608.1
15,,warp,25.787,121.54,697,19022,-9716,0x20,generic 0x1aef10 (preset 0x0078),generic 0x1af110 (preset 0x007c),0x1aef10 0x1af110,,3,0x1aef10.0 | 0x1af110.3
16,,warp,45.595,124.96,558,21212,-3526,0x29,wall of tile 04E420 (room 0x29),generic 0x1b4c68 (preset 0x0227),0x1b4c68,,2,04E420.2 | 0x1b4c68.3
17,,warp,47.330,127.46,678,5215,-11293,0x16,generic 0x1abd10 (preset 0x009d),generic 0x1acb10 (preset 0x0036),0x1abd10 0x1acb10,,1,0x1abd10.3 | 0x1acb10.1
18,,warp,7.749,138.04,536,21438,-3310,0x29,generic 0x1b4be8 (preset 0x0226),generic 0x1b4ce8 (preset 0x0228),0x1b4be8 0x1b4ce8,,2,0x1b4be8.1 | 0x1b4ce8.0
19,,warp,4.330,138.68,none found,19291,-4903,0x26,generic 0x1b4768 (preset 0x021d),generic 0x1b4b68 (preset 0x0225),0x1b4768 0x1b4b68,,4,0x1b4768.1 | 0x1b4b68.2
20,,warp,26.685,142.24,691,21233,-4090,0x28,wall of tile 002D18 (room 0x28),generic 0x1b42e8 (preset 0x0210),0x1b42e8,,2,002D18.1 | 0x1b42e8.0
21,,warp,41.692,164.16,508,19977,-3022,0x2a,wall of tile 01CD28 (room 0x2a),generic 0x1b4868 (preset 0x021f),0x1b4868,,2,01CD28.0 | 0x1b4868.0
