object,type,reason
0x1b3fa0,body_armour,Bond walks through it
0x1a6510,generic,no collision outline in the data
0x1a6590,generic,no collision outline in the data
0x1a6610,generic,no collision outline in the data
0x1a6690,generic,no collision outline in the data
0x1a6710,generic,no collision outline in the data
0x1a6790,generic,no collision outline in the data
0x1a6810,generic,no collision outline in the data
0x1a6890,generic,no collision outline in the data
0x1a6910,generic,no collision outline in the data
0x1a6990,generic,no collision outline in the data
0x1a6a10,generic,no collision outline in the data
0x1a6a90,generic,no collision outline in the data
0x1a6b10,generic,no collision outline in the data
0x1a6b90,generic,no collision outline in the data
0x1a6c10,generic,no collision outline in the data
0x1a6c90,generic,no collision outline in the data
0x1a6d10,generic,no collision outline in the data
0x1a6d90,generic,no collision outline in the data
0x1a6e10,generic,no collision outline in the data
0x1a6e90,generic,no collision outline in the data
0x1a6f10,generic,no collision outline in the data
0x1a6f90,generic,no collision outline in the data
0x1a7010,generic,no collision outline in the data
0x1a7090,generic,no collision outline in the data
0x1a7110,generic,no collision outline in the data
0x1a7190,generic,no collision outline in the data
0x1a7210,generic,no collision outline in the data
0x1a7290,generic,no collision outline in the data
0x1a7310,generic,no collision outline in the data
0x1a7390,generic,no collision outline in the data
0x1a7410,generic,no collision outline in the data
0x1a7490,generic,no collision outline in the data
0x1a7510,generic,no collision outline in the data
0x1a7590,generic,no collision outline in the data
0x1a7610,generic,no collision outline in the data
0x1a7690,generic,no collision outline in the data
0x1a7710,generic,no collision outline in the data
0x1a7790,generic,no collision outline in the data
0x1a7810,generic,no collision outline in the data
0x1a7890,generic,no collision outline in the data
0x1a7910,generic,no collision outline in the data
0x1a7990,generic,no collision outline in the data
0x1a7a10,generic,no collision outline in the data
0x1a7a90,generic,no collision outline in the data
0x1a7b10,generic,no collision outline in the data
0x1a7b90,generic,no collision outline in the data
0x1a7c10,generic,no collision outline in the data
0x1a7c90,generic,no collision outline in the data
0x1a7d10,generic,no collision outline in the data
0x1a7d90,generic,no collision outline in the data
0x1a7e10,generic,no collision outline in the data
0x1a7e90,generic,no collision outline in the data
0x1a7f10,generic,no collision outline in the data
0x1a7f90,generic,no collision outline in the data
0x1a8010,generic,no collision outline in the data
0x1a8090,generic,no collision outline in the data
0x1a8110,generic,no collision outline in the data
0x1a8190,generic,no collision outline in the data
0x1a8210,generic,no collision outline in the data
0x1a8290,generic,no collision outline in the data
0x1a8310,generic,no collision outline in the data
0x1a8390,generic,no collision outline in the data
0x1a8410,generic,no collision outline in the data
0x1a8490,generic,no collision outline in the data
0x1a8510,generic,no collision outline in the data
0x1a8590,generic,no collision outline in the data
0x1a8610,generic,no collision outline in the data
0x1aa710,generic,no collision outline in the data
0x1aa790,generic,no collision outline in the data
0x1aa810,generic,no collision outline in the data
0x1aa890,generic,no collision outline in the data
0x1aa910,generic,no collision outline in the data
0x1aa990,generic,no collision outline in the data
0x1aaa10,generic,no collision outline in the data
0x1aaa90,generic,no collision outline in the data
0x1aab10,generic,no collision outline in the data
0x1aab90,generic,no collision outline in the data
0x1aac10,generic,no collision outline in the data
0x1aac90,generic,no collision outline in the data
0x1aad10,generic,no collision outline in the data
0x1aad90,generic,no collision outline in the data
0x1aae10,generic,no collision outline in the data
0x1aae90,generic,no collision outline in the data
0x1aaf10,generic,no collision outline in the data
0x1aaf90,generic,no collision outline in the data
0x1ab010,generic,no collision outline in the data
0x1ab090,generic,no collision outline in the data
0x1ab110,generic,no collision outline in the data
