x,z,between,and
17204,-9517,wall of tile 241410 (room 0x1e),generic 0x1aef90 (preset 0x0079)
17203,-9517,wall of tile 241410 (room 0x1e),generic 0x1aef90 (preset 0x0079)
-723,1718,wall of tile 127800 (room 0x02),generic 0x1a8710 (preset 0x009b)
-674,1784,wall of tile 127800 (room 0x02),generic 0x1a8710 (preset 0x009b)
-851,1923,wall of tile 126800 (room 0x02),generic 0x1a8710 (preset 0x009b)
-921,1828,wall of tile 06C200 (room 0x02),generic 0x1a8710 (preset 0x009b)
427,-1207,generic 0x1a8c10 (preset 0x0091),generic 0x1a9690 (preset 0x001d)
273,-1207,generic 0x1a8c10 (preset 0x0091),generic 0x1a9690 (preset 0x001d)
21270,-3960,generic 0x1b4468 (preset 0x0213),generic 0x1b46e8 (preset 0x0218)
21264,-3925,generic 0x1b4468 (preset 0x0213),generic 0x1b46e8 (preset 0x0218)
21303,-3973,generic 0x1b4468 (preset 0x0213),generic 0x1b46e8 (preset 0x0218)
21338,-3967,generic 0x1b4468 (preset 0x0213),generic 0x1b46e8 (preset 0x0218)
21350,-3934,generic 0x1b4468 (preset 0x0213),generic 0x1b46e8 (preset 0x0218)
21345,-3899,generic 0x1b4468 (preset 0x0213),generic 0x1b46e8 (preset 0x0218)
21312,-3886,generic 0x1b4468 (preset 0x0213),generic 0x1b46e8 (preset 0x0218)
21277,-3892,generic 0x1b4468 (preset 0x0213),generic 0x1b46e8 (preset 0x0218)
