variant_of_gap,name,key,status,width_cm,step_cm,x,z,between,and,objects_forming_gap,objects_in_the_way
17,,0x1abd10.2 | 0x1acb10.1,warp,47.330,130.19,5215,-11257,generic 0x1abd10 (preset 0x009d),generic 0x1acb10 (preset 0x0036),0x1abd10 0x1acb10,
17,,0x1abd10.3 | 0x1acb10.0,warp,47.330,130.19,5215,-11328,generic 0x1abd10 (preset 0x009d),generic 0x1acb10 (preset 0x0036),0x1abd10 0x1acb10,
23,,0x1a8e90.3 | 0x1a9f10.0,warp,36.214,172.31,-971,-5729,generic 0x1a8e90 (preset 0x008c),generic 0x1a9f10 (preset 0x000c),0x1a8e90 0x1a9f10,
23,,0x1a8e90.3 | 0x1a9f10.1,warp,36.214,172.33,-971,-5674,generic 0x1a8e90 (preset 0x008c),generic 0x1a9f10 (preset 0x000c),0x1a8e90 0x1a9f10,
22,,06B401.1 | 0x1a8e10.3,warp,40.600,172.79,-1258,-4711,wall of tile 06B401 (room 0x08),generic 0x1a8e10 (preset 0x008d),0x1a8e10,
22,,06B500.1 | 0x1a8e10.3,warp,40.600,173.35,-1258,-4764,wall of tile 06B500 (room 0x08),generic 0x1a8e10 (preset 0x008d),0x1a8e10,
25,,0x1aea10.2 | 0x1af910.1,warp,39.689,179.36,15885,-9559,generic 0x1aea10 (preset 0x005e),generic 0x1af910 (preset 0x0085),0x1aea10 0x1af910,
25,,0x1aea10.3 | 0x1af910.1,warp,39.689,179.36,15885,-9619,generic 0x1aea10 (preset 0x005e),generic 0x1af910 (preset 0x0085),0x1aea10 0x1af910,
26,,047808.0 | 0x1acb90.0,warp,59.680,189.32,6089,-11717,wall of tile 047808 (room 0x16),generic 0x1acb90 (preset 0x0035),0x1acb90,
28,,0x1aed10.1 | 0x1afd10.2,warp,48.488,192.03,18831,-10359,generic 0x1aed10 (preset 0x0057),generic 0x1afd10 (preset 0x007d),0x1aed10 0x1afd10,
28,,0x1aed10.1 | 0x1afd10.3,warp,48.488,192.03,18831,-10428,generic 0x1aed10 (preset 0x0057),generic 0x1afd10 (preset 0x007d),0x1aed10 0x1afd10,
27,,0x1a8910.1 | 0x1aa690.2,warp,50.825,194.34,826,879,generic 0x1a8910 (preset 0x0097),generic 0x1aa690 (preset 0x0028),0x1a8910 0x1aa690,
27,,0x1a8910.0 | 0x1aa690.3,warp,50.825,195.27,685,879,generic 0x1a8910 (preset 0x0097),generic 0x1aa690 (preset 0x0028),0x1a8910 0x1aa690,
26,,046C08.0 | 0x1acb90.0,warp,59.680,199.18,5984,-11717,wall of tile 046C08 (room 0x16),generic 0x1acb90 (preset 0x0035),0x1acb90,
29,,0x1a8890.1 | 0x1aa690.0,warp,49.570,200.74,660,694,generic 0x1a8890 (preset 0x0098),generic 0x1aa690 (preset 0x0028),0x1a8890 0x1aa690,
29,,0x1a8890.2 | 0x1aa690.3,warp,49.570,200.74,660,835,generic 0x1a8890 (preset 0x0098),generic 0x1aa690 (preset 0x0028),0x1a8890 0x1aa690,
30,,0x1a8690.3 | 0x1aa310.2,warp,46.778,215.11,271,1804,generic 0x1a8690 (preset 0x009c),generic 0x1aa310 (preset 0x002c),0x1a8690 0x1aa310,
30,,0x1a8690.3 | 0x1aa310.1,warp,46.778,215.11,271,1724,generic 0x1a8690 (preset 0x009c),generic 0x1aa310 (preset 0x002c),0x1a8690 0x1aa310,
31,,0x1aea90.2 | 139410.0,warp,40.737,216.29,13859,-11358,wall of tile 139410 (room 0x1a),generic 0x1aea90 (preset 0x005d),0x1aea90,
31,,0x1aea90.3 | 13DA10.0,warp,40.737,216.29,13859,-11458,wall of tile 13DA10 (room 0x1a),generic 0x1aea90 (preset 0x005d),0x1aea90,
33,,0x1adc90.3 | 0x1ade90.1,warp,5.683,266.03,8742,-11250,generic 0x1adc90 (preset 0x00aa),generic 0x1ade90 (preset 0x0077),0x1adc90 0x1ade90,
33,,0x1adc90.3 | 0x1ade90.2,warp,5.683,266.03,8742,-11150,generic 0x1adc90 (preset 0x00aa),generic 0x1ade90 (preset 0x0077),0x1adc90 0x1ade90,
11,,0x1b4968.1 | 0x1b4a68.3,warp,9.795,268.45,19301,-4462,generic 0x1b4968 (preset 0x0221),generic 0x1b4a68 (preset 0x0223),0x1b4968 0x1b4a68,
32,,0x1abb90.3 | 0x1ac390.0,warp,13.437,294.94,6538,-6919,generic 0x1abb90 (preset 0x00a1),generic 0x1ac390 (preset 0x0045),0x1abb90 0x1ac390,
32,,0x1abb90.2 | 0x1ac390.1,warp,13.437,295.20,6607,-6919,generic 0x1abb90 (preset 0x00a1),generic 0x1ac390 (preset 0x0045),0x1abb90 0x1ac390,
34,,081800.2 | 0x1a8c10.0,warp,54.032,327.86,586,-1481,wall of tile 081800 (room 0x05),generic 0x1a8c10 (preset 0x0091),0x1a8c10,
34,,081800.2 | 0x1a8c10.1,warp,54.032,327.86,586,-1417,wall of tile 081800 (room 0x05),generic 0x1a8c10 (preset 0x0091),0x1a8c10,
34,,081600.2 | 0x1a8c10.2,warp,54.032,327.86,586,-1207,wall of tile 081600 (room 0x05),generic 0x1a8c10 (preset 0x0091),0x1a8c10,
