between,and,width,kept,reason,because_of
wall of tile 0F2F01 (room 0x10),wall of tile 051200 (room 0x0e),33.493,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0F2F01 (room 0x10),wall of tile 0E8C00 (room 0x0e),33.493,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0F2F01 (room 0x10),wall of tile 050C00 (room 0x0e),33.493,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0F2F01 (room 0x10),wall of tile 0E8C00 (room 0x0e),33.493,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0F2F01 (room 0x10),wall of tile 050C00 (room 0x0e),33.493,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0F2F01 (room 0x10),generic 0x1da860 (preset 0x004f),5.820,yes,,
wall of tile 0F2F01 (room 0x10),generic 0x1da860 (preset 0x004f),5.820,yes,,
wall of tile 0F2F01 (room 0x10),generic 0x1da860 (preset 0x004f),5.820,yes,,
wall of tile 0F2F01 (room 0x10),generic 0x1da860 (preset 0x004f),5.838,no,"another wall pokes into the space between them, so a tighter pair covers this gap",generic 0x1da860 (preset 0x004f)
wall of tile 0F3B00 (room 0x10),wall of tile 050C00 (room 0x0e),33.493,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0F3B00 (room 0x10),wall of tile 050C00 (room 0x0e),33.493,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0F3B00 (room 0x10),generic 0x1da860 (preset 0x004f),17.283,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 0F2F01 (room 0x10)
wall of tile 0F3B00 (room 0x10),generic 0x1da860 (preset 0x004f),17.283,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 0F2F01 (room 0x10)
wall of tile 0F3B00 (room 0x10),generic 0x1dab1c (preset 0x0052),1.197,yes,,
wall of tile 0F3B00 (room 0x10),generic 0x1dab1c (preset 0x0052),1.197,yes,,
wall of tile 0F3B00 (room 0x10),generic 0x1dab1c (preset 0x0052),1.208,no,"another wall pokes into the space between them, so a tighter pair covers this gap",generic 0x1dab1c (preset 0x0052)
wall of tile 0F3B00 (room 0x10),generic 0x1dab1c (preset 0x0052),2.173,no,"another wall pokes into the space between them, so a tighter pair covers this gap",generic 0x1dab1c (preset 0x0052)
wall of tile 0F3B00 (room 0x10),generic 0x1dab9c (preset 0x0053),1.197,yes,,
wall of tile 0F3B00 (room 0x10),generic 0x1dab9c (preset 0x0053),1.197,yes,,
wall of tile 0F3B00 (room 0x10),generic 0x1dab9c (preset 0x0053),1.208,no,"another wall pokes into the space between them, so a tighter pair covers this gap",generic 0x1dab9c (preset 0x0053)
wall of tile 0F3B00 (room 0x10),generic 0x1dab9c (preset 0x0053),2.173,no,"another wall pokes into the space between them, so a tighter pair covers this gap",generic 0x1dab9c (preset 0x0053)
wall of tile 0F3B00 (room 0x10),generic 0x1dac1c (preset 0x0054),1.197,yes,,
wall of tile 0F3B00 (room 0x10),generic 0x1dac1c (preset 0x0054),1.197,yes,,
wall of tile 0F3B00 (room 0x10),generic 0x1dac1c (preset 0x0054),1.208,no,"another wall pokes into the space between them, so a tighter pair covers this gap",generic 0x1dac1c (preset 0x0054)
wall of tile 0F3B00 (room 0x10),generic 0x1dac1c (preset 0x0054),2.173,no,"another wall pokes into the space between them, so a tighter pair covers this gap",generic 0x1dac1c (preset 0x0054)
wall of tile 02E200 (room 0x0f),wall of tile 051200 (room 0x0e),33.493,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 02E200 (room 0x0f),wall of tile 051400 (room 0x0e),33.493,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 02E200 (room 0x0f),door 0x1db34c (preset 0x000a),11.164,no,the line between them touches another wall,wall of tile 051500 (room 0x0e)
wall of tile 0F2F02 (room 0x10),wall of tile 051200 (room 0x0e),33.493,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0F2F02 (room 0x10),wall of tile 051400 (room 0x0e),33.493,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0F2F02 (room 0x10),wall of tile 0E8C00 (room 0x0e),33.493,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 02DF00 (room 0x0f),wall of tile 051900 (room 0x0e),33.493,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 02DF00 (room 0x0f),wall of tile 051B00 (room 0x0e),33.493,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 02DF00 (room 0x0f),door 0x1db34c (preset 0x000a),11.164,no,the line between them touches another wall,wall of tile 0F3C02 (room 0x0e)
wall of tile 051900 (room 0x0e),wall of tile 02DE00 (room 0x0f),33.493,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 051900 (room 0x0e),door 0x1db34c (preset 0x000a),33.493,no,the line between them touches another wall,wall of tile 0F3C02 (room 0x0e)
wall of tile 051900 (room 0x0e),door 0x1db34c (preset 0x000a),22.329,no,the line between them touches another wall,wall of tile 0F3C02 (room 0x0e)
wall of tile 051900 (room 0x0e),door 0x1db34c (preset 0x000a),22.329,no,the line between them touches another wall,wall of tile 0F3C02 (room 0x0e)
wall of tile 051400 (room 0x0e),door 0x1db34c (preset 0x000a),33.493,no,the line between them touches another wall,wall of tile 051500 (room 0x0e)
wall of tile 051400 (room 0x0e),door 0x1db34c (preset 0x000a),22.329,no,the line between them touches another wall,wall of tile 051500 (room 0x0e)
wall of tile 051400 (room 0x0e),door 0x1db34c (preset 0x000a),22.329,no,the line between them touches another wall,wall of tile 051500 (room 0x0e)
wall of tile 050C00 (room 0x0e),generic 0x1dab9c (preset 0x0053),42.732,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
