x,z,between,and
5660,-7000,wall of tile 02E200 (room 0x0f),door 0x1db34c (preset 0x000a)
5660,-7000,wall of tile 02E200 (room 0x0f),door 0x1db34c (preset 0x000a)
5660,-6900,wall of tile 02DF00 (room 0x0f),door 0x1db34c (preset 0x000a)
5660,-6900,wall of tile 02DF00 (room 0x0f),door 0x1db34c (preset 0x000a)
5660,-7000,wall of tile 051500 (room 0x0e),door 0x1db34c (preset 0x000a)
5671,-7000,wall of tile 051500 (room 0x0e),door 0x1db34c (preset 0x000a)
5671,-7000,wall of tile 051500 (room 0x0e),door 0x1db34c (preset 0x000a)
5660,-6900,wall of tile 0F3C02 (room 0x0e),door 0x1db34c (preset 0x000a)
5671,-6900,wall of tile 0F3C02 (room 0x0e),door 0x1db34c (preset 0x000a)
5660,-6900,wall of tile 0F3C02 (room 0x0e),door 0x1db34c (preset 0x000a)
7880,-5839,wall of tile 024602 (room 0x0d),door 0x1db44c (preset 0x0008)
8284,-5839,wall of tile 024602 (room 0x0d),door 0x1db44c (preset 0x0008)
8293,-5804,wall of tile 0DD602 (room 0x01),door 0x1db44c (preset 0x0008)
7880,-5832,wall of tile 0DD601 (room 0x01),door 0x1db44c (preset 0x0008)
7625,-4979,wall of tile 0EF900 (room 0x04),door 0x1db124 (preset 0x0006)
7625,-4979,wall of tile 0EF900 (room 0x04),door 0x1db124 (preset 0x0006)
7726,-4979,wall of tile 0EF900 (room 0x04),door 0x1db124 (preset 0x0006)
7525,-4979,wall of tile 0EF900 (room 0x04),door 0x1db224 (preset 0x0007)
7525,-4979,wall of tile 0EF900 (room 0x04),door 0x1db224 (preset 0x0007)
7625,-4979,wall of tile 0EF900 (room 0x04),door 0x1db224 (preset 0x0007)
6576,-5337,wall of tile 0E6B02 (room 0x02),door 0x1db674 (preset 0x000b)
6587,-5332,wall of tile 0E6B02 (room 0x02),door 0x1db674 (preset 0x000b)
6464,-5337,wall of tile 0E6301 (room 0x02),door 0x1db674 (preset 0x000b)
6464,-5337,wall of tile 0E6301 (room 0x02),door 0x1db674 (preset 0x000b)
5602,-7590,generic 0x1dab1c (preset 0x0052),generic 0x1dab9c (preset 0x0053)
5595,-7527,generic 0x1dab1c (preset 0x0052),generic 0x1dab9c (preset 0x0053)
7625,-4979,door 0x1db124 (preset 0x0006),door 0x1db224 (preset 0x0007)
7625,-4968,door 0x1db124 (preset 0x0006),door 0x1db224 (preset 0x0007)
7625,-4979,door 0x1db124 (preset 0x0006),door 0x1db224 (preset 0x0007)
7625,-4979,door 0x1db124 (preset 0x0006),door 0x1db224 (preset 0x0007)
7625,-4968,door 0x1db124 (preset 0x0006),door 0x1db224 (preset 0x0007)
7625,-4968,door 0x1db124 (preset 0x0006),door 0x1db224 (preset 0x0007)
