between,and,width,kept,reason,because_of
wall of tile 003678 (room 0x56),wall of tile 002328 (room 0x24),50.787,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 003678 (room 0x56),wall of tile 002628 (room 0x24),8.465,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 003678 (room 0x56),wall of tile 002628 (room 0x24),50.787,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 003478 (room 0x56),wall of tile 001528 (room 0x24),57.136,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 003478 (room 0x56),wall of tile 000B28 (room 0x24),57.136,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 003478 (room 0x56),wall of tile 000B28 (room 0x24),57.136,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 003878 (room 0x56),wall of tile 001528 (room 0x24),57.136,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 003878 (room 0x56),wall of tile 002628 (room 0x24),57.759,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 003378 (room 0x56),wall of tile 001470 (room 0x50),40.207,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 003378 (room 0x56),wall of tile 000928 (room 0x24),33.858,no,the line between them touches another wall,wall of tile 003778 (room 0x56)
wall of tile 003978 (room 0x56),wall of tile 001172 (room 0x50),21.161,no,the line between them touches another wall,wall of tile 001272 (room 0x50)
wall of tile 003978 (room 0x56),wall of tile 001470 (room 0x50),40.207,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 003978 (room 0x56),door 0x1cae6c (preset 0x004c),52.903,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 001272 (room 0x50)
wall of tile 003978 (room 0x56),door 0x1cae6c (preset 0x004c),50.787,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1cae6c (preset 0x004c)
wall of tile 003978 (room 0x56),door 0x1cae6c (preset 0x004c),50.787,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1cae6c (preset 0x004c)
wall of tile 003978 (room 0x56),door 0x1cae6c (preset 0x004c),50.787,yes,,
wall of tile 003978 (room 0x56),door 0x1caf6c (preset 0x004d),14.813,no,the line between them touches another wall,wall of tile 001272 (room 0x50)
wall of tile 003978 (room 0x56),door 0x1caf6c (preset 0x004d),52.903,no,the line between them touches another wall,door 0x1caf6c (preset 0x004d)
wall of tile 003978 (room 0x56),door 0x1caf6c (preset 0x004d),50.787,no,the line between them touches another wall,door 0x1caf6c (preset 0x004d)
wall of tile 003978 (room 0x56),door 0x1caf6c (preset 0x004d),0.000,no,the line between them touches another wall,door 0x1caf6c (preset 0x004d)
wall of tile 003978 (room 0x56),door 0x1caf6c (preset 0x004d),0.000,no,the line between them touches another wall,door 0x1caf6c (preset 0x004d)
wall of tile 001271 (room 0x50),wall of tile 001470 (room 0x50),26.934,no,the line between them touches another wall,wall of tile 001171 (room 0x50)
wall of tile 001271 (room 0x50),door 0x1cae6c (preset 0x004c),0.000,yes,,
wall of tile 001271 (room 0x50),door 0x1cae6c (preset 0x004c),0.000,yes,,
wall of tile 001271 (room 0x50),door 0x1cae6c (preset 0x004c),0.000,yes,,
wall of tile 001271 (room 0x50),door 0x1cae6c (preset 0x004c),0.000,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1cae6c (preset 0x004c)
wall of tile 001271 (room 0x50),door 0x1cae6c (preset 0x004c),52.903,no,the line between them touches another wall,door 0x1cae6c (preset 0x004c)
wall of tile 001271 (room 0x50),door 0x1cae6c (preset 0x004c),52.903,no,the line between them touches another wall,door 0x1cae6c (preset 0x004c)
wall of tile 001271 (room 0x50),door 0x1caf6c (preset 0x004d),52.903,yes,,
wall of tile 001271 (room 0x50),door 0x1caf6c (preset 0x004d),52.903,yes,,
wall of tile 001271 (room 0x50),door 0x1caf6c (preset 0x004d),52.903,yes,,
wall of tile 001271 (room 0x50),door 0x1caf6c (preset 0x004d),52.903,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1caf6c (preset 0x004d)
wall of tile 003578 (room 0x56),wall of tile 001171 (room 0x50),21.161,no,the line between them touches another wall,wall of tile 001271 (room 0x50)
wall of tile 003578 (room 0x56),wall of tile 001470 (room 0x50),40.207,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 003578 (room 0x56),door 0x1cae6c (preset 0x004c),14.813,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 001271 (room 0x50)
wall of tile 003578 (room 0x56),door 0x1cae6c (preset 0x004c),14.813,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 001271 (room 0x50)
wall of tile 003578 (room 0x56),door 0x1cae6c (preset 0x004c),0.000,yes,,
wall of tile 003578 (room 0x56),door 0x1cae6c (preset 0x004c),0.000,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1cae6c (preset 0x004c)
wall of tile 003578 (room 0x56),door 0x1cae6c (preset 0x004c),52.903,no,the line between them touches another wall,door 0x1cae6c (preset 0x004c)
wall of tile 003578 (room 0x56),door 0x1cae6c (preset 0x004c),52.903,no,the line between them touches another wall,door 0x1cae6c (preset 0x004c)
wall of tile 003578 (room 0x56),door 0x1caf6c (preset 0x004d),54.938,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 001271 (room 0x50)
wall of tile 003578 (room 0x56),door 0x1caf6c (preset 0x004d),54.938,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 001271 (room 0x50)
wall of tile 003578 (room 0x56),door 0x1caf6c (preset 0x004d),52.903,yes,,
wall of tile 003578 (room 0x56),door 0x1caf6c (preset 0x004d),52.903,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1caf6c (preset 0x004d)
wall of tile 000878 (room 0x56),wall of tile 001470 (room 0x50),40.207,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 001272 (room 0x50),wall of tile 001470 (room 0x50),28.470,no,the line between them touches another wall,wall of tile 001172 (room 0x50)
wall of tile 001272 (room 0x50),door 0x1cae6c (preset 0x004c),50.787,yes,,
wall of tile 001272 (room 0x50),door 0x1cae6c (preset 0x004c),50.787,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1cae6c (preset 0x004c)
