key,filter,reason,status,width_cm,x,z,between,and
083F60.2 | 0x1c4208.1,anvil and hammer,"generic 0x1c4208 (preset 0x004b) is 0.6 cm from a straight wall, closer than Bond's radius, with 1.0 m of it ending at a protrusion to one side and 0.2 m of it ending at a protrusion to the other",no warp found,0.59,5207,2781,wall of tile 083F60 (room 0x44),generic 0x1c4208 (preset 0x004b)
00DA71.0 | 0x1c7db0.0,anvil and hammer,"monitor 0x1c7db0 (preset 0x2725) is 2.0 cm from a straight wall, closer than Bond's radius, with 3.2 m of it to one side and 1.2 m of it ending at a protrusion to the other",no warp found,1.954,414,-789,wall of tile 00DA71 (room 0x4f),monitor 0x1c7db0 (preset 0x2725)
00DA71.0 | 0x1c8258.0,anvil and hammer,"monitor 0x1c8258 (preset 0x2727) is 2.0 cm from a straight wall, closer than Bond's radius, with 1.2 m of it ending at a protrusion to one side and 3.2 m of it to the other",no warp found,1.954,414,-986,wall of tile 00DA71 (room 0x4f),monitor 0x1c8258 (preset 0x2727)
00DA71.0 | 0x1c7b5c.0,anvil and hammer,"monitor 0x1c7b5c (preset 0x2724) is 2.0 cm from a straight wall, closer than Bond's radius, with 4.1 m of it to one side and 0.3 m of it ending at a protrusion to the other",no warp found,1.957,414,-692,wall of tile 00DA71 (room 0x4f),monitor 0x1c7b5c (preset 0x2724)
00DA71.0 | 0x1c8004.0,anvil and hammer,"monitor 0x1c8004 (preset 0x2726) is 2.0 cm from a straight wall, closer than Bond's radius, with 2.2 m of it ending at a protrusion to one side and 2.2 m of it ending at a protrusion to the other",no warp found,1.957,414,-889,wall of tile 00DA71 (room 0x4f),monitor 0x1c8004 (preset 0x2726)
007471.0 | 0x1c8700.0,anvil and hammer,"monitor 0x1c8700 (preset 0x2729) is 6.2 cm from a straight wall, closer than Bond's radius, with 1.3 m of it ending at a protrusion to one side and 1.7 m of it ending at a protrusion to the other",no warp found,6.186,1707,-923,wall of tile 007471 (room 0x51),monitor 0x1c8700 (preset 0x2729)
007B71.1 | 0x1c94f8.2,anvil and hammer,"monitor 0x1c94f8 (preset 0x272f) is 6.2 cm from a straight wall, closer than Bond's radius, with 1.8 m of it ending at a protrusion to one side and 1.3 m of it ending at a protrusion to the other",no warp found,6.186,1972,-659,wall of tile 007B71 (room 0x51),monitor 0x1c94f8 (preset 0x272f)
007571.0 | 0x1c8dfc.1,anvil and hammer,"monitor 0x1c8dfc (preset 0x272c) is 6.2 cm from a straight wall, closer than Bond's radius, with 1.3 m of it ending at a protrusion to one side and 1.7 m of it ending at a protrusion to the other",no warp found,6.186,2193,-882,wall of tile 007571 (room 0x51),monitor 0x1c8dfc (preset 0x272c)
007471.0 | 0x1c84ac.0,anvil and hammer,"monitor 0x1c84ac (preset 0x2728) is 6.2 cm from a straight wall, closer than Bond's radius, with 2.3 m of it ending at a protrusion to one side and 0.8 m of it ending at a protrusion to the other",no warp found,6.189,1707,-825,wall of tile 007471 (room 0x51),monitor 0x1c84ac (preset 0x2728)
007B71.1 | 0x1c92a4.2,anvil and hammer,"monitor 0x1c92a4 (preset 0x272e) is 6.2 cm from a straight wall, closer than Bond's radius, with 2.7 m of it ending at a protrusion to one side and 0.3 m of it ending at a protrusion to the other",no warp found,6.189,2070,-659,wall of tile 007B71 (room 0x51),monitor 0x1c92a4 (preset 0x272e)
007771.1 | 0x1c8ba8.0,anvil and hammer,"monitor 0x1c8ba8 (preset 0x272b) is 6.2 cm from a straight wall, closer than Bond's radius, with 2.7 m of it ending at a protrusion to one side and 0.3 m of it ending at a protrusion to the other",no warp found,6.189,1830,-1146,wall of tile 007771 (room 0x51),monitor 0x1c8ba8 (preset 0x272b)
007571.0 | 0x1c9050.1,anvil and hammer,"monitor 0x1c9050 (preset 0x272d) is 6.2 cm from a straight wall, closer than Bond's radius, with 2.3 m of it ending at a protrusion to one side and 0.8 m of it ending at a protrusion to the other",no warp found,6.189,2193,-980,wall of tile 007571 (room 0x51),monitor 0x1c9050 (preset 0x272d)
007771.1 | 0x1c8954.0,anvil and hammer,"monitor 0x1c8954 (preset 0x272a) is 6.3 cm from a straight wall, closer than Bond's radius, with 1.8 m of it ending at a protrusion to one side and 1.3 m of it ending at a protrusion to the other",no warp found,6.349,1928,-1146,wall of tile 007771 (room 0x51),monitor 0x1c8954 (preset 0x272a)
025940.1 | 0x1c4a88.0,anvil and hammer,"generic 0x1c4a88 (preset 0x0063) is 6.6 cm from a straight wall, closer than Bond's radius, with 0.3 m of it, so little that a step round its end would be at least 6.2 m long to one side and 10.7 m of it to the other",no warp found,6.593,-1436,-98,wall of tile 025940 (room 0x33),generic 0x1c4a88 (preset 0x0063)
083F60.2 | 0x1c4288.1,anvil and hammer,"generic 0x1c4288 (preset 0x004c) is 12.6 cm from a straight wall, closer than Bond's radius, with 0.1 m of it ending at a protrusion to one side and 1.0 m of it ending at a protrusion to the other",no warp found,12.560,5143,2836,wall of tile 083F60 (room 0x44),generic 0x1c4288 (preset 0x004c)
