gap,name,status,width_cm,step_cm,walk_round_cm,x,z,room,between,and,objects_forming_gap,objects_in_the_way,pinches,key
1,,warp,44.673,40.05,none found,2085,-767,0x51,monitor 0x1c8dfc (preset 0x272c),monitor 0x1c92a4 (preset 0x272e),0x1c8dfc 0x1c92a4,,4,0x1c8dfc.0 | 0x1c92a4.1
2,,warp,43.193,41.65,none found,1815,-1037,0x51,monitor 0x1c8700 (preset 0x2729),monitor 0x1c8ba8 (preset 0x272b),0x1c8700 0x1c8ba8,,4,0x1c8700.1 | 0x1c8ba8.0
3,,warp,56.674,59.39,653,844,-1527,0x3a,wall of tile 005A58 (room 0x3a),generic 0x1c4188 (preset 0x0059),0x1c4188,,2,005A58.0 | 0x1c4188.2
4,,warp,31.742,66.86,370,-1535,1661,0x39,wall of tile 042952 (room 0x39),wall of tile 042850 (room 0x39),,,4,042850.0 | 042952.2
5,,warp,31.742,66.86,375,1028,-1476,0x3a,wall of tile 08165A (room 0x3a),wall of tile 081558 (room 0x3a),,,4,081558.0 | 08165A.2
6,,warp,25.742,67.63,366,-1917,1659,0x39,wall of tile 006450 (room 0x39),monitor 0x1c5d18 (preset 0x2717),0x1c5d18,,4,006450.2 | 0x1c5d18.2
7,,warp,29.626,69.28,370,4165,1088,0x41,wall of tile 081C62 (room 0x41),wall of tile 081B60 (room 0x41),,,4,081B60.0 | 081C62.2
8,,warp,29.626,69.28,370,1602,4224,0x48,wall of tile 08446A (room 0x48),wall of tile 084368 (room 0x48),,,4,084368.0 | 08446A.2
9,R-lean'd by Ted FIRST TRY,warp,2.116,74.84,none found,3111,2676,0x47,wall of tile 0A4660 (room 0x47),door 0x1c9d4c (preset 0x0039),0x1c9d4c,,2,0A4660.0 | 0x1c9d4c.1
10,,warp,0.00012,82.74,none found,13,3170,0x1a,wall of tile 05501A (room 0x1a),door 0x1c974c (preset 0x0032),0x1c974c,,2,05501A.1 | 0x1c974c.2
11,TAS elevator door warp,warp,0.000012,91.52,none found,1847,-18,0x50,wall of tile 001272 (room 0x50),door 0x1caf6c (preset 0x004d),0x1caf6c,,14,003978.1 | 0x1caf6c.5
