x,z,between,and
13,2283,wall of tile 07D919 (room 0x1e),door 0x1c9c4c (preset 0x0038)
13,2283,wall of tile 004520 (room 0x21),door 0x1c9c4c (preset 0x0038)
-1215,1323,wall of tile 05F520 (room 0x22),door 0x1caa4c (preset 0x0048)
-1232,1323,wall of tile 030D51 (room 0x39),door 0x1caa4c (preset 0x0048)
-1653,1409,wall of tile 03CE52 (room 0x39),wall of tile 042552 (room 0x39)
-2296,1323,wall of tile 031652 (room 0x39),door 0x1ca94c (preset 0x0047)
-2281,1323,wall of tile 031652 (room 0x39),door 0x1ca94c (preset 0x0047)
-482,-32,wall of tile 067101 (room 0x05),door 0x1ca84c (preset 0x0046)
-482,-32,wall of tile 067101 (room 0x05),door 0x1ca84c (preset 0x0046)
-482,-32,wall of tile 024F40 (room 0x35),door 0x1ca84c (preset 0x0046)
-482,-32,wall of tile 024F40 (room 0x35),door 0x1ca84c (preset 0x0046)
404,-32,wall of tile 053602 (room 0x05),door 0x1cad6c (preset 0x004b)
404,-32,wall of tile 053602 (room 0x05),door 0x1cad6c (preset 0x004b)
1165,-326,wall of tile 06432A (room 0x27),generic 0x1c4888 (preset 0x005b)
1164,-318,wall of tile 06432A (room 0x27),generic 0x1c4888 (preset 0x005b)
1263,-1155,wall of tile 05F728 (room 0x26),door 0x1ca54c (preset 0x0041)
1365,-1155,wall of tile 05F528 (room 0x26),door 0x1ca54c (preset 0x0041)
1263,-1172,wall of tile 030D5A (room 0x3a),door 0x1ca54c (preset 0x0041)
1365,-1172,wall of tile 030D59 (room 0x3a),door 0x1ca54c (preset 0x0041)
1259,-1593,wall of tile 082759 (room 0x3a),wall of tile 08135A (room 0x3a)
1278,-1593,wall of tile 03CE5A (room 0x3a),wall of tile 08135A (room 0x3a)
1259,-1492,wall of tile 03CE59 (room 0x3a),wall of tile 08185A (room 0x3a)
1263,-2222,wall of tile 031659 (room 0x3a),door 0x1ca44c (preset 0x0040)
1365,-2222,wall of tile 03165A (room 0x3a),door 0x1ca44c (preset 0x0040)
1263,-2237,wall of tile 041559 (room 0x3b),door 0x1ca44c (preset 0x0040)
1365,-2237,wall of tile 04155A (room 0x3b),door 0x1ca44c (preset 0x0040)
2616,-423,wall of tile 063558 (room 0x40),door 0x1ca34c (preset 0x003f)
2719,-423,wall of tile 056109 (room 0x0b),door 0x1ca34c (preset 0x003f)
2719,-423,wall of tile 056109 (room 0x0b),door 0x1ca34c (preset 0x003f)
2719,-423,wall of tile 063358 (room 0x40),door 0x1ca34c (preset 0x003f)
2719,-423,wall of tile 063358 (room 0x40),door 0x1ca34c (preset 0x003f)
2616,-423,wall of tile 05610A (room 0x0b),door 0x1ca34c (preset 0x003f)
2616,463,wall of tile 055009 (room 0x0b),door 0x1ca64c (preset 0x0042)
2616,463,wall of tile 055009 (room 0x0b),door 0x1ca64c (preset 0x0042)
2616,463,wall of tile 004530 (room 0x29),door 0x1ca64c (preset 0x0042)
2616,463,wall of tile 004530 (room 0x29),door 0x1ca64c (preset 0x0042)
3845,1323,wall of tile 05F730 (room 0x2a),door 0x1c9f4c (preset 0x003b)
3860,1323,wall of tile 030D62 (room 0x41),door 0x1c9f4c (preset 0x003b)
4283,1318,wall of tile 082D61 (room 0x41),wall of tile 081962 (room 0x41)
4283,1337,wall of tile 03CE62 (room 0x41),wall of tile 081962 (room 0x41)
4179,1318,wall of tile 03CE61 (room 0x41),wall of tile 081E62 (room 0x41)
4909,1323,wall of tile 031661 (room 0x41),door 0x1c9e4c (preset 0x003a)
4926,1323,wall of tile 031661 (room 0x41),door 0x1c9e4c (preset 0x003a)
4975,2000,wall of tile 08A260 (room 0x43),generic 0x1c4c88 (preset 0x0053)
4975,2093,wall of tile 089360 (room 0x43),generic 0x1c4c88 (preset 0x0053)
3111,2778,wall of tile 059D11 (room 0x11),door 0x1c9d4c (preset 0x0039)
3111,2778,wall of tile 059D11 (room 0x11),door 0x1c9d4c (preset 0x0039)
2224,2778,wall of tile 05AD12 (room 0x11),door 0x1ca04c (preset 0x003c)
