between,and,width,kept,reason,because_of
wall of tile 142510 (room 0x16),wall of tile 142310 (room 0x16),26.038,yes,,
wall of tile 142310 (room 0x16),wall of tile 142810 (room 0x16),26.038,yes,,
wall of tile 149010 (room 0x14),wall of tile 167C10 (room 0x14),24.808,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 148D10 (room 0x14),wall of tile 167B10 (room 0x14),34.963,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 132610 (room 0x14),wall of tile 167B10 (room 0x14),29.202,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 132610 (room 0x14),wall of tile 167B10 (room 0x14),38.778,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 16B310 (room 0x14),wall of tile 167B10 (room 0x14),38.778,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 15F310 (room 0x14),wall of tile 167C10 (room 0x14),2.208,no,the far wall faces the other way (it belongs to floor which isn't linked here),
wall of tile 167C10 (room 0x14),wall of tile 132810 (room 0x14),18.337,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 167C10 (room 0x14),wall of tile 147D12 (room 0x14),56.757,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 167B10 (room 0x14),wall of tile 132810 (room 0x14),18.337,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 14A510 (room 0x13),wall of tile 14A210 (room 0x13),33.442,yes,,
wall of tile 14A210 (room 0x13),wall of tile 14A410 (room 0x13),33.442,yes,,
wall of tile 0D1C08 (room 0x12),wall of tile 0D0D08 (room 0x12),52.768,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 0AD908 (room 0x12)
wall of tile 0D1C08 (room 0x12),wall of tile 0D0808 (room 0x12),52.768,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 0AD908 (room 0x12)
wall of tile 0D1D0A (room 0x12),wall of tile 0CF908 (room 0x12),37.024,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0D1D0A (room 0x12),wall of tile 0CFA08 (room 0x12),17.645,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0C1708 (room 0x11),wall of tile 0C1A08 (room 0x11),28.015,yes,,
wall of tile 0C2608 (room 0x10),wall of tile 0C3408 (room 0x10),57.370,yes,,
wall of tile 0C3408 (room 0x10),wall of tile 0C2E08 (room 0x10),57.370,yes,,
wall of tile 0C3B08 (room 0x0f),wall of tile 0C3908 (room 0x0f),56.817,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 0C3608 (room 0x0f)
wall of tile 0C7D08 (room 0x0f),wall of tile 0C7408 (room 0x0f),41.717,no,the line between them touches another wall,wall of tile 0D5E08 (room 0x0f)
wall of tile 0C7D08 (room 0x0f),wall of tile 0C7A08 (room 0x0f),41.717,no,the line between them touches another wall,wall of tile 0C7C08 (room 0x0f)
wall of tile 0D5E08 (room 0x0f),wall of tile 0C7708 (room 0x0f),38.461,no,the line between them touches another wall,wall of tile 0C7408 (room 0x0f)
wall of tile 0D5E08 (room 0x0f),wall of tile 0C7C08 (room 0x0f),41.717,no,the line between them touches another wall,wall of tile 0C7D08 (room 0x0f)
wall of tile 0C8908 (room 0x0f),wall of tile 0C8408 (room 0x0f),41.717,no,the line between them touches another wall,wall of tile 0C8708 (room 0x0f)
wall of tile 0C8708 (room 0x0f),wall of tile 0C8508 (room 0x0f),50.233,no,the line between them touches another wall,wall of tile 0C8408 (room 0x0f)
wall of tile 0C8408 (room 0x0f),wall of tile 0C8808 (room 0x0f),46.641,no,the line between them touches another wall,wall of tile 0C8508 (room 0x0f)
wall of tile 0C8508 (room 0x0f),wall of tile 0C8C08 (room 0x0f),47.564,no,the line between them touches another wall,wall of tile 0C8808 (room 0x0f)
wall of tile 0C8C08 (room 0x0f),wall of tile 0C6D08 (room 0x0f),56.741,no,the line between them touches another wall,wall of tile 0C8D08 (room 0x0f)
wall of tile 0C7908 (room 0x0f),wall of tile 0C7708 (room 0x0f),41.717,no,the line between them touches another wall,wall of tile 0C7608 (room 0x0f)
wall of tile 0C7908 (room 0x0f),wall of tile 0C7C08 (room 0x0f),41.717,no,the line between them touches another wall,wall of tile 0C7A08 (room 0x0f)
wall of tile 0C7608 (room 0x0f),wall of tile 0C7408 (room 0x0f),38.461,no,the line between them touches another wall,wall of tile 0C7708 (room 0x0f)
wall of tile 0C7608 (room 0x0f),wall of tile 0C7A08 (room 0x0f),41.717,no,the line between them touches another wall,wall of tile 0C7908 (room 0x0f)
wall of tile 0C5008 (room 0x0f),wall of tile 0C2408 (room 0x0f),28.459,yes,,
wall of tile 0C5008 (room 0x0f),wall of tile 0C3008 (room 0x10),29.498,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 0C2408 (room 0x0f)
wall of tile 0C5008 (room 0x0f),wall of tile 0C6008 (room 0x10),40.495,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 0C2408 (room 0x0f)
wall of tile 0C2408 (room 0x0f),wall of tile 0C3608 (room 0x0f),28.459,yes,,
wall of tile 0C3608 (room 0x0f),wall of tile 0C3208 (room 0x10),27.856,yes,,
wall of tile 0C3608 (room 0x0f),wall of tile 0C3008 (room 0x10),29.498,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 0C2408 (room 0x0f)
wall of tile 0C3608 (room 0x0f),wall of tile 0C3908 (room 0x0f),27.856,yes,,
wall of tile 0C2E08 (room 0x10),wall of tile 0CA608 (room 0x10),56.741,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0C2E08 (room 0x10),wall of tile 0CA608 (room 0x10),56.741,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 109508 (room 0x0c),wall of tile 109A08 (room 0x0c),39.576,no,the line between them touches another wall,wall of tile 109408 (room 0x0c)
wall of tile 10AA08 (room 0x0b),door 0x1e0668 (preset 0x0006),17.425,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
