between,and,width,kept,reason,because_of
wall of tile 553511 (room 0x2f),wall of tile 54BC12 (room 0x2a),52.650,no,the line between them touches another wall,wall of tile 553512 (room 0x2f)
wall of tile 54C012 (room 0x2a),wall of tile 54A711 (room 0x29),55.576,no,the line between them touches another wall,wall of tile 54A712 (room 0x29)
wall of tile 546D11 (room 0x27),wall of tile 320612 (room 0x27),24.820,no,the line between them touches another wall,wall of tile 320612 (room 0x27)
wall of tile 546D11 (room 0x27),wall of tile 320612 (room 0x27),24.820,no,the line between them touches another wall,wall of tile 320611 (room 0x27)
wall of tile 53FD11 (room 0x22),wall of tile 53E911 (room 0x21),20.475,no,the line between them touches another wall,wall of tile 53E911 (room 0x21)
wall of tile 52C311 (room 0x17),wall of tile 0ACD12 (room 0x17),24.820,no,the line between them touches another wall,wall of tile 0ACD12 (room 0x17)
wall of tile 52C311 (room 0x17),wall of tile 0ACD12 (room 0x17),24.820,no,the line between them touches another wall,wall of tile 0ACD11 (room 0x17)
wall of tile 526F12 (room 0x14),wall of tile 1CB801 (room 0x03),58.500,no,the line between them touches another wall,wall of tile 1CB802 (room 0x03)
wall of tile 1CBB00 (room 0x03),wall of tile 1CBA01 (room 0x03),26.325,no,the line between them touches another wall,wall of tile 1CBB00 (room 0x03)
wall of tile 1CBA01 (room 0x03),wall of tile 1CB901 (room 0x03),26.325,no,the line between them touches another wall,wall of tile 1CB901 (room 0x03)
wall of tile 1CA402 (room 0x06),wall of tile 000708 (room 0x12),14.625,no,the line between them touches another wall,wall of tile 0A3108 (room 0x12)
wall of tile 1CAA01 (room 0x05),wall of tile 1CA800 (room 0x06),49.811,no,the line between them touches another wall,wall of tile 1CAA02 (room 0x05)
wall of tile 1CAB01 (room 0x05),wall of tile 0D6E02 (room 0x05),26.325,no,the line between them touches another wall,wall of tile 1CAB01 (room 0x05)
wall of tile 0D6E02 (room 0x05),wall of tile 1CAE01 (room 0x05),26.325,no,the line between them touches another wall,wall of tile 1CAE02 (room 0x05)
wall of tile 526D12 (room 0x14),wall of tile 2D3812 (room 0x14),26.967,no,the line between them touches another wall,wall of tile 2D3812 (room 0x14)
wall of tile 526D12 (room 0x14),wall of tile 2D3812 (room 0x14),26.967,no,the line between them touches another wall,wall of tile 2D3811 (room 0x14)
