object,type,reason
0x1cb1e8,weapon,Bond walks through it
0x1cba00,body_armour,Bond walks through it
0x1cba88,body_armour,Bond walks through it
0x1cbb10,body_armour,Bond walks through it
0x1cbb98,body_armour,Bond walks through it
0x1cbc20,body_armour,Bond walks through it
0x1cbca8,weapon,Bond walks through it
0x1cbd30,ammo,Bond walks through it
0x1c7e78,generic,no collision outline in the data
0x1c7ef8,generic,no collision outline in the data
0x1c7f78,generic,no collision outline in the data
0x1c7ff8,generic,no collision outline in the data
0x1c8078,generic,no collision outline in the data
0x1c80f8,generic,no collision outline in the data
0x1c8178,generic,no collision outline in the data
0x1c81f8,generic,no collision outline in the data
0x1c8278,generic,no collision outline in the data
0x1c82f8,generic,no collision outline in the data
0x1c8378,generic,no collision outline in the data
0x1c83f8,generic,no collision outline in the data
0x1c8478,generic,no collision outline in the data
0x1c84f8,generic,no collision outline in the data
0x1c8578,generic,no collision outline in the data
0x1c85f8,generic,no collision outline in the data
0x1c8678,generic,no collision outline in the data
0x1c86f8,generic,no collision outline in the data
0x1c8778,generic,no collision outline in the data
0x1c87f8,generic,no collision outline in the data
0x1c8878,generic,no collision outline in the data
0x1c88f8,generic,no collision outline in the data
0x1c8978,generic,no collision outline in the data
0x1c89f8,generic,no collision outline in the data
0x1c8a78,generic,no collision outline in the data
0x1c8af8,generic,no collision outline in the data
0x1c8b78,generic,no collision outline in the data
0x1c8bf8,generic,no collision outline in the data
0x1c8c78,generic,no collision outline in the data
0x1c8cf8,generic,no collision outline in the data
0x1c8d78,generic,no collision outline in the data
0x1c8df8,generic,no collision outline in the data
0x1c8e78,generic,no collision outline in the data
0x1c8ef8,generic,no collision outline in the data
0x1c8f78,generic,no collision outline in the data
