level,gap,name,status,width_cm,step_cm,walk_round_cm,x,z,room,between,and,objects_forming_gap,objects_in_the_way,pinches,key
statue,1,,warp,58.996,10.93,none found,-4496,681,0x1b,wall of tile 161D10 (room 0x1b),wall of tile 167E10 (room 0x1b),,,4,161D10.2 | 167E10.0
archives,1,,warp,59.308,23.66,807,-2220,-4742,0x33,generic 0x1cb6ec (preset 0x27c3),generic 0x1cf8ec (preset 0x279d),0x1cb6ec 0x1cf8ec,,2,0x1cb6ec.4 | 0x1cf8ec.2
bunker_2,1,,warp,52.689,28.70,513,1260,3874,0x37,generic 0x1dec64 (preset 0x0020),generic 0x1def7c (preset 0x0023),0x1dec64 0x1def7c,,4,0x1dec64.0 | 0x1def7c.2
bunker_2,2,,warp,52.688,28.71,516,1446,3719,0x37,generic 0x1ded6c (preset 0x0021),generic 0x1dee74 (preset 0x0022),0x1ded6c 0x1dee74,,4,0x1ded6c.0 | 0x1dee74.2
dam,1,,warp,55.161,29.18,none found,17543,9402,0x6f,generic 0x1e2360 (preset 0x0153),generic 0x1e2678 (preset 0x0156),0x1e2360 0x1e2678,,4,0x1e2360.0 | 0x1e2678.0
dam,2,,warp,58.004,32.12,none found,17850,9684,0x6f,generic 0x1e2258 (preset 0x014c),generic 0x1e2780 (preset 0x0157),0x1e2258 0x1e2780,,2,0x1e2258.0 | 0x1e2780.2
bunker_2,3,,warp,48.180,36.36,335,-1315,931,0x0b,wall of tile 00EE10 (room 0x0b),generic 0x1df614 (preset 0x2723),0x1df614,,4,00EE10.1 | 0x1df614.3
bunker_2,4,,warp,48.180,36.36,335,-1315,528,0x0b,wall of tile 089D10 (room 0x0b),generic 0x1df494 (preset 0x2720),0x1df494,,4,089D10.1 | 0x1df494.0
facility,1,,warp,48.140,36.58,507,8574,3294,0x2e,gas_container 0x1cba70 (preset 0x00f7),gas_container 0x1cbcb0 (preset 0x00fb),0x1cba70 0x1cbcb0,,4,0x1cba70.0 | 0x1cbcb0.2
facility,2,,warp,48.140,36.58,none found,8784,1355,0x2d,gas_container 0x1cb950 (preset 0x00f5),gas_container 0x1cbdd0 (preset 0x00fd),0x1cb950 0x1cbdd0,,4,0x1cb950.0 | 0x1cbdd0.2
aztec,1,,warp,49.500,37.30,612,-6914,1151,0x3e,generic 0x1e9d80 (preset 0x0099),generic 0x1e9e80 (preset 0x009b),0x1e9d80 0x1e9e80,,4,0x1e9d80.1 | 0x1e9e80.2
silo,1,,warp,44.673,40.05,none found,2085,-767,0x51,monitor 0x1c8dfc (preset 0x272c),monitor 0x1c92a4 (preset 0x272e),0x1c8dfc 0x1c92a4,,4,0x1c8dfc.0 | 0x1c92a4.1
bunker_2,5,,warp,45.030,40.75,328,-1783,528,0x0b,wall of tile 08A710 (room 0x0b),generic 0x1df394 (preset 0x271e),0x1df394,,4,08A710.1 | 0x1df394.0
bunker_2,6,,warp,45.030,40.75,329,-1783,931,0x0b,wall of tile 010710 (room 0x0b),generic 0x1df514 (preset 0x2721),0x1df514,,4,010710.1 | 0x1df514.4
silo,2,,warp,43.193,41.65,none found,1815,-1037,0x51,monitor 0x1c8700 (preset 0x2729),monitor 0x1c8ba8 (preset 0x272b),0x1c8700 0x1c8ba8,,4,0x1c8700.1 | 0x1c8ba8.0
dam,3,Window A,warp,51.361,42.17,none found,17848,10238,0x6f,wall of tile 2F8020 (room 0x6f),wall of tile 2F8020 (room 0x6f),,,4,2F8020.2 | 2F8020.4
frigate,1,,warp,55.507,45.59,none found,113,-799,0x05,generic 0x1ea144 (preset 0x273b),generic 0x1ea1c4 (preset 0x273c),0x1ea144 0x1ea1c4,,2,0x1ea144.1 | 0x1ea1c4.5
control,1,,warp,44.100,46.95,none found,-1443,-680,0x3d,wall of tile 00BC49 (room 0x3d),wall of tile 00BD4A (room 0x3d),,,4,00BC49.0 | 00BD4A.1
dam,4,,warp,46.338,47.00,952,14336,1838,0x72,generic 0x1e3148 (preset 0x0052),generic 0x1e33c8 (preset 0x0057),0x1e3148 0x1e33c8,,4,0x1e3148.0 | 0x1e33c8.1
dam,5,Window C,warp,51.450,48.94,none found,17898,5589,0x7a,wall of tile 309B22 (room 0x7a),wall of tile 309A22 (room 0x7a),,,3,0x1e19d0.0 | 309621.0
control,2,,warp,42.095,51.16,514,1443,-679,0x3e,wall of tile 009549 (room 0x3e),wall of tile 00954A (room 0x3e),,,4,009549.0 | 00954A.1
dam,6,,warp,52.850,53.51,300,17048,19820,0x84,wall of tile 06A031 (room 0x84),wall of tile 08DC32 (room 0x84),,,6,08DE30.1 | 0x1e1dd0.0
dam,7,,warp,51.361,54.23,1451,16953,12708,0x6f,wall of tile 303F22 (room 0x6f),wall of tile 303E22 (room 0x6f),,,1,303E22.1 | 303F22.1
jungle,1,,warp,45.457,55.38,1225,18840,-9567,0x20,wall of tile 248610 (room 0x20),generic 0x1aef10 (preset 0x0078),0x1aef10,,4,0x1aef10.2 | 248610.0
surface_1,1,,warp,58.903,55.70,none found,5020,-18035,0x1e,wall of tile 1A2700 (room 0x1e),generic 0x1dc3c8 (preset 0x275c),0x1dc3c8,,2,0x1dc3c8.0 | 1A2700.2
caverns,1,,warp,37.964,55.81,587,3534,1248,0x0d,wall of tile 078200 (room 0x0d),monitor 0x1c8b00 (preset 0x2710),0x1c8b00,,4,078200.0 | 0x1c8b00.0
caverns,2,,warp,57.309,56.33,494,-540,752,0x12,wall of tile 00C708 (room 0x12),generic 0x1c47e0 (preset 0x005c),0x1c47e0,,2,00C708.1 | 0x1c47e0.0
jungle,2,,warp,57.219,56.36,none found,22176,-4712,0x28,wall of tile 001B18 (room 0x28),generic 0x1b5688 (preset 0x021c),0x1b5688,,2,001B18.2 | 0x1b5688.1
jungle,3,,warp,55.652,57.03,none found,22112,-4798,0x28,generic 0x1b5608 (preset 0x021b),generic 0x1b5688 (preset 0x021c),0x1b5608 0x1b5688,,2,0x1b5608.3 | 0x1b5688.0
dam,8,,warp,55.822,57.91,none found,14307,1835,0x6c,generic 0x1e5ef0 (preset 0x0067),glass 0x1e6680 (preset 0x2715),0x1e5ef0 0x1e6680,,2,0x1e5ef0.0 | 0x1e6680.2
aztec,2,,warp,53.786,57.96,627,2257,239,0x08,wall of tile 01B609 (room 0x08),generic 0x1ea400 (preset 0x00b1),0x1ea400,,2,01B609.1 | 0x1ea400.3
depot,1,,warp,55.571,57.98,635,-892,-5645,0x42,generic 0x1ec3f8 (preset 0x012e),generic 0x1ed3e0 (preset 0x014f),0x1ec3f8 0x1ed3e0,,2,0x1ec3f8.5 | 0x1ed3e0.2
surface_1,2,,warp,53.403,58.46,none found,5117,-17958,0x1e,wall of tile 279900 (room 0x1e),generic 0x1dc3c8 (preset 0x275c),0x1dc3c8,,3,0x1dc3c8.3 | 279900.0
