key,filter,reason,status,width_cm,x,z,between,and
0x1de78c.0 | 279B00.1,anvil and hammer,"safe 0x1de78c (preset 0x2759) is 0.0 cm from a straight wall, closer than Bond's radius, with 0.8 m of it ending at a protrusion to one side and 2.9 m of it ending at a protrusion to the other",no warp found,0.00082,5348,-18902,wall of tile 279B00 (room 0x1e),safe 0x1de78c (preset 0x2759)
0x1de78c.1 | 279B00.1,anvil and hammer,"safe 0x1de78c (preset 0x2759) is 0.0 cm from a straight wall, closer than Bond's radius, with 0.8 m of it ending at a protrusion to one side and 4.2 m of it to the other",no warp found,0.00082,5411,-18902,wall of tile 279B00 (room 0x1e),safe 0x1de78c (preset 0x2759)
0x1de78c.3 | 279B00.1,anvil and hammer,"safe 0x1de78c (preset 0x2759) is 0.0 cm from a straight wall, closer than Bond's radius, with 2.0 m of it ending at a protrusion to one side and 2.9 m of it ending at a protrusion to the other",no warp found,0.00082,5285,-18902,wall of tile 279B00 (room 0x1e),safe 0x1de78c (preset 0x2759)
0x1ddf68.2 | 27F400.0,anvil and hammer,"generic 0x1ddf68 (preset 0x2745) is 2.0 cm from a straight wall, closer than Bond's radius, with 2.5 m of it ending at a protrusion to one side and 2.5 m of it ending at a protrusion to the other",no warp found,1.999,-11455,-14595,wall of tile 27F400 (room 0x18),generic 0x1ddf68 (preset 0x2745)
0x1ddc2c.1 | 25F502.2,anvil and hammer,"generic 0x1ddc2c (preset 0x0014) is 10.2 cm from a straight wall, closer than Bond's radius, with 5.9 m of it to one side and 3.8 m of it to the other",no warp found,10.170,-10752,-19326,wall of tile 25F502 (room 0x17),generic 0x1ddc2c (preset 0x0014)
0x1dbf48.3 | 27E700.1,anvil and hammer,"generic 0x1dbf48 (preset 0x0025) is 13.3 cm from a straight wall, closer than Bond's radius, with 4.4 m of it to one side and 0.6 m of it ending at a protrusion to the other",no warp found,13.332,9840,-14829,wall of tile 27E700 (room 0x1c),generic 0x1dbf48 (preset 0x0025)
0x1dbf48.2 | 23A902.2,anvil and hammer,"generic 0x1dbf48 (preset 0x0025) is 13.9 cm from a straight wall, closer than Bond's radius, with 0.8 m of it ending at a protrusion to one side and 8.9 m of it to the other",no warp found,13.879,9891,-14904,wall of tile 23A902 (room 0x1c),generic 0x1dbf48 (preset 0x0025)
0x1de450.3 | 27FD00.1,anvil and hammer,"generic 0x1de450 (preset 0x274d) is 17.8 cm from a straight wall, closer than Bond's radius, with 4.1 m of it to one side and 0.9 m of it ending at a protrusion to the other",no warp found,17.832,-6535,-7868,wall of tile 27FD00 (room 0x1a),generic 0x1de450 (preset 0x274d)
0x1db894.0 | 27EB00.1,anvil and hammer,"generic 0x1db894 (preset 0x2753) is 21.9 cm from a straight wall, closer than Bond's radius, with 1.1 m of it ending at a protrusion to one side and 3.9 m of it to the other",no warp found,21.929,8166,-15872,wall of tile 27EB00 (room 0x1b),generic 0x1db894 (preset 0x2753)
0x1db794.0 | 243B02.2,anvil and hammer,"generic 0x1db794 (preset 0x2752) is 23.4 cm from a straight wall, closer than Bond's radius, with 8.2 m of it to one side and 1.5 m of it ending at a protrusion to the other",no warp found,23.439,7788,-15058,wall of tile 243B02 (room 0x1b),generic 0x1db794 (preset 0x2752)
0x1db814.2 | 27EC00.1,anvil and hammer,"generic 0x1db814 (preset 0x2751) is 24.2 cm from a straight wall, closer than Bond's radius, with 3.8 m of it to one side and 3.1 m of it to the other",no warp found,24.195,8262,-15296,wall of tile 27EC00 (room 0x1b),generic 0x1db814 (preset 0x2751)
0x1db794.3 | 27EC00.0,anvil and hammer,"generic 0x1db794 (preset 0x2752) is 24.9 cm from a straight wall, closer than Bond's radius, with 0.2 m of it ending at a protrusion to one side and 4.7 m of it to the other",no warp found,24.868,7801,-14925,wall of tile 27EC00 (room 0x1b),generic 0x1db794 (preset 0x2752)
1DC701.0 | 1DC702.1,narrow pocket,"the floor to one side of it is a pocket only 53.0 cm across, measured along the pinch line, so Bond fits nowhere in it",no warp found,53.041,145,145,wall of tile 1DC702 (room 0x0f),wall of tile 1DC701 (room 0x0f)
1DC801.0 | 1DC802.1,narrow pocket,"the floor to one side of it is a pocket only 53.0 cm across, measured along the pinch line, so Bond fits nowhere in it",no warp found,53.041,-145,145,wall of tile 1DC802 (room 0x0f),wall of tile 1DC801 (room 0x0f)
