x,z,between,and
42,-9,wall of tile 016619 (room 0x27),door 0x1e1520 (preset 0x0006)
42,-18,wall of tile 015119 (room 0x27),door 0x1e1520 (preset 0x0006)
-42,-9,wall of tile 01661A (room 0x27),door 0x1e1520 (preset 0x0006)
-42,0,wall of tile 26CB02 (room 0x0f),door 0x1e1520 (preset 0x0006)
-11516,-14914,wall of tile 31AD00 (room 0x05),door 0x1e0e10 (preset 0x0027)
-11519,-14908,wall of tile 27F301 (room 0x18),door 0x1e0e10 (preset 0x0027)
-11596,-14943,wall of tile 27F302 (room 0x18),door 0x1e0e10 (preset 0x0027)
-11593,-14950,wall of tile 31AC00 (room 0x05),door 0x1e0e10 (preset 0x0027)
5503,-18121,wall of tile 281C01 (room 0x10),door 0x1e0910 (preset 0x0022)
5503,-18204,wall of tile 281C02 (room 0x10),door 0x1e0910 (preset 0x0022)
5503,-18204,wall of tile 281C02 (room 0x10),door 0x1e0910 (preset 0x0022)
5496,-18121,wall of tile 27ED01 (room 0x1e),door 0x1e0910 (preset 0x0022)
5497,-18204,wall of tile 27ED02 (room 0x1e),door 0x1e0910 (preset 0x0022)
5411,-18902,wall of tile 279B00 (room 0x1e),safe 0x1de78c (preset 0x2759)
5411,-18902,wall of tile 279B00 (room 0x1e),safe 0x1de78c (preset 0x2759)
5285,-18902,wall of tile 279B00 (room 0x1e),safe 0x1de78c (preset 0x2759)
6309,-19258,wall of tile 281801 (room 0x10),door 0x1e0810 (preset 0x0021)
6309,-19252,wall of tile 281801 (room 0x10),door 0x1e0810 (preset 0x0021)
6392,-19252,wall of tile 281802 (room 0x10),door 0x1e0810 (preset 0x0021)
6392,-19258,wall of tile 27EE02 (room 0x1d),door 0x1e0810 (preset 0x0021)
6258,-19423,wall of tile 279300 (room 0x1d),generic 0x1dd7c8 (preset 0x275e)
6258,-19423,wall of tile 279300 (room 0x1d),generic 0x1dd7c8 (preset 0x275e)
5954,-19265,wall of tile 279500 (room 0x1d),generic 0x1dd848 (preset 0x275f)
