variant_of_gap,name,key,status,width_cm,step_cm,x,z,between,and,objects_forming_gap,objects_in_the_way
19,,0x1dccc8.5 | 0x1dcd48.1,warp,56.969,102.84,5352,-19282,generic 0x1dccc8 (preset 0x271b),generic 0x1dce48 (preset 0x271e),0x1dccc8 0x1dce48,
20,,0x1dcfc8.1 | 0x1dd048.5,warp,56.968,103.18,6430,-18696,generic 0x1dcec8 (preset 0x271f),generic 0x1dd048 (preset 0x2722),0x1dcec8 0x1dd048,
22,,0x1dbfc8.5 | 0x1dc148.2,warp,56.942,103.54,9681,-15392,generic 0x1dbfc8 (preset 0x2756),generic 0x1dc048 (preset 0x2755),0x1dbfc8 0x1dc048,
22,,0x1dbfc8.2 | 0x1dc048.0,warp,56.942,103.54,9723,-15464,generic 0x1dbfc8 (preset 0x2756),generic 0x1dc048 (preset 0x2755),0x1dbfc8 0x1dc048,
27,,0x1de068.0 | 0x1de0e8.1,warp,12.125,134.16,-11821,-14721,generic 0x1de068 (preset 0x2749),generic 0x1de0e8 (preset 0x2747),0x1de068 0x1de0e8,
26,,0x1dd248.5 | 0x1dd2c8.2,warp,42.117,136.48,5481,-19501,generic 0x1dd248 (preset 0x2724),generic 0x1dd2c8 (preset 0x2725),0x1dd248 0x1dd2c8,
26,,0x1dd248.0 | 0x1dd2c8.2,warp,42.117,142.33,5481,-19536,generic 0x1dd248 (preset 0x2724),generic 0x1dd2c8 (preset 0x2725),0x1dd248 0x1dd2c8,
17,,0x1dd648.2 | 0x1dd6c8.0,warp,48.399,143.04,-5580,-20286,generic 0x1dd648 (preset 0x272c),generic 0x1dd6c8 (preset 0x272d),0x1dd648 0x1dd6c8,
29,,0x1de350.2 | 0x1de5d0.0,warp,15.371,156.70,-6728,-8369,generic 0x1de350 (preset 0x274b),generic 0x1de5d0 (preset 0x2750),0x1de350 0x1de5d0,
17,,0x1dd6c8.4 | 0x1dd748.1,warp,35.808,170.25,-5537,-20258,generic 0x1dd6c8 (preset 0x272d),generic 0x1dd748 (preset 0x272e),0x1dd6c8 0x1dd748,
23,,0x1dd4c8.1 | 0x1dd548.4,warp,35.223,171.40,-11654,-15135,generic 0x1dd4c8 (preset 0x2729),generic 0x1dd548 (preset 0x272a),0x1dd4c8 0x1dd548,
