object,type,reason
0x1eaaa8,lock,Bond walks through it
0x1ef2ec,weapon,Bond walks through it
0x1ef384,weapon,Bond walks through it
0x1ef41c,weapon,Bond walks through it
0x1ef4b4,weapon,Bond walks through it
0x1ef54c,weapon,Bond walks through it
0x1ef5e4,weapon,Bond walks through it
0x1ea700,generic,no collision outline in the data
0x1eaab8,drone,no collision outline in the data
0x1eae40,monitor,no collision outline in the data
0x1eb050,camera,no collision outline in the data
0x1eb14c,camera,no collision outline in the data
0x1eb248,camera,no collision outline in the data
0x1eb344,camera,no collision outline in the data
0x1ecd94,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ece28,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ecebc,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ecf50,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ecfe4,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ed078,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ed10c,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ed1a0,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ed234,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ed2c8,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ed35c,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ed3f0,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ed484,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ed518,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ed5ac,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ed640,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ed6d4,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ed768,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ed7fc,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ed890,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ed924,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ed9b8,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1eda4c,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1edae0,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1edb74,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1edc08,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1edc9c,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1edd30,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1eddc4,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ede58,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1edeec,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1edf80,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ee014,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ee0a8,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ee13c,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ee1d0,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ee264,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ee2f8,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ee38c,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ee420,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ee4b4,glass,"outside the walkable area: seen from above, no part of it is over the floor"
