between,and,width,kept,reason,because_of
wall of tile 0B6128 (room 0x35),generic 0x1c4e20 (preset 0x278a),52.950,yes,,
wall of tile 0B6128 (room 0x35),generic 0x1c4e20 (preset 0x278a),52.950,yes,,
wall of tile 0B6128 (room 0x35),generic 0x1c4e20 (preset 0x278a),53.257,no,"another wall pokes into the space between them, so a tighter pair covers this gap",generic 0x1c4e20 (preset 0x278a)
wall of tile 0B6128 (room 0x35),generic 0x1c4e20 (preset 0x278a),53.264,no,the line between them touches another wall,generic 0x1c4e20 (preset 0x278a)
wall of tile 0E7028 (room 0x35),door 0x1cd0ec (preset 0x00a7),0.004,yes,,
wall of tile 0E7028 (room 0x35),door 0x1cd0ec (preset 0x00a7),0.004,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 093928 (room 0x33)
wall of tile 0E6F28 (room 0x35),wall of tile 06CA28 (room 0x32),33.289,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0E6F28 (room 0x35),wall of tile 06C928 (room 0x32),33.289,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0E6F28 (room 0x35),door 0x1cd0ec (preset 0x00a7),0.006,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0E6F28 (room 0x35),door 0x1cd0ec (preset 0x00a7),0.004,no,the line between them touches another wall,wall of tile 0E6D29 (room 0x35)
wall of tile 0E6D29 (room 0x35),wall of tile 06D02A (room 0x33),33.290,no,the line between them touches another wall,wall of tile 073628 (room 0x33)
wall of tile 0E6D29 (room 0x35),wall of tile 06CF2A (room 0x33),40.498,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0E6D29 (room 0x35),wall of tile 06CB2A (room 0x32),44.663,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0E6D29 (room 0x35),wall of tile 06CA28 (room 0x32),33.289,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0E6D29 (room 0x35),wall of tile 06C928 (room 0x32),33.289,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0E6D29 (room 0x35),door 0x1cc23c (preset 0x009c),40.498,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0E6D29 (room 0x35),door 0x1cc23c (preset 0x009c),44.663,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 0E6D29 (room 0x35),door 0x1cc23c (preset 0x009c),40.498,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
