key,filter,reason,status,width_cm,x,z,between,and
01F209.0 | 0x1c48a0.3,anvil and hammer,"generic 0x1c48a0 (preset 0x273d) is 2.6 cm from a straight wall, closer than Bond's radius, with 12.5 m of it to one side and 14.5 m of it to the other",no warp found,2.593,-3069,-8,wall of tile 01F209 (room 0x09),generic 0x1c48a0 (preset 0x273d)
037901.1 | 0x1c3b10.1,anvil and hammer,"generic 0x1c3b10 (preset 0x2720) is 2.8 cm from a straight wall, closer than Bond's radius, with 19.5 m of it to one side and 7.6 m of it to the other",no warp found,2.752,-593,-385,wall of tile 037901 (room 0x04),generic 0x1c3b10 (preset 0x2720)
037601.0 | 0x1c3490.4,anvil and hammer,"generic 0x1c3490 (preset 0x2718) is 2.8 cm from a straight wall, closer than Bond's radius, with 16.9 m of it to one side and 2.0 m of it ending at a protrusion to the other",no warp found,2.763,1154,-8,wall of tile 037601 (room 0x01),generic 0x1c3490 (preset 0x2718)
0B6228.2 | 0x1c4ea0.3,anvil and hammer,"generic 0x1c4ea0 (preset 0x278b) is 3.3 cm from a straight wall, closer than Bond's radius, with 23.2 m of it to one side and 36.6 m of it to the other",no warp found,3.345,-14346,484,wall of tile 0B6228 (room 0x35),generic 0x1c4ea0 (preset 0x278b)
01F209.0 | 0x1c4820.4,anvil and hammer,"generic 0x1c4820 (preset 0x273c) is 4.6 cm from a straight wall, closer than Bond's radius, with 10.4 m of it to one side and 16.6 m of it to the other",no warp found,4.550,-3283,-9,wall of tile 01F209 (room 0x09),generic 0x1c4820 (preset 0x273c)
037502.1 | 0x1c3510.0,anvil and hammer,"generic 0x1c3510 (preset 0x2717) is 5.2 cm from a straight wall, closer than Bond's radius, with 3.4 m of it to one side and 23.7 m of it to the other",no warp found,5.201,1022,-384,wall of tile 037502 (room 0x02),generic 0x1c3510 (preset 0x2717)
025F08.1 | 0x1c44a0.3,anvil and hammer,"generic 0x1c44a0 (preset 0x2737) is 5.3 cm from a straight wall, closer than Bond's radius, with 1.9 m of it ending at a protrusion to one side and 25.2 m of it to the other",no warp found,5.277,-4135,-9,wall of tile 025F08 (room 0x0b),generic 0x1c44a0 (preset 0x2737)
03D400.1 | 0x1c3c90.4,anvil and hammer,"generic 0x1c3c90 (preset 0x2723) is 6.3 cm from a straight wall, closer than Bond's radius, with 2.5 m of it ending at a protrusion to one side and 0.8 m of it ending at a protrusion to the other",no warp found,6.344,-1105,-10,wall of tile 03D400 (room 0x05),generic 0x1c3c90 (preset 0x2723)
037401.0 | 0x1c3990.4,anvil and hammer,"generic 0x1c3990 (preset 0x2722) is 6.3 cm from a straight wall, closer than Bond's radius, with 2.3 m of it ending at a protrusion to one side and 16.7 m of it to the other",no warp found,6.345,-313,-10,wall of tile 037401 (room 0x03),generic 0x1c3990 (preset 0x2722)
03C401.0 | 0x1c3610.4,anvil and hammer,"generic 0x1c3610 (preset 0x2713) is 6.3 cm from a straight wall, closer than Bond's radius, with 9.7 m of it to one side and 9.3 m of it to the other",no warp found,6.345,433,-10,wall of tile 03C401 (room 0x03),generic 0x1c3610 (preset 0x2713)
01D708.2 | 0x1c4420.1,anvil and hammer,"generic 0x1c4420 (preset 0x2736) is 6.4 cm from a straight wall, closer than Bond's radius, with 25.3 m of it to one side and 1.7 m of it ending at a protrusion to the other",no warp found,6.368,-4148,-383,wall of tile 01D708 (room 0x0b),generic 0x1c4420 (preset 0x2736)
0D602A.1 | 0x1c5120.4,anvil and hammer,"generic 0x1c5120 (preset 0x2790) is 6.7 cm from a straight wall, closer than Bond's radius, with 33.0 m of it to one side and 26.8 m of it to the other",no warp found,6.651,-13362,483,wall of tile 0D602A (room 0x35),generic 0x1c5120 (preset 0x2790)
01F20A.1 | 0x1c4620.1,anvil and hammer,"generic 0x1c40a0 (preset 0x272d) is 13.0 cm from a straight wall, closer than Bond's radius, with 11.3 m of it to one side and 15.8 m of it to the other",no warp found,13.002,-2750,-380,wall of tile 01F20A (room 0x09),generic 0x1c4620 (preset 0x273a)
01F90A.1 | 0x1c4aa0.1,anvil and hammer,"generic 0x1c4aa0 (preset 0x2743) is 13.0 cm from a straight wall, closer than Bond's radius, with 4.5 m of it to one side and 22.5 m of it to the other",no warp found,13.003,-2071,-380,wall of tile 01F90A (room 0x08),generic 0x1c4aa0 (preset 0x2743)
025A08.1 | 0x1c4a20.1,anvil and hammer,"generic 0x1c4a20 (preset 0x2742) is 13.0 cm from a straight wall, closer than Bond's radius, with 1.9 m of it ending at a protrusion to one side and 25.1 m of it to the other",no warp found,13.003,-1811,-380,wall of tile 025A08 (room 0x07),generic 0x1c4a20 (preset 0x2742)
01F60A.1 | 0x1c42a0.1,anvil and hammer,"generic 0x1c42a0 (preset 0x2733) is 13.0 cm from a straight wall, closer than Bond's radius, with 20.7 m of it to one side and 6.3 m of it to the other",no warp found,13.020,-3688,-380,wall of tile 01F60A (room 0x0a),generic 0x1c42a0 (preset 0x2733)
06C729.0 | 0x1c4b20.3,anvil and hammer,"generic 0x1c4b20 (preset 0x2782) is 13.0 cm from a straight wall, closer than Bond's radius, with 4.8 m of it to one side and 0.5 m of it ending at a protrusion to the other",no warp found,13.026,-14068,-20,wall of tile 06C729 (room 0x31),generic 0x1c4b20 (preset 0x2782)
01F90A.1 | 0x1c3ea0.0,anvil and hammer,"generic 0x1c3ea0 (preset 0x2729) is 13.0 cm from a straight wall, closer than Bond's radius, with 6.8 m of it to one side and 20.2 m of it to the other",no warp found,13.030,-2297,-380,wall of tile 01F90A (room 0x08),generic 0x1c3ea0 (preset 0x2729)
